"corr_mort","r2_mort","corr_len","r2_len","corrpop_mort","r2pop_mort","corrpop_len","r2pop_len","method","bag_site","event"
-0.11880001214939,0.0141134428866952,-0.160268639741829,0.0256860368846961,-0.213940731926321,0.0457706367771702,-0.309596274755731,0.0958498533426262,"LEA","Lewisetta",1
-0.114408005547185,0.0130891917332848,0.0871369134227846,0.00759284168084986,-0.245334990247022,0.0601892574395067,0.0702386080697163,0.00493346206357115,"LEA","Lewisetta",2
0.115533491142218,0.0133479875755089,0.157328342479914,0.024752207347477,-0.0344097239442234,0.00118402910191767,0.0503852913641311,0.00253867758584839,"LEA","Lewisetta",3
0.12257525532939,0.0150246932190651,0.103674813463727,0.0107484669467386,-0.0303947269408365,0.000923839425808023,0.163108839067007,0.026604493381787,"LEA","Lewisetta",4
0.0959016706125493,0.00919713042627787,0.141893072665502,0.0201336440704573,0.0409224350059157,0.00167464568681337,0.0307261399368469,0.00094409567541871,"LEA","YorkRiver",1
0.0871328192579657,0.00759212819184131,-0.103029645003869,0.0106151077496234,-0.0418698899305656,0.0017530876827977,-0.115753968611839,0.0133989812493907,"LEA","YorkRiver",2
-0.118058950310243,0.0139379157483565,-0.168740431300478,0.0284733331554715,-0.327378030293798,0.107176374719047,-0.428702772441077,0.183786067098666,"LEA","YorkRiver",3
-0.131463152614263,0.0172825604952812,-0.15527701297167,0.0241109507574044,-0.394854870645901,0.155910368872791,-0.284629084180581,0.0810137155614762,"LEA","YorkRiver",4
-0.132057337821681,0.0174391404725496,0.205472976152282,0.042219143928876,-0.320423630070584,0.10267130270761,-0.132515048575292,0.0175602380989121,"GF_af","Lewisetta",1
-0.185323856371465,0.0343449317403914,0.104463886194332,0.0109127035188223,-0.416016195241093,0.173069474702875,-0.218387039122517,0.0476928988566997,"GF_af","Lewisetta",2
-0.193467069556505,0.0374295070027818,-0.184993835487915,0.03422271916853,-0.415525110699819,0.172661117622097,-0.542804253498276,0.294636457615821,"GF_af","Lewisetta",3
-0.175972844362882,0.0309664419531633,-0.129078998148706,0.0166613877630739,-0.435227409629426,0.18942289809274,-0.362689757112938,0.131543859914642,"GF_af","Lewisetta",4
-0.0840128125587321,0.00705815267402864,0.266430725147531,0.0709853313026392,-0.205592512408939,0.0422682811586196,0.492127787167392,0.242189758902273,"GF_af","YorkRiver",1
-0.120481056558044,0.0145156849893426,-0.00590979619217867,3.49256910330896e-05,-0.203625632283853,0.0414633981229989,0.222233006381045,0.0493875091251574,"GF_af","YorkRiver",2
-0.284011827255715,0.0806627180211299,-0.186938330501102,0.0349459394105392,-0.304916560328573,0.0929741087626081,-0.281809933105157,0.0794168383967329,"GF_af","YorkRiver",3
-0.259437535864256,0.0673078350153169,0.0282948698396265,0.000800599659241403,-0.294901825118072,0.0869670864579699,0.208332852005348,0.0434025772246821,"GF_af","YorkRiver",4
-0.470885176511667,0.221732849458423,-0.208634073565666,0.0435281766526036,-0.657336994506709,0.432091924347113,-0.439435553117265,0.193103605343477,"RDA","Lewisetta",1
-0.505691264413155,0.255723654903776,-0.372735313257978,0.138931613749523,-0.603033003400994,0.363648803190823,-0.619825112229343,0.384183169750118,"RDA","Lewisetta",2
-0.515158964928497,0.265388759146201,-0.21326940445769,0.0454838388777378,-0.56940117350097,0.324217696384282,-0.364452919370297,0.132825930437532,"RDA","Lewisetta",3
-0.458631901478223,0.210343221053531,-0.00978570614701803,9.57600447957925e-05,-0.51590731209963,0.266160354677865,-0.142787194304922,0.0203881828574717,"RDA","Lewisetta",4
0.421741539513783,0.177865926151456,0.296952857775241,0.0881809997408824,0.41257947164074,0.170221820419352,-0.161350705507644,0.0260340501678146,"RDA","YorkRiver",1
0.469221058332536,0.220168401582705,0.212907240977899,0.0453294932608211,0.278858273209541,0.077761936537407,-0.0211003970175374,0.000445226754297715,"RDA","YorkRiver",2
0.295218742225702,0.0871541057613254,0.204458911874791,0.0418034466450236,-0.00516074583700213,2.66332975941347e-05,-0.556020655302661,0.3091589691232,"RDA","YorkRiver",3
0.275264739564234,0.0757706768473655,0.306210960070449,0.0937651520672659,-0.0986304057750473,0.00972795694335052,0.217892057314462,0.0474769486407286,"RDA","YorkRiver",4
-0.0454338930501447,0.00206423863769195,0.33658338463842,0.113288374814655,-0.245688402108618,0.0603627909306859,-0.00843424007471787,7.11364056379723e-05,"Euclidean","Lewisetta",1
-0.0892999820507712,0.00797448679426805,0.235883237100492,0.0556409015450071,-0.344858090282267,0.118927102433132,-0.113359897653401,0.0128504663959896,"Euclidean","Lewisetta",2
-0.0778546554783797,0.00606134737965711,-0.0743533104923708,0.00552841478117482,-0.286172002007433,0.0818944147329421,-0.381376490809135,0.14544802774189,"Euclidean","Lewisetta",3
-0.0688774498459026,0.00474410309727483,0.00726899083074386,5.28382276974365e-05,-0.302551210812693,0.0915372351642266,-0.155521915357364,0.0241870661564233,"Euclidean","Lewisetta",4
0.0747539275758974,0.00558814968802251,0.438418732745559,0.192210985222222,0.303394569392113,0.0920482647366255,0.739226218404282,0.546455401976295,"Euclidean","YorkRiver",1
0.0500753745248698,0.00250754313380596,0.277909865154025,0.0772338931499283,0.288059983187047,0.0829785539137219,0.583997687635098,0.341053299163141,"Euclidean","YorkRiver",2
-0.0109688314581964,0.000120315263558323,0.0459020325052995,0.00210699658811756,0.0782721060151085,0.00612652258004038,0.155765185511194,0.0242627930173368,"Euclidean","YorkRiver",3
0.0104198623749016,0.000108573531911905,0.28552295770033,0.0815233593739448,0.117985846614769,0.0139206600014039,0.698386663001666,0.487743931058602,"Euclidean","YorkRiver",4
