"","site","offset_lew","order_lew","offset_yrk","order_yrk"
"1","DEBY",0.0456006289494139,4,0.0394805333076706,4
"2","FL-KingPlan",0.0527874368039403,5,0.0449141415189826,5
"3","LA-SisLake",0.0668201805582388,8,0.0569272600854699,8
"4","LOLA",0.0634566491645086,6,0.0501607796915146,7
"5","ME-HogIs",0.000639719359664997,1,0.0027668885067432,1
"6","NH-GrtBay",0.00865811607388707,3,0.0101686890583317,2
"7","TX-CapBay",0.0643897990441746,7,0.0486023571020338,6
"8","VA-DeepWatSh",0.007895086166688,2,0.0117348163382391,3
