"","site_name","offset_lew_sea","offset_yrk_sea","offset_lew_sea_nb","offset_yrk_sea_nb"
"1","AC_LIS_CT_2023-10-3",1.25412480436661,0.389257493013025,0.638239901549331,0.870398800425703
"2","Cal_Lake_LA_2022-8-11",1.6817105851398,1.13008153935782,1.47143049309594,1.33202120730542
"3","CC_VA_2022-7-11",2.12462201415435,0.998852681887785,1.31214826561565,0.812784371981999
"4","CPR_MS_AL_2022-8-24",1.67107075895489,0.984676383740703,1.55110706225843,1.29920526367373
"5","CS_DB_NJ_2022-9-21",1.18108298469208,0.268931017106313,0.691703626051856,0.307683099607912
"6","Culch_Ba_LA_2022-6-21",1.27724973936707,1.29048572959576,1.35722808636194,1.41583439414019
"7","DC_NB_RI_2022-8-19",2.17257898842237,1.36648305049198,1.72777795620197,1.49828885618848
"8","EC_ApBay_FL_2023-10-4",2.13368667161777,1.33183045636185,1.66529894960527,1.44379012191326
"9","FFJ_CF_NC_2023-7-19",2.70425470639506,1.62482699606236,1.08088555394561,0.7709268433823
"10","FP_Sav_GA_2022-6-10",2.72559900284747,1.66640268979786,1.35699324580227,1.0446359173949
"11","GalBay_TX_2022-6-2",1.00096039964176,1.26556537365375,1.10291530095665,1.22118865750283
"12","GriceCove_SC_2022-8-10",2.03799958369733,1.05728305232506,1.50063187889621,1.13644913687341
"13","HC_DB_NJ_2022-9-23",0.2180436628559,1.2811029893139,0.543416231037045,1.03885855620439
"14","IL_ApBay_FL_2023-10-3",2.24312884955427,1.38839730275418,1.6303270597757,1.40695203459495
"15","LakeFortuna_LA_2022-5-11",1.09301359416252,1.16029284340245,1.19550034096275,1.27074597482334
"16","LCP_UP_MD_2022-10-20",0.120372980738971,1.12244257980661,0.563288185085567,1.0276773648449
"17","Mer_GA_2022-7-26",2.99673608169316,1.9541163174692,1.59367993391152,1.28356765216503
"18","Nickle_Rf_LA_2022-8-1",0.957984778407615,1.70894268157673,1.11729917361462,1.37248893192287
"19","OL_MI_SC_2022-5-31",2.45055908738642,1.33992071251707,1.86595051455038,1.39494699389739
"20","Orrs_Cove_ME_2022-10-31",1.94222029168994,1.02251576383835,1.30314988799946,0.968762996608929
"21","SaLa_GA_2022-10-5",1.83407297207349,1.17336703545592,1.30301225687933,1.2682502232393
"22","SaltBay_Canada_2022-9-27",1.66693128557522,1.4899180202962,1.76441200357656,1.6733552776385
"23","Sapelo_Is_GA_2022-7-17",2.86093104200385,1.80585797749611,1.64615056998599,1.28438694823227
"24","SawIs_MA_2022-9-5",1.83847320012816,0.734024704826706,0.723816513782542,0.302110857614758
"25","SkR_GA_2022-6-14",3.14011007252034,2.05738907064779,1.50175522723163,1.13215299459589
"26","TP_TX_2022-6-28",1.8336621826237,1.17680419520728,1.49612418321023,1.35442764844058
"27","UNCW_MS_NC_2023-7-17",3.0998906323863,1.99612605384422,1.49730256926716,1.07182211589901
"28","CB_TX_2022-6-9",1.83966110640745,1.15548426082444,1.70649062757052,1.47669434025929
"29","DC_DR_ME_2022-10-25",1.99884299197201,1.20783024560062,1.56306471049757,1.25455622667353
"30","KP_FGR_FL_2022-8-23",3.14293519245328,2.08334954948422,2.12022400274869,1.72455168937579
"31","Sister_Lk_LA_2022-8-9",1.18622605203939,1.26982350794525,1.32564372467592,1.36326269985893
"32","SR_GB_NH_2022-8-12",1.68415619968457,0.579343129063423,0.414588450358657,0.453316113707214
"33","WS_CB_VA_2022-10-7",0.903099434881667,0.250764035376898,0.229202111774763,0.271778149923582
"34","S1_LOLA",0.13896624829297,1.19874965157624,0.172259460079071,0.590212161595456
"35","S2_DEBY",0.928948025547377,0.204527922856097,0.475981714227379,0.0574317119838237
