"method","biotic","sel","bag_site","event","kendall_surv","kendall_surv_pval","r2_surv","r2_surv_rank","kendall_len","kendall_len_pval","r2_len","r2_len_rank","signif_surv","signif_len","p_adj_surv","p_adj_len","signif_surv_adj","signif_len_adj"
"lea","b","sel","Lewisetta",4,-0.273009453115974,0.0715054164448744,0.377634704905042,0.21832884097035,-0.583936885831389,0.000115814078109336,0.34991576423027,0.703296703296703,FALSE,TRUE,0.537164702909407,0.00741210099899751,FALSE,TRUE
"lea","b","sel","YorkRiver",4,-0.231005839565715,0.146497287558392,0.15115426190819,0.0169195229742155,-0.439364047801458,0.00575054088111214,0.24946615842294,0.430512809522158,FALSE,TRUE,0.537164702909407,0.0230021635244486,FALSE,TRUE
"gf_geno","b","sel","Lewisetta",4,-0.136504726557987,0.367520738242143,0.0879056042428229,0.0362383947289608,-0.447432159273402,0.00313994745503096,0.129252027321652,0.395604395604396,FALSE,TRUE,0.588703385196012,0.0200956637121982,FALSE,TRUE
"gf_geno","b","sel","YorkRiver",4,-0.149474366777816,0.347453842604331,0.0629560756498223,0.536041449244443,-0.43030499526947,0.00683589381928366,0.24309290334553,0.264252422725002,FALSE,TRUE,0.588703385196012,0.0244046043927077,FALSE,TRUE
"rda","b","sel","Lewisetta",4,-0.219924281676757,0.146552800110555,0.378019510705408,0.202455825097335,-0.379179795994408,0.0123100015412109,0.255221696909907,0.312576312576313,FALSE,TRUE,0.537164702909407,0.0375161951732143,FALSE,TRUE
"rda","b","sel","YorkRiver",4,-0.212887734501738,0.180853424799674,0.0414542462265335,0.0626442154445929,-0.221946787033726,0.162993603154294,0.0499114219424057,0.237310101519188,FALSE,FALSE,0.537164702909407,0.28235886523851,FALSE,FALSE
"env_dist","b","sel","Lewisetta",4,-0.204757089836981,0.176474290774069,0.181494887828517,0.15843066786463,-0.515684522552395,0.000663440613357049,0.309719705814474,0.674297924297924,FALSE,TRUE,0.537164702909407,0.0152433132544431,FALSE,TRUE
"env_dist","b","sel","YorkRiver",4,-0.0770019465219051,0.628382195637517,0.0184394517739937,0.00328294443866182,-0.249123944629693,0.117372240762198,0.0907016361502956,0.158940650733532,FALSE,FALSE,0.731208373105474,0.227155403031371,FALSE,FALSE
"lea","nb","sel","Lewisetta",4,-0.136504726557987,0.367520738242143,0.234149074543085,0.0587002096436059,-0.462599351113178,0.00225947858886886,0.190670380115258,0.488400488400489,FALSE,TRUE,0.588703385196012,0.0185288526511588,FALSE,TRUE
"lea","nb","sel","YorkRiver",4,-0.231005839565715,0.146497287558392,0.160507356295563,0.0169195229742155,-0.439364047801458,0.00575054088111214,0.229072365929237,0.430512809522158,FALSE,TRUE,0.537164702909407,0.0230021635244486,FALSE,TRUE
"gf_geno","nb","sel","Lewisetta",4,-0.0682523632789935,0.652304137211763,0.0255150300608786,0.00748727163821503,-0.379179795994408,0.0123100015412109,0.0345610703630209,0.256715506715507,FALSE,TRUE,0.745490442527729,0.0375161951732143,FALSE,TRUE
"gf_geno","nb","sel","YorkRiver",4,-0.149474366777816,0.347453842604331,0.0690046216824918,0.37404864406844,-0.484659310461402,0.00231610658139485,0.257031816995757,0.223686811455122,FALSE,TRUE,0.588703385196012,0.0185288526511588,FALSE,TRUE
"rda","nb","sel","Lewisetta",4,-0.0530851714392172,0.726009770673111,0.107271880907228,0.0146750524109015,-0.242675069436421,0.109154778516566,0.0292568309820707,0.134615384615385,FALSE,FALSE,0.774410422051318,0.218309557033131,FALSE,FALSE
"rda","nb","sel","YorkRiver",4,-0.258182997161682,0.104623423288806,0.164743506617488,0.106695788021387,-0.19476962943776,0.220858540896306,0.0846892518518026,0.176469067012273,FALSE,FALSE,0.537164702909407,0.344754795545453,FALSE,FALSE
"env_dist","nb","sel","Lewisetta",4,-0.136504726557987,0.367520738242143,0.0553103210398002,0.0362383947289608,-0.447432159273402,0.00313994745503096,0.0986044555770277,0.395604395604396,FALSE,TRUE,0.588703385196012,0.0200956637121982,FALSE,TRUE
"env_dist","nb","sel","YorkRiver",4,-0.131356261713838,0.408999321706926,0.0369653110675236,0.00699719543079393,-0.303478259821626,0.05644942712165,0.172129411823592,0.276017682346475,FALSE,FALSE,0.588703385196012,0.124578046061572,FALSE,FALSE
