"method","bag_site","kendall_surv","p_adj_surv","signif_surv_adj","kendall_len","p_adj_len","signif_len_adj","kendall_surv_nb","p_adj_surv_nb","signif_surv_adj_nb","kendall_len_nb","p_adj_len_nb","signif_len_adj_nb","diff_surv","diff_len"
"env_dist","Lewisetta",-0.204757089836981,0.632646134287127,FALSE,-0.515684522552395,0.0114049360524733,TRUE,-0.136504726557987,0.731901505919366,FALSE,-0.447432159273402,0.0236419573084684,TRUE,-0.0682523632789935,-0.0682523632789935
"env_dist","Lewisetta",-0.204757089836981,0.632646134287127,FALSE,-0.515684522552395,0.0114049360524733,TRUE,-0.0347902383936194,0.943181534259995,FALSE,-0.285279954827679,0.248503899563644,FALSE,-0.169966851443361,-0.230404567724716
"env_dist","Lewisetta",-0.160035096610649,0.731901505919366,FALSE,-0.410524813044709,0.0871618359106182,FALSE,-0.136504726557987,0.731901505919366,FALSE,-0.447432159273402,0.0236419573084684,TRUE,-0.0235303700526623,0.0369073462286928
"env_dist","Lewisetta",-0.160035096610649,0.731901505919366,FALSE,-0.410524813044709,0.0871618359106182,FALSE,-0.0347902383936194,0.943181534259995,FALSE,-0.285279954827679,0.248503899563644,FALSE,-0.12524485821703,-0.12524485821703
"env_dist","YorkRiver",-0.0770019465219051,0.87427088088698,FALSE,-0.249123944629693,0.250394113626023,FALSE,-0.131356261713838,0.731901505919366,FALSE,-0.303478259821626,0.150531805657733,FALSE,0.054354315191933,0.054354315191933
"env_dist","YorkRiver",-0.0770019465219051,0.87427088088698,FALSE,-0.249123944629693,0.250394113626023,FALSE,-0.0177331725532977,0.949259575999403,FALSE,0.124132207873084,0.635570868053522,FALSE,-0.0592687739686073,-0.373256152502777
"env_dist","YorkRiver",-0.0177331725532977,0.949259575999403,FALSE,0.124132207873084,0.635570868053522,FALSE,-0.131356261713838,0.731901505919366,FALSE,-0.303478259821626,0.150531805657733,FALSE,0.11362308916054,0.42761046769471
"env_dist","YorkRiver",-0.0177331725532977,0.949259575999403,FALSE,0.124132207873084,0.635570868053522,FALSE,-0.0177331725532977,0.949259575999403,FALSE,0.124132207873084,0.635570868053522,FALSE,0,0
"gf_geno","Lewisetta",-0.136504726557987,0.731901505919366,FALSE,-0.447432159273402,0.0236419573084684,TRUE,-0.0682523632789935,0.89779494153877,FALSE,-0.379179795994408,0.0492400061648437,TRUE,-0.0682523632789935,-0.0682523632789935
"gf_geno","Lewisetta",-0.136504726557987,0.731901505919366,FALSE,-0.447432159273402,0.0236419573084684,TRUE,-0.0347902383936194,0.943181534259995,FALSE,-0.285279954827679,0.248503899563644,FALSE,-0.101714488164368,-0.162152204445723
"gf_geno","Lewisetta",-0.0347902383936194,0.943181534259995,FALSE,-0.285279954827679,0.248503899563644,FALSE,-0.0682523632789935,0.89779494153877,FALSE,-0.379179795994408,0.0492400061648437,TRUE,0.0334621248853741,0.0938998411667292
"gf_geno","Lewisetta",-0.0347902383936194,0.943181534259995,FALSE,-0.285279954827679,0.248503899563644,FALSE,-0.0347902383936194,0.943181534259995,FALSE,-0.285279954827679,0.248503899563644,FALSE,0,0
"gf_geno","YorkRiver",-0.285360154757648,0.388621102533066,FALSE,-0.493718362993391,0.0188413911274979,TRUE,-0.149474366777816,0.731901505919366,FALSE,-0.484659310461402,0.0197641094945694,TRUE,-0.135885787979832,-0.00905905253198885
"gf_geno","YorkRiver",-0.285360154757648,0.388621102533066,FALSE,-0.493718362993391,0.0188413911274979,TRUE,-0.0531995176598931,0.924886553953043,FALSE,-0.23053124319287,0.398852947310725,FALSE,-0.232160637097755,-0.263187119800521
"gf_geno","YorkRiver",-0.319197105959359,0.50773763833731,FALSE,-0.248264415746168,0.359976159930339,FALSE,-0.149474366777816,0.731901505919366,FALSE,-0.484659310461402,0.0197641094945694,TRUE,-0.169722739181543,0.236394894715234
"gf_geno","YorkRiver",-0.319197105959359,0.50773763833731,FALSE,-0.248264415746168,0.359976159930339,FALSE,-0.0531995176598931,0.924886553953043,FALSE,-0.23053124319287,0.398852947310725,FALSE,-0.265997588299466,-0.0177331725532977
"lea","Lewisetta",-0.546018906231948,0.040031266326941,TRUE,-0.659772845030271,0.000849889354806171,TRUE,-0.136504726557987,0.731901505919366,FALSE,-0.462599351113178,0.0197641094945694,TRUE,-0.409514179673961,-0.197173493917092
"lea","Lewisetta",-0.546018906231948,0.040031266326941,TRUE,-0.659772845030271,0.000849889354806171,TRUE,-0.160035096610649,0.731901505919366,FALSE,-0.410524813044709,0.0871618359106182,FALSE,-0.385983809621299,-0.249248031985562
"lea","Lewisetta",-0.535769671261739,0.055576405900886,FALSE,-0.59143405269153,0.0114049360524733,TRUE,-0.136504726557987,0.731901505919366,FALSE,-0.462599351113178,0.0197641094945694,TRUE,-0.399264944703752,-0.128834701578352
"lea","Lewisetta",-0.535769671261739,0.055576405900886,FALSE,-0.59143405269153,0.0114049360524733,TRUE,-0.160035096610649,0.731901505919366,FALSE,-0.410524813044709,0.0871618359106182,FALSE,-0.37573457465109,-0.180909239646821
"lea","YorkRiver",-0.176651524373782,0.731901505919366,FALSE,-0.457482152865436,0.0240590537768708,TRUE,-0.231005839565715,0.586211200442221,FALSE,-0.439364047801458,0.0306695513659314,TRUE,0.054354315191933,-0.0181181050639777
"lea","YorkRiver",-0.176651524373782,0.731901505919366,FALSE,-0.457482152865436,0.0240590537768708,TRUE,-0.212798070639573,0.731901505919366,FALSE,-0.141865380426382,0.61306670917638,FALSE,0.0361465462657904,-0.315616772439054
