"","site_name","lat","lon","offset_gf_geno_lew","offset_gf_geno_yrk"
"1","AC_LIS_CT_2023-10-3",41.146431,-73.235759,0.0159653887740619,0.0202680232406691
"2","Cal_Lake_LA_2022-8-11",29.84499,-93.3179,0.0233816227499711,0.0309809104010507
"3","CB_TX_2022-6-9",28.096,-97.174,0.0235881027004865,0.0315395540156745
"4","CC_VA_2022-7-11",37.616617,-75.663933,0.0217702611839447,0.0095305665852511
"5","CPR_MS_AL_2022-8-24",30.37278,-88.31833,0.0247858629025307,0.0272743585138176
"6","CS_DB_NJ_2022-9-21",39.073592,-74.913017,0.0193563647449901,0.00688933505023783
"7","Culch_Ba_LA_2022-6-21",29.42362,-90.01914,0.0223290111041265,0.0315228553742435
"8","DC_DR_ME_2022-10-25",44.02452236,-69.53203214,0.0312689688678515,0.0198177939398723
"9","DC_NB_RI_2022-8-19",41.55897,-71.437883,0.0292138168228508,0.0176384428001706
"10","DWS_CB_VA_2022-10-7",37.14888,-76.63554,0.00899278991005079,0.0080647931080844
"11","EC_ApBay_FL_2023-10-4",29.695683,-84.789312,0.0239912504508927,0.0298081578404084
"12","FFJ_CF_NC_2023-7-19",33.9586917,-77.941833,0.0185429537002606,0.0132377253454985
"13","FP_Sav_GA_2022-6-10",32.01721,-80.92203,0.0247897239095365,0.0164539767643013
"14","GalBay_TX_2022-6-2",29.5475,-94.90361,0.0127745491599132,0.0237150035266273
"15","GriceCove_SC_2022-8-10",32.7523094,-79.8976693,0.0223040624277248,0.0152280379167822
"16","HC_DB_NJ_2022-9-23",39.434722,-75.516944,0.00808224252962432,0.0175558009390217
"17","IL_ApBay_FL_2023-10-3",29.689108,-85.220739,0.0234377351932991,0.0296639648127595
"18","KP_FGR_FL_2022-8-23",30.44003,-81.43638,0.0258863065483152,0.0188331390590907
"19","LakeFortuna_LA_2022-5-11",29.64379,-89.49761,0.0205979086286222,0.0304516845804438
"20","LCP_UP_MD_2022-10-20",38.33696,-76.97669,0.00683424135128547,0.016549433690381
"21","Mer_GA_2022-7-26",31.453512,-81.363169,0.0223971996174743,0.0176460549499107
"22","Nickle_Rf_LA_2022-8-1",29.4196,-91.70716,0.0188255202524015,0.0300763073787701
"23","OL_MI_SC_2022-5-31",33.5235297,-79.061842,0.0235577145774572,0.0135260457970032
"24","Orrs_Cove_ME_2022-10-31",43.83136167,-69.91531433,0.02797541175253,0.0155359833655712
"25","SaLa_GA_2022-10-5",29.785,-93.91806,0.0233620365856909,0.0315737118807301
"26","SaltBay_Canada_2022-9-27",43.812486,-65.910547,0.0271974758811915,0.0175614050536226
"27","Sapelo_Is_GA_2022-7-17",31.4177723,-81.2957724,0.0227172721623175,0.016046104051384
"28","SawIs_MA_2022-9-5",42.751733,-70.83657,0.0185293458198482,0.0140473076904878
"29","Sister_Lk_LA_2022-8-9",29.239925,-90.911362,0.022300134187838,0.0315231076296393
"30","SkR_GA_2022-6-14",31.98995,-81.02173,0.0220367696371372,0.016482094702306
"31","SR_GB_NH_2022-8-12",43.053746,-70.911544,0.0194731142770023,0.0187641733932009
"32","TP_TX_2022-6-28",28.6936,-96.2233,0.0238057029862924,0.0316791181799599
"33","UNCW_MS_NC_2023-7-17",34.1402344,-77.8636305,0.0259393744414179,0.014956371354192
