"","site","offset_lew","order_lew","offset_yrk","order_yrk"
"1","S1-LOLA",0,1,0.00213811404441341,1
"2","S2-DEBY",0.00639719359664991,3,0.00842585866771141,2
"3","W1-TX",0.049354720664155,5,0.0415396360894959,5
"4","W2-LA",0.0665183013630821,7,0.0584121632369297,8
"5","W3-FL",0.0680276973388659,8,0.0509876474796313,6
"6","W4-VA",0.00618342632911802,2,0.0104377110604839,3
"7","W5-NH",0.0404166230805159,4,0.0363798166155869,4
"8","W6-ME",0.0663366524250083,6,0.0518834000760056,7
