"site_name","Latitude_manual","Longitude_manual","LEA_lew","LEA_yrk","RDA_lew","RDA_yrk","NA","NA.1","GF_geno_lew","GF_geno_yrk","GF_af_lew","GF_af_yrk","EnvDist_lew","EnvDist_yrk"
"AC_LIS_CT_2023-10-3",41.146431,-73.235759,0.0369075409604647,0.0213407578089036,2.08868923662008,0.473424940110821,0.899406197496727,0.315991582068381,0.015915703236692,0.0100521799126598,0.0182737739694824,0.0227394795803452,3.4806,2.715
"Cal_Lake_LA_2022-8-11",29.84499,-93.3179,0.0171980236452146,0.0111675464271223,0.732875827556756,2.22802960602776,1.37655696726327,2.01449076855765,0.0129765997988554,0.00765956678747969,0.0271159195258488,0.0348610955592703,3.1958,3.7971
"CC_VA_2022-7-11",37.616617,-75.663933,0.0127968643267105,0.00562673188101477,2.30701750142932,0.694827596090947,1.88568404525354,1.21401508752543,0.0175285896912938,0.0095232873875974,0.0248294024619445,0.0101251251509926,3.6689,3.689
"CPR_MS_AL_2022-8-24",30.37278,-88.31833,0.0127245938812941,0.0110048380465271,0.45454600720222,1.83392353681096,0.809232827680195,1.40825617061573,0.0120300946876797,0.00665453410801939,0.0286121656263147,0.0301804941195326,2.9851,3.6256
"CS_DB_NJ_2022-9-21",39.073592,-74.913017,0.0131740217314938,0.00319744066907442,1.59088702797472,0.0312456630412314,1.29683239802063,0.630145599433637,0.00967724509594334,0.00515705201225615,0.0216862004585945,0.00749206902328769,2.1106,3.1376
"Culch_Ba_LA_2022-6-21",29.42362,-90.01914,0.015270130904116,0.0114000449097434,1.37738635406296,2.96007013411995,2.13244085500478,2.78812582370799,0.00873821860218851,0.00893767621576832,0.0256162764624074,0.03550398778622,2.535,3.9962
"DC_NB_RI_2022-8-19",41.55897,-71.437883,0.0452694336068388,0.0160312729723604,3.74720006795628,2.13369314974547,3.64670886842275,2.98463114881441,0.0204517039485067,0.0137152244229988,0.0322345178040452,0.0179948037676491,4.3986,4.302
"EC_ApBay_FL_2023-10-4",29.695683,-84.789312,0.0221605433759253,0.0148448126164843,0.530201583781534,1.75714021904571,1.10213849118445,1.71923526839276,0.017140124125567,0.0105184247836863,0.0280657745942805,0.033694881126237,3.8981,4.0889
"FFJ_CF_NC_2023-7-19",33.9586917,-77.941833,0.0262960637022908,0.00489309819449958,1.74355073677507,0.408781809498315,0.277803788482252,0.748087066295784,0.0135571374888121,0.00621499367517444,0.0182647843887758,0.0151063483218606,3.0137,3.4383
"FP_Sav_GA_2022-6-10",32.01721,-80.92203,0.0339848020189269,0.00710804776329097,1.63983469216859,0.42147171672842,0.386435392757911,0.884305426359511,0.0120002344871585,0.00527741673256401,0.0220962704980416,0.0151840094111274,2.9559,2.9228
"GriceCove_SC_2022-8-10",32.7523094,-79.8976693,0.0186559335318851,0.00909195103079385,0.863987580675531,0.931130145263501,0.40306929507398,0.589887403861384,0.0161624112884907,0.00831118219356131,0.0257610190988057,0.0166851815398051,3.6322,3.7105
"HC_DB_NJ_2022-9-23",39.434722,-75.516944,0.0130526232012257,0.00690717319149428,0.406930466101861,2.02528370812487,0.896832327802106,1.56825521816154,0.00477758422340856,0.0096727593136652,0.00842639530397,0.02062449035347,1.4419,3.8717
"IL_ApBay_FL_2023-10-3",29.689108,-85.220739,0.0220269341174077,0.0145532160732695,0.54543875191072,1.57714257910695,1.05817709236365,1.67436195929803,0.017212390993332,0.0105138996307895,0.0274879431676291,0.0335816525593586,3.8851,4.0761
"LakeFortuna_LA_2022-5-11",29.64379,-89.49761,0.0115672197341232,0.00899167423056526,1.12745498090927,2.71265508249726,1.89732739209205,2.55377309445137,0.00603814567809435,0.0116933417111792,0.0237308721666812,0.0345419940727781,2.2206,4.0862
"LCP_UP_MD_2022-10-20",38.33696,-76.97669,0.00805868900478402,0.00594808745846312,0.216466659634758,1.406859938712,0.234257144041065,0.884012088386306,0.0072357710938677,0.00713726869227865,0.00758742189193511,0.0193785123936128,1.435,3.6384
"Mer_GA_2022-7-26",31.453512,-81.363169,0.03349530429837,0.0106979625753534,1.54234711735346,0.540549778794498,0.508969231834623,1.02782584953331,0.0165491786819549,0.00904136314808841,0.0266622275573769,0.0206940483093761,3.7572,3.618
"Nickle_Rf_LA_2022-8-1",29.4196,-91.70716,0.0104376899841922,0.00928427635519842,1.80179172871885,3.41181386512124,2.24339556248006,2.90648092710042,0.00629334881112549,0.0132590563795239,0.0218374831583261,0.0342361258625545,2.3021,4.431
"OL_MI_SC_2022-5-31",33.5235297,-79.061842,0.0236996012589871,0.0122376197478666,2.10306035191924,0.532478439110729,1.53862232305267,0.878902467805262,0.0172899715296037,0.0105656302364635,0.0265386520196755,0.0132851434198661,4.195,3.3563
"Orrs_Cove_ME_2022-10-31",43.83136167,-69.91531433,0.0418910557004388,0.0165324791504748,3.07432354143839,1.45807296938496,2.69499431732102,2.02985275843007,0.0151448041830175,0.0133852256638154,0.0294843236100145,0.0164885038156338,3.4587,3.9521
"SaLa_GA_2022-10-5",29.785,-93.91806,0.019367640477606,0.010815233059318,0.614882189480805,2.04421530735687,1.65061607239314,2.30041550867954,0.0146784165785986,0.00926122778303375,0.0274095571692,0.0357170310210669,3.33,3.9697
"SaltBay_Canada_2022-9-27",43.812486,-65.910547,0.032113987411164,0.024781566706324,3.1926195080426,1.60348549257265,3.4995077742851,2.8426239485747,0.0150386254042799,0.0141578731727923,0.0292705546799103,0.0178944874371031,3.5262,4.2848
"Sapelo_Is_GA_2022-7-17",31.4177723,-81.2957724,0.0283788049040161,0.0105901241430698,1.55919070391075,0.493801837505927,0.423378739111511,0.651808447641374,0.0173909263687816,0.00975847886819147,0.0261939006886066,0.0184358754775127,3.8664,3.8664
"SawIs_MA_2022-9-5",42.751733,-70.83657,0.0431768377803621,0.0152852998430812,1.46985286409469,0.272252566919293,0.522642045132626,0.181399831194821,0.0154263319683452,0.0082246784365966,0.0212628021839664,0.0158329479378652,3.5004,3.6538
"SkR_GA_2022-6-14",31.98995,-81.02173,0.0401922356499702,0.00932218735595414,2.01061110090956,0.575290324992933,0.422418132262083,0.551566920618593,0.0161287935073571,0.00834152718101383,0.0256307099437949,0.0182954506586752,3.5699,3.6854
"TP_TX_2022-6-28",28.6936,-96.2233,0.0159611476402148,0.0122584089643274,0.623799889477118,2.06137427251287,1.3966567432393,2.03429058166656,0.0133406383990693,0.00824225101786659,0.0275176312523606,0.0356031104819631,3.198,3.8277
"UNCW_MS_NC_2023-7-17",34.1402344,-77.8636305,0.0322660393126543,0.00699728156600637,2.30179488134649,0.759454659012578,0.779157068351437,0.27071766733685,0.0172653321645611,0.00991119958047457,0.0244720277337463,0.0145874867520412,3.7401,3.7351
