"site_name","Latitude_manual","Longitude_manual","LEA_lew","LEA_yrk","RDA_lew","RDA_yrk","NA","NA.1","GF_geno_lew","GF_geno_yrk","EnvDist_lew","EnvDist_yrk"
"AC_LIS_CT_2023-10-3",41.146431,-73.235759,0.0293648665282482,0.021441480487449,1.1262316524059,0.393983505251747,0.862622874791668,0.285419400737078,0.0159653887740619,0.0202680232406691,3.093,3.0229
"Cal_Lake_LA_2022-8-11",29.84499,-93.3179,0.0177226752669435,0.0108934978556402,0.958484505027817,2.34727076075195,1.3685057734778,2.01074317491949,0.0233816227499711,0.0309809104010507,3.1996,3.0308
"CC_VA_2022-7-11",37.616617,-75.663933,0.0124713405724831,0.0056475720972529,2.23997158827003,0.7430136426068,1.07917323389315,1.69753498111325,0.0217702611839447,0.0095305665852511,3.701,2.6214
"CPR_MS_AL_2022-8-24",30.37278,-88.31833,0.0148531138240449,0.0107900850119469,0.577171666763494,1.89571142217439,1.84580835992681,1.17044426801457,0.0247858629025307,0.0272743585138176,2.9867,2.8122
"CS_DB_NJ_2022-9-21",39.073592,-74.913017,0.0110730090013897,0.00322434320730642,1.62595317168024,0.165625554077024,0.806526294686039,1.41103023502107,0.0193563647449901,0.00688933505023783,2.3181,1.369
"Culch_Ba_LA_2022-6-21",29.42362,-90.01914,0.0146110391427087,0.0111222916619905,1.77422371575561,3.23645304263344,1.2448963322636,0.574283233192321,0.0223290111041265,0.0315228553742435,2.5356,3.2762
"DC_NB_RI_2022-8-19",41.55897,-71.437883,0.0354214407829285,0.0159819172396232,3.5886299454074,2.10961961403159,2.11836298061409,2.77799554693842,0.0292138168228508,0.0176384428001706,4.4027,3.6442
"EC_ApBay_FL_2023-10-4",29.695683,-84.789312,0.0224622143201316,0.0144773472752312,0.7238751424681,2.01573997069186,3.16355355927176,2.49524757963386,0.0239912504508927,0.0298081578404084,3.9027,3.3901
"FFJ_CF_NC_2023-7-19",33.9586917,-77.941833,0.0172817106264521,0.00482237945910878,1.28145021763074,0.378173398405744,3.54742756621556,2.88151724776589,0.0185429537002606,0.0132377253454985,3.8522,1.7862
"FP_Sav_GA_2022-6-10",32.01721,-80.92203,0.0321792179547436,0.0069679514053284,1.65560161899631,0.32082346283185,0.274648512152567,0.400857729691057,0.0247897239095365,0.0164539767643013,4.8963,2.6655
"GriceCove_SC_2022-8-10",32.7523094,-79.8976693,0.0209067039743291,0.00897817954766102,0.710746463759351,0.990381194064118,0.275499574926565,0.75996796321046,0.0223040624277248,0.0152280379167822,3.6371,2.9225
"HC_DB_NJ_2022-9-23",39.434722,-75.516944,0.0104767860002351,0.00692676913773558,0.608713214795565,2.10497497877106,0.388433243759093,0.899294694244814,0.00808224252962432,0.0175558009390217,1.5194,2.8569
"IL_ApBay_FL_2023-10-3",29.689108,-85.220739,0.021857033886668,0.0141975075216943,0.692126122913269,1.9767057312613,1.85274144774788,2.51499953923877,0.0234377351932991,0.0296639648127595,3.8897,3.3746
"LakeFortuna_LA_2022-5-11",29.64379,-89.49761,0.0108203417780763,0.00877616367479333,1.71180682969214,3.18617595613974,0.390735240731919,0.608551941253314,0.0205979086286222,0.0304516845804438,2.2208,3.3874
"LCP_UP_MD_2022-10-20",38.33696,-76.97669,0.00738737052570459,0.0059222813989531,0.14107678031246,1.3650381757586,0.914486609861311,1.58954034765656,0.00683424135128547,0.016549433690381,1.506,2.5478
"Mer_GA_2022-7-26",31.453512,-81.363169,0.0216780742506166,0.0104884613639215,0.674905569050665,1.10952914233261,1.05360351223385,1.67446151202785,0.0223971996174743,0.0176460549499107,3.8334,2.6801
"Nickle_Rf_LA_2022-8-1",29.4196,-91.70716,0.00992938966968761,0.00916962511951708,2.03762531883669,3.52084614589102,0.658002098658681,0.503000358509535,0.0188255202524015,0.0300763073787701,2.3023,3.7961
"OL_MI_SC_2022-5-31",33.5235297,-79.061842,0.0209320053639949,0.0121998453578884,1.65541677736418,0.258428485908892,1.88519578701202,2.54559150415995,0.0235577145774572,0.0135260457970032,4.0844,3.2931
"Orrs_Cove_ME_2022-10-31",43.83136167,-69.91531433,0.0307994314506133,0.0166472542192431,2.95027067975061,1.47534405298815,0.248223910593652,0.904540416764412,0.02797541175253,0.0155359833655712,3.745,2.6408
"SaLa_GA_2022-10-5",29.785,-93.91806,0.0177625669390513,0.0105613898431063,1.141418021452,2.55567702766034,0.509867203677539,1.03824285986967,0.0233620365856909,0.0315737118807301,3.3354,3.2453
"SaltBay_Canada_2022-9-27",43.812486,-65.910547,0.0294738094221279,0.0247287285525311,3.08849816612017,1.65051377769724,2.2312551730071,2.89820642677374,0.0271974758811915,0.0175614050536226,3.5262,3.6237
"Sapelo_Is_GA_2022-7-17",31.4177723,-81.2957724,0.0214756925972195,0.0104264580016788,0.860209129148795,0.860305606165815,1.49719847932441,0.835069776711986,0.0227172721623175,0.016046104051384,3.9048,2.8336
"SawIs_MA_2022-9-5",42.751733,-70.83657,0.0337746634553483,0.0152587989271117,0.983330766843536,0.550267851112359,2.60395254256966,1.93485873537948,0.0185293458198482,0.0140473076904878,3.5274,2.5996
"SkR_GA_2022-6-14",31.98995,-81.02173,0.0175672875924806,0.00925934917298048,0.740960450608719,0.952451749489696,1.63641764835103,2.29025254836686,0.0220367696371372,0.016482094702306,3.5749,2.8906
"TP_TX_2022-6-28",28.6936,-96.2233,0.0162829801681142,0.0119710893061925,0.990697859922633,2.38520013101303,3.40411872179209,2.74346639959349,0.0238057029862924,0.0316791181799599,3.2012,3.0688
"UNCW_MS_NC_2023-7-17",34.1402344,-77.8636305,0.0304980472164274,0.00690680094055534,2.31857843935105,0.842970330439045,0.413933166623257,0.666364280393126,0.0259393744414179,0.014956371354192,5.0435,2.6926
