"","site_name","offset_lew_sea","offset_yrk_sea","offset_lew_sea_nb","offset_yrk_sea_nb"
"1","AC_LIS_CT_2023-10-3",2.30566479750892,0.499098556808104,0.901679243360592,0.315167903236524
"2","Cal_Lake_LA_2022-8-11",0.654196670033304,2.30876568364416,1.36952856069325,2.0111051582126
"3","CC_VA_2022-7-11",2.49622760871518,0.669226689251001,1.89217182110052,1.21681676290994
"4","CPR_MS_AL_2022-8-24",0.437223981321052,1.9519131369639,0.801727588787614,1.40377291358983
"5","CS_DB_NJ_2022-9-21",1.6446767851625,0.206075306364308,1.30254127293108,0.632152386439446
"6","Culch_Ba_LA_2022-6-21",1.37483797925947,3.1570255376027,2.1279441489155,2.78738840859825
"7","DC_NB_RI_2022-8-19",3.96776349751831,2.15794180733363,3.65298812681364,2.98716694021312
"8","EC_ApBay_FL_2023-10-4",0.528322021830401,1.80281054312736,1.09304028047524,1.71348502240476
"9","FFJ_CF_NC_2023-7-19",1.80669265897064,0.259543487965122,0.276012481209433,0.745206316147435
"10","FP_Sav_GA_2022-6-10",1.67857049657914,0.34403982824077,0.382226033225964,0.880024055318456
"11","GalBay_TX_2022-6-2",1.28121047888128,3.07442163996334,1.85953515078943,2.52163778620522
"12","GriceCove_SC_2022-8-10",1.01912625026431,0.945315889299099,0.406014210941673,0.585360855542318
"13","HC_DB_NJ_2022-9-23",0.431750664951599,2.25861942577915,0.897294679869021,1.57241685119439
"14","IL_ApBay_FL_2023-10-3",0.576188730320023,1.62429581482146,1.04914096783317,1.66865404365814
"15","LakeFortuna_LA_2022-5-11",1.19838023958838,2.99192282609472,1.89322911545346,2.55343677391005
"16","LCP_UP_MD_2022-10-20",0.275620951525062,1.55992596430588,0.236031277142234,0.889674771675623
"17","Mer_GA_2022-7-26",1.63497643114953,0.46736849471576,0.502835982593446,1.02243495193353
"18","Nickle_Rf_LA_2022-8-1",1.8723320806847,3.68543458334167,2.24269436973162,2.90953504989488
"19","OL_MI_SC_2022-5-31",2.27095398852544,0.477848204817724,1.54915318407927,0.885623572747202
"20","Orrs_Cove_ME_2022-10-31",3.08840901416928,1.28355637128303,2.70361772779321,2.03475508708806
"21","SaLa_GA_2022-10-5",0.532140140439851,2.11653658304611,1.64487467721545,2.29841327329211
"22","SaltBay_Canada_2022-9-27",3.24051287599693,1.47764293116046,3.50369427490993,2.84306896957163
"23","Sapelo_Is_GA_2022-7-17",1.66636682038213,0.423171416462726,0.425263394621434,0.64642442597489
"24","SawIs_MA_2022-9-5",1.59907277815967,0.264851580721789,0.531051749856168,0.176121647120143
"25","SkR_GA_2022-6-14",2.09551008130399,0.400607951017323,0.425947914803067,0.547722894816874
"26","TP_TX_2022-6-28",0.56237501631426,2.15978660622069,1.3894262555677,2.03070218956541
"27","UNCW_MS_NC_2023-7-17",2.39237832191552,0.603172245716715,0.787461087154409,0.271055731711696
"28","CB_TX_2022-6-9",0.539776613807342,2.1209687150163,1.07999691260901,1.69733129135685
"29","DC_DR_ME_2022-10-25",3.4052511838008,1.60944211526182,3.28956073498876,2.62152299256741
"30","KP_FGR_FL_2022-8-23",1.82501160375145,0.422761649116743,0.688412725543283,0.487853940660737
"31","Sister_Lk_LA_2022-8-9",1.3731887098614,3.16154939247633,1.98644228569772,2.64474258152653
"32","SR_GB_NH_2022-8-12",2.13332720061144,0.314033533485291,0.860886976559164,0.224940204188516
"33","WS_CB_VA_2022-10-7",1.83019160236682,0.0499133142101184,0.295983525644694,0.379500839522712
"34","S1_LOLA",0.144808465319245,1.69343660152767,0.173583835173716,0.51723874993268
"35","S2_DEBY",1.69960592605873,0.128604176478647,0.720477538949367,0.0486516419932631
