"","site_name","lat","lon","offset_lew","offset_yrk"
"129","W5-NH",43.0524,-70.91181,0.37305382840717,0.302893099531348
"130","W5-NH",43.0524,-70.91181,0.37305382840717,0.302893099531348
"131","W5-NH",43.0524,-70.91181,0.37305382840717,0.302893099531348
"132","W5-NH",43.0524,-70.91181,0.37305382840717,0.302893099531348
"133","W5-NH",43.0524,-70.91181,0.37305382840717,0.302893099531348
"134","W5-NH",43.0524,-70.91181,0.37305382840717,0.302893099531348
"135","W6-ME",43.986,-69.55,1.26989751625845,0.748647677800659
"136","W6-ME",43.986,-69.55,1.26989751625845,0.748647677800659
"137","W6-ME",43.986,-69.55,1.26989751625845,0.748647677800659
"138","W6-ME",43.986,-69.55,1.26989751625845,0.748647677800659
"139","W6-ME",43.986,-69.55,1.26989751625845,0.748647677800659
"140","W6-ME",43.986,-69.55,1.26989751625845,0.748647677800659
"141","W6-ME",43.986,-69.55,1.26989751625845,0.748647677800659
"142","W6-ME",43.986,-69.55,1.26989751625845,0.748647677800659
"143","W6-ME",43.986,-69.55,1.26989751625845,0.748647677800659
"144","W6-ME",43.986,-69.55,1.26989751625845,0.748647677800659
"145","W6-ME",43.986,-69.55,1.26989751625845,0.748647677800659
"146","W6-ME",43.986,-69.55,1.26989751625845,0.748647677800659
"147","W6-ME",43.986,-69.55,1.26989751625845,0.748647677800659
"148","W6-ME",43.986,-69.55,1.26989751625845,0.748647677800659
"149","W6-ME",43.986,-69.55,1.26989751625845,0.748647677800659
"150","W6-ME",43.986,-69.55,1.26989751625845,0.748647677800659
"151","W6-ME",43.986,-69.55,1.26989751625845,0.748647677800659
"152","W6-ME",43.986,-69.55,1.26989751625845,0.748647677800659
"153","W6-ME",43.986,-69.55,1.26989751625845,0.748647677800659
"154","W6-ME",43.986,-69.55,1.26989751625845,0.748647677800659
