"method","biotic","sel","bag_site","event","pearson_surv","pearson_surv_pval","pearson_surv_rank","pearson_surv_rank_pval","spearman_surv","spearman_surv_pval","spearman_surv_rank","spearman_surv_rank_pval","kendall_surv","kendall_surv_pval","kendall_surv_rank","kendall_surv_rank_pval","r2_surv","r2_surv_rank","pearson_len","pearson_len_pval","pearson_len_rank","pearson_len_rank_pval","spearman_len","spearman_len_pval","spearman_len_rank","spearman_len_rank_pval","kendall_len","kendall_len_pval","kendall_len_rank","kendall_len_rank_pval","r2_len","r2_len_rank","signif_surv","signif_len"
"lea","b","sel","Lewisetta",1,-0.626826898119173,0.00104647195867403,-0.871889198393512,2.8728429268231e-08,-0.727688608427436,5.58205433497043e-05,-0.904761904761905,1.28972515412256e-09,-0.561186098071724,0.000211696434486544,-0.785714285714286,5.7622333162139e-07,0.392911960205704,0.760190774275281,-0.619071390799976,0.00125794105964569,-0.808786336646376,1.72504733977883e-06,-0.735569712489827,4.20908483047945e-05,-0.80952380952381,1.65935011620969e-06,-0.568769693991613,0.00017355177880683,-0.642857142857143,4.3117324606625e-05,0.383249386907017,0.654135338345865,TRUE,TRUE
"lea","b","sel","Lewisetta",2,-0.678469963597365,0.000268231379243499,-0.802828667827689,2.34665514178124e-06,-0.78022930217671,6.91009997889154e-06,-0.80952380952381,1.65935011620969e-06,-0.606687673591053,6.20150164613823e-05,-0.642857142857143,4.3117324606625e-05,0.46032149150381,0.644533869885983,-0.642501783396332,0.000710513911335427,-0.790193547298183,4.36160536809795e-06,-0.667266810615772,0.000368358786326976,-0.80952380952381,1.65935011620969e-06,-0.477766542952955,0.00161079496389261,-0.642857142857143,4.3117324606625e-05,0.412808541667467,0.624405842191686,TRUE,TRUE
"lea","b","sel","Lewisetta",3,-0.742385420258385,3.27106595162092e-05,-0.899901828195353,2.17857081978494e-09,-0.814380753113737,1.27953149443116e-06,-0.880952380952381,1.33918659146868e-08,-0.644605653190494,2.08747928912245e-05,-0.714285714285714,5.50491008247043e-06,0.55113611221222,0.809823300389338,-0.745807096771384,2.87375530331695e-05,-0.918362551834412,2.52638343362273e-10,-0.88793772436272,7.12185188442843e-09,-0.928571428571429,6.09980636290113e-11,-0.728025208309264,1.53971220636976e-06,-0.785714285714286,5.7622333162139e-07,0.556228225594561,0.843389776611813,TRUE,TRUE
"lea","b","sel","Lewisetta",4,-0.742326609776641,3.27829767483908e-05,-0.934513436972097,2.41314424341834e-11,-0.835397030613447,3.78627547449516e-07,-0.928571428571429,6.09980636290113e-11,-0.652189249110382,1.66695495474575e-05,-0.785714285714286,5.7622333162139e-07,0.551048795582482,0.873315363881402,-0.589894532070582,0.00241348206521974,-0.908513525158996,8.43885104324882e-10,-0.843278134675838,2.29436555305133e-07,-0.904761904761905,1.28972515412256e-09,-0.659772845030271,1.32795211688464e-05,-0.785714285714286,5.7622333162139e-07,0.347975558966771,0.825396825396825,TRUE,TRUE
"lea","b","sel","YorkRiver",1,0.00304826606812028,0.98872134394352,0.115909836639295,0.589645292814406,0.220670913746948,0.300111142907588,0.238095238095238,0.262559273750359,0.151671918397763,0.316704823946919,0.214285714285714,0.172766190477016,9.29192602205472e-06,0.013435090229748,-0.038624578632506,0.857791573370137,-0.0184427778390829,0.931836474735652,-0.039405520311955,0.85494566727918,-0.0238095238095238,0.912067694382264,-0.0530851714392172,0.726009770673111,-0.0714285714285714,0.649500372025156,0.00149185807453863,0.000340136054421776,FALSE,FALSE
"lea","b","sel","YorkRiver",2,-0.0282624820185332,0.895702751525092,0.188501975914996,0.37771452383379,0.133978769060647,0.532532705463244,0.238095238095238,0.262559273750359,0.091003151038658,0.548005572361309,0.214285714285714,0.172766190477016,0.000798767889847909,0.0355329949238578,-0.0936910946128737,0.663237162631801,-0.0519174131651165,0.809611885336016,-0.0735569712489827,0.73266679163685,0.0476190476190476,0.825126628569084,-0.0682523632789935,0.652304137211763,0,1,0.0087780212097585,0.00269541778975744,FALSE,FALSE
"lea","b","sel","YorkRiver",3,-0.397157076938415,0.0546447541256869,-0.272639270636399,0.19742073530062,-0.210162774997093,0.32428694204789,-0.333333333333333,0.111445944451059,-0.227507877596645,0.13312848419606,-0.357142857142857,0.023069485688115,0.157733743762266,0.0743321718931474,-0.617653594953936,0.00130031629570874,-0.715678085420547,8.43125956773507e-05,-0.567439492492152,0.00382894482817606,-0.714285714285714,8.83242023615553e-05,-0.409514179673961,0.00686379498544903,-0.571428571428571,0.000277279369975525,0.381495963359521,0.512195121951219,FALSE,TRUE
"lea","b","sel","YorkRiver",4,-0.32423077771087,0.140989485259091,-0.037313119288127,0.869058141816746,-0.166671223734873,0.458491022758782,-0.0349570200573066,0.877263799766453,-0.176651524373782,0.266841853201803,-0.109004739336493,0.508729326763901,0.105125597214995,0.00139226887101,-0.540013264458747,0.00947996839267982,-0.673426074287005,0.000591863918243978,-0.602405549266999,0.00300859933127673,-0.712320916905444,0.000199855849028244,-0.457482152865436,0.00403311275357527,-0.592417061611374,0.000328906723410942,0.291614325791393,0.453502677529606,FALSE,TRUE
"gf_af","b","sel","Lewisetta",1,-0.385105021216736,0.0631236138431291,-0.457526014998576,0.024576771192117,-0.359903752182523,0.0840836105282938,-0.5,0.0128454209680058,-0.265425857196086,0.079740865817891,-0.428571428571429,0.00639637370457417,0.148305877366343,0.209330054400477,-0.464203195642022,0.0223070729372081,-0.343966602941562,0.0998065494333961,-0.296854919683395,0.158941848389552,-0.333333333333333,0.111445944451059,-0.227507877596645,0.13312848419606,-0.285714285714286,0.0690907974580714,0.215484606844265,0.118313023939158,FALSE,FALSE
"gf_af","b","sel","Lewisetta",2,-0.4216052931776,0.0401735835590691,-0.353935219149842,0.089736934556772,-0.378292994994768,0.0683435935843025,-0.357142857142857,0.0866644014883431,-0.280593049035862,0.0639803382127558,-0.285714285714286,0.0690907974580714,0.17775102323537,0.125270139354646,-0.398359318019353,0.0538499860215797,-0.381152181637947,0.0661139016111046,-0.344141544057741,0.0996229135062935,-0.380952380952381,0.0662678785931188,-0.242675069436421,0.109154778516566,-0.285714285714286,0.0690907974580714,0.158690146252844,0.145276985567367,FALSE,FALSE
