"method","biotic","sel","bag_site","event","kendall_surv","kendall_surv_pval","r2_surv","r2_surv_rank","kendall_len","kendall_len_pval","r2_len","r2_len_rank","signif_surv","signif_len","p_adj_surv","p_adj_len","signif_surv_adj","signif_len_adj"
"lea","b","sel","Lewisetta",4,-0.273009453115974,0.0715054164448744,0.377394503721655,0.21832884097035,-0.583936885831389,0.000115814078109336,0.349824055912038,0.703296703296703,FALSE,TRUE,0.705812308668321,0.014824201997995,FALSE,TRUE
"lea","b","sel","YorkRiver",4,-0.231005839565715,0.146497287558392,0.150495721129823,0.0169195229742155,-0.439364047801458,0.00575054088111214,0.249467770880636,0.430512809522158,FALSE,TRUE,0.705812308668321,0.0408927351545752,FALSE,TRUE
"gf_geno","b","sel","Lewisetta",4,-0.136504726557987,0.367520738242143,0.0822526607014217,0.0362383947289608,-0.447432159273402,0.00313994745503096,0.124392692801226,0.395604395604396,FALSE,TRUE,0.721798447970937,0.0365375703858148,FALSE,TRUE
"gf_geno","b","sel","YorkRiver",4,-0.149474366777816,0.347453842604331,0.0603531034874562,0.536041449244443,-0.43030499526947,0.00683589381928366,0.241305922891803,0.264252422725002,FALSE,TRUE,0.721798447970937,0.0439282879068738,FALSE,TRUE
"rda","b","sel","Lewisetta",4,-0.219924281676757,0.146552800110555,0.378508116952333,0.202455825097335,-0.379179795994408,0.0123100015412109,0.255593402168782,0.312576312576313,FALSE,TRUE,0.705812308668321,0.0685078346641304,FALSE,FALSE
"rda","b","sel","YorkRiver",4,-0.212887734501738,0.180853424799674,0.0414918844236979,0.0626442154445929,-0.221946787033726,0.162993603154294,0.0497954245157654,0.237310101519188,FALSE,FALSE,0.705812308668321,0.361512076735501,FALSE,FALSE
"env_dist","b","sel","Lewisetta",4,-0.204757089836981,0.176474290774069,0.181494887828517,0.15843066786463,-0.515684522552395,0.000663440613357049,0.309719705814474,0.674297924297924,FALSE,TRUE,0.705812308668321,0.0304866265088861,FALSE,TRUE
"env_dist","b","sel","YorkRiver",4,-0.0770019465219051,0.628382195637517,0.0184394517739937,0.00328294443866182,-0.249123944629693,0.117372240762198,0.0907016361502956,0.158940650733532,FALSE,FALSE,0.87427088088698,0.30660503709309,FALSE,FALSE
"lea","nb","sel","Lewisetta",4,-0.136504726557987,0.367520738242143,0.234038820440423,0.0587002096436059,-0.462599351113178,0.00225947858886886,0.190693492786475,0.488400488400489,FALSE,TRUE,0.721798447970937,0.0365375703858148,FALSE,TRUE
"lea","nb","sel","YorkRiver",4,-0.231005839565715,0.146497287558392,0.16031774455106,0.0169195229742155,-0.439364047801458,0.00575054088111214,0.229053997828703,0.430512809522158,FALSE,TRUE,0.705812308668321,0.0408927351545752,FALSE,TRUE
"gf_geno","nb","sel","Lewisetta",4,-0.0682523632789935,0.652304137211763,0.0233673082723612,0.00748727163821503,-0.379179795994408,0.0123100015412109,0.032743440727658,0.256715506715507,FALSE,TRUE,0.89779494153877,0.0685078346641304,FALSE,FALSE
"gf_geno","nb","sel","YorkRiver",4,-0.149474366777816,0.347453842604331,0.066996429807657,0.37404864406844,-0.484659310461402,0.00231610658139485,0.255700551288206,0.223686811455122,FALSE,TRUE,0.721798447970937,0.0365375703858148,FALSE,TRUE
"rda","nb","sel","Lewisetta",4,-0.0530851714392172,0.726009770673111,0.107491077677306,0.0146750524109015,-0.242675069436421,0.109154778516566,0.029316503477009,0.134615384615385,FALSE,FALSE,0.933450318341497,0.305452709880312,FALSE,FALSE
"rda","nb","sel","YorkRiver",4,-0.258182997161682,0.104623423288806,0.164968983769211,0.106695788021387,-0.19476962943776,0.220858540896306,0.0845393790282179,0.176469067012273,FALSE,FALSE,0.705812308668321,0.441717081792612,FALSE,FALSE
"env_dist","nb","sel","Lewisetta",4,-0.136504726557987,0.367520738242143,0.0553103210398002,0.0362383947289608,-0.447432159273402,0.00313994745503096,0.0986044555770277,0.395604395604396,FALSE,TRUE,0.721798447970937,0.0365375703858148,FALSE,TRUE
"env_dist","nb","sel","YorkRiver",4,-0.131356261713838,0.408999321706926,0.0369653110675236,0.00699719543079393,-0.303478259821626,0.05644942712165,0.172129411823592,0.276017682346475,FALSE,FALSE,0.722142819173774,0.185269914655672,FALSE,FALSE
"lea","b","ns","Lewisetta",4,-0.285279954827679,0.114544766205117,0.309234374840214,0.0669642857142859,-0.535769671261739,0.0030393346977047,0.208167271950273,0.508131868131868,FALSE,TRUE,0.705812308668321,0.0365375703858148,FALSE,TRUE
"lea","b","ns","YorkRiver",4,-0.212798070639573,0.271650893822139,0.135598047632581,0.0264754550468836,-0.141865380426382,0.463652495869384,0.018745698412358,0.0805704489915016,FALSE,FALSE,0.721798447970937,0.6463855520664,FALSE,FALSE
"gf_geno","b","ns","Lewisetta",4,-0.0347902383936194,0.847389659686714,0.0109931355769292,0.0241071428571429,-0.285279954827679,0.114544766205117,0.00470177155133643,0.112527472527473,FALSE,FALSE,0.944986073762316,0.305452709880312,FALSE,FALSE
"gf_geno","b","ns","YorkRiver",4,-0.0531995176598931,0.783456708033683,0.0217487218283983,0.523403327390038,-0.124132207873084,0.521366727700155,0.0190688657410161,0.674912272219494,FALSE,FALSE,0.933450318341497,0.667349411456198,FALSE,FALSE
"rda","b","ns","Lewisetta",4,-0.187867287325545,0.29869755599497,0.333337487127871,0.0943080357142858,-0.410524813044709,0.023152362663758,0.157280223139928,0.161538461538461,FALSE,TRUE,0.721798447970937,0.113980862344655,FALSE,FALSE
"rda","b","ns","YorkRiver",4,-0.124132207873084,0.521366727700155,0.0126536179385429,0.0467658249740574,0.0177331725532977,0.927011304686917,0.0162726639654812,0.0616070815892404,FALSE,FALSE,0.823888162291602,0.934310606298625,FALSE,FALSE
"env_dist","b","ns","Lewisetta",4,-0.160035096610649,0.376010803629976,0.0956954758177107,0.0241071428571429,-0.410524813044709,0.023152362663758,0.158421064254702,0.464285714285714,FALSE,TRUE,0.721798447970937,0.113980862344655,FALSE,FALSE
"env_dist","b","ns","YorkRiver",4,-0.0177331725532977,0.927011304686917,0.00111278459568333,7.5306875517734e-05,0.124132207873084,0.521366727700155,0.0979818678739192,0.0204520668688468,FALSE,FALSE,0.949259575999403,0.667349411456198,FALSE,FALSE
"lea","nb","ns","Lewisetta",4,-0.160035096610649,0.376010803629976,0.149626045294013,0.000506756756756764,-0.410524813044709,0.023152362663758,0.0571895927159046,0.309438669438669,FALSE,TRUE,0.721798447970937,0.113980862344655,FALSE,FALSE
"lea","nb","ns","YorkRiver",4,-0.212798070639573,0.271650893822139,0.179287362703591,0.0264754550468836,-0.141865380426382,0.463652495869384,0.00582305444751931,0.0805704489915016,FALSE,FALSE,0.721798447970937,0.6463855520664,FALSE,FALSE
"gf_geno","nb","ns","Lewisetta",4,-0.0347902383936194,0.847389659686714,0.00410147953763827,0.0582298136645962,-0.285279954827679,0.114544766205117,0.0239307100583958,0.0462494027711419,FALSE,FALSE,0.944986073762316,0.305452709880312,FALSE,FALSE
"gf_geno","nb","ns","YorkRiver",4,-0.0531995176598931,0.783456708033683,0.0236158058980048,0.523403327390038,-0.23053124319287,0.233702898814878,0.0302348499648771,0.674912272219494,FALSE,FALSE,0.933450318341497,0.460214939204683,FALSE,FALSE
"rda","nb","ns","Lewisetta",4,0.0765385244659627,0.672010595680848,0.0499199536172747,0.0372670807453416,-0.0347902383936194,0.847389659686714,0.000949192015691751,0.000382226469182991,FALSE,FALSE,0.915078257948388,0.89641220198264,FALSE,FALSE
"rda","nb","ns","YorkRiver",4,-0.212798070639573,0.271650893822139,0.153691952278881,0.0984626449698822,0.0709326902131909,0.714049541974307,0.0108610673614274,0.0107902762667428,FALSE,FALSE,0.721798447970937,0.830894012479194,FALSE,FALSE
"env_dist","nb","ns","Lewisetta",4,-0.0347902383936194,0.847389659686714,0.00169199063175233,0.0241071428571429,-0.285279954827679,0.114544766205117,0.00120922372251844,0.112527472527473,FALSE,FALSE,0.944986073762316,0.305452709880312,FALSE,FALSE
"env_dist","nb","ns","YorkRiver",4,-0.0177331725532977,0.927011304686917,0.00876293408222881,0.0101204416192707,0.124132207873084,0.521366727700155,0.021348256563043,0.0032521404393708,FALSE,FALSE,0.949259575999403,0.667349411456198,FALSE,FALSE
