"pearson_mort","pearson_mort_pval","spearman_mort","spearman_mort_pval","kendall_mort","kendall_mort_pval","r2_mort","r2_mort_rankings","pearson_len","pearson_len_pval","spearman_len","spearman_len_pval","kendall_len","kendall_len_pval","r2_len","r2_len_rankings","method","bag_site","event","signif_surv","signif_len"
-0.626826898119173,0.00104647195867403,-0.727688608427436,5.58205433497043e-05,-0.642857142857143,0.000211696434486544,0.392911960205704,0.53841567926075,-0.619071390799976,0.00125794105964569,-0.735569712489827,4.20908483047945e-05,-0.5,0.00017355177880683,0.383249386907017,0.460547921527958,"lea","Lewisetta",1,TRUE,TRUE
-0.678469963597365,0.000268231379243499,-0.78022930217671,6.91009997889154e-06,-0.5,6.20150164613823e-05,0.46032149150381,0.419181757209926,-0.642501783396332,0.000710513911335425,-0.667266810615772,0.000368358786326976,-0.642857142857143,0.00161079496389261,0.412808541667468,0.624405842191686,"lea","Lewisetta",2,TRUE,TRUE
-0.742385420258385,3.27106595162092e-05,-0.814380753113737,1.27953149443116e-06,-0.571428571428571,2.08747928912245e-05,0.55113611221222,0.579814315663372,-0.745807096771384,2.87375530331696e-05,-0.88793772436272,7.12185188442843e-09,-0.785714285714286,1.53971220636976e-06,0.556228225594561,0.843389776611813,"lea","Lewisetta",3,TRUE,TRUE
-0.742326609776641,3.2782976748391e-05,-0.835397030613447,3.78627547449516e-07,-0.642857142857143,1.66695495474575e-05,0.551048795582482,0.690026954177897,-0.589894532070582,0.00241348206521974,-0.843278134675838,2.29436555305133e-07,-0.785714285714286,1.32795211688464e-05,0.347975558966771,0.89010989010989,"lea","Lewisetta",4,TRUE,TRUE
0.00304826606812031,0.98872134394352,0.220670913746948,0.300111142907588,0.285714285714286,0.316704823946919,9.2919260220539e-06,0.0668574608474441,-0.038624578632506,0.857791573370137,-0.039405520311955,0.85494566727918,0,0.726009770673111,0.00149185807453863,0.00136054421768707,"lea","YorkRiver",1,FALSE,FALSE
-0.0282624820185332,0.895702751525092,0.133978769060647,0.532532705463244,0.285714285714286,0.548005572361309,0.00079876788984791,0.110305374264765,-0.0936910946128737,0.663237162631801,-0.0735569712489827,0.73266679163685,0.0714285714285714,0.652304137211763,0.00877802120975847,0.0047918538484576,"lea","YorkRiver",2,FALSE,FALSE
-0.397157076938415,0.0546447541256869,-0.210162774997093,0.32428694204789,-0.285714285714286,0.13312848419606,0.157733743762266,0.0142276422764227,-0.617653594953936,0.00130031629570874,-0.567439492492152,0.00382894482817606,-0.5,0.00686379498544903,0.381495963359521,0.335656213704994,"lea","YorkRiver",3,FALSE,TRUE
-0.32423077771087,0.140989485259091,-0.166671223734873,0.458491022758782,-0.0521327014218009,0.266841853201803,0.105125597214995,0.00779429037142713,-0.540013264458747,0.00947996839267982,-0.602405549266999,0.00300859933127673,-0.535545023696682,0.00403311275357527,0.291614325791393,0.361096322806899,"lea","YorkRiver",4,FALSE,TRUE
-0.385105021216736,0.0631236138431291,-0.359903752182523,0.0840836105282938,0.428571428571429,0.079740865817891,0.148305877366343,0.3031993939538,-0.464203195642022,0.0223070729372081,-0.296854919683395,0.158941848389552,0.285714285714286,0.13312848419606,0.215484606844265,0.237984607322065,"gf","Lewisetta",1,FALSE,FALSE
-0.4216052931776,0.0401735835590691,-0.378292994994768,0.0683435935843025,0.285714285714286,0.0639803382127558,0.17775102323537,0.159732289413607,-0.398359318019353,0.0538499860215797,-0.344141544057741,0.0996229135062935,0.285714285714286,0.109154778516566,0.158690146252844,0.187877118042205,"gf","Lewisetta",2,FALSE,FALSE
