"method","biotic","sel","bag_site","event","pearson_surv","pearson_surv_pval","spearman_surv","spearman_surv_pval","kendall_surv","kendall_surv_pval","r2_surv","r2_surv_rank","pearson_len","pearson_len_pval","spearman_len","spearman_len_pval","kendall_len","kendall_len_pval","r2_len","r2_len_rank","signif_surv","signif_len"
"lea","b","sel","Lewisetta",1,-0.603540918587986,0.00179326368594562,-0.614726116866498,0.00139169603786621,-0.45501575519329,0.00266668179361409,0.36426164041003,0.53841567926075,-0.563594882554728,0.00413054620429504,-0.562185423117225,0.00424601608045038,-0.432264967433626,0.00432311122553148,0.317639191641877,0.411459683691989,TRUE,TRUE
"lea","b","sel","Lewisetta",2,-0.663013046625704,0.000414097957871362,-0.659385706553381,0.000456910955506147,-0.485350138872843,0.00135528938725823,0.439586299995897,0.441836202399583,-0.624029004206523,0.00111893711528778,-0.604217978116644,0.00176642024404845,-0.401930583754073,0.00797045699902741,0.389412198090984,0.512401693889897,TRUE,TRUE
"lea","b","sel","Lewisetta",3,-0.71538049333143,8.51563139171066e-05,-0.669893845303235,0.00034235725309771,-0.508100926632507,0.000795961424972523,0.51176925023912,0.528301886792453,-0.720585772243546,7.14168750648636e-05,-0.848532204050765,1.61790616640904e-07,-0.667356440950159,1.05535120458744e-05,0.519243855159828,0.810954765879641,TRUE,TRUE
"lea","b","sel","Lewisetta",4,-0.711910608646293,9.55540620119166e-05,-0.7014182615528,0.000134063481964798,-0.546018906231948,0.000312744268179226,0.506816714703136,0.633722671458521,-0.545398368312906,0.00584380174163238,-0.840651099988374,2.71938356024437e-07,-0.659772845030271,1.32795211688464e-05,0.297459380158381,0.857448107448107,TRUE,TRUE
"lea","b","sel","YorkRiver",1,0.0698854551893508,0.745568922652414,0.220670913746948,0.300111142907588,0.151671918397763,0.316704823946919,0.00488397684702273,0.013435090229748,-0.0343567131652167,0.873374012336963,-0.039405520311955,0.85494566727918,-0.0530851714392172,0.726009770673111,0.00118038373951698,0.000340136054421776,FALSE,FALSE
"lea","b","sel","YorkRiver",2,0.0302103110271958,0.888556906125011,0.133978769060647,0.532532705463244,0.091003151038658,0.548005572361309,0.000912662892359912,0.0355329949238578,-0.0633782455427786,0.768597855945531,-0.0735569712489827,0.73266679163685,-0.0682523632789935,0.652304137211763,0.00401680200808073,0.00269541778975744,FALSE,FALSE
"lea","b","sel","YorkRiver",3,-0.344118028867151,0.099647582848375,-0.210162774997093,0.32428694204789,-0.227507877596645,0.13312848419606,0.118417217791414,0.0743321718931474,-0.641138996450819,0.000735455505478277,-0.567439492492152,0.00382894482817606,-0.409514179673961,0.00686379498544903,0.411059212769963,0.512195121951219,FALSE,TRUE
"lea","b","sel","YorkRiver",4,-0.278140235476649,0.210077494125815,-0.166671223734873,0.458491022758782,-0.176651524373782,0.266841853201803,0.0773619905910055,0.00139226887101,-0.496367579234279,0.0187888430839606,-0.602405549266999,0.00300859933127673,-0.457482152865436,0.00403311275357527,0.246380773714898,0.453502677529606,FALSE,TRUE
"gf_geno","b","sel","Lewisetta",1,-0.274728265535647,0.193872358470882,-0.144486907810502,0.500565893021111,-0.121337534718211,0.423130558109633,0.0754756198842247,0.0328638497652582,-0.318150530405854,0.129749159288998,-0.031524416249564,0.883740672404498,-0.0682523632789935,0.652304137211763,0.101219759997526,0.0104571774263245,FALSE,FALSE
"gf_geno","b","sel","Lewisetta",2,-0.249567447956119,0.23956214195146,-0.070929936561519,0.74189156648298,-0.106170342878434,0.483380001354093,0.0622839110793303,0.000670690811535886,-0.406669528613784,0.0485988708255986,-0.278465676871149,0.187633101907925,-0.204757089836981,0.176474290774069,0.165380105502957,0.0457177426324432,FALSE,FALSE
