"","site_name","Label_ind","offset_gf_geno_lew","offset_gf_geno_yrk","offset_gf_af_lew","offset_gf_af_yrk"
"1","S1-LOLA","D823",0,0.00594016470643141,0,0.00654669234522702
"2","S2-DEBY","D779",0.00583878882535376,0.00482073438529775,0.00597748138033213,0.00590842992202277
"3","W1-TX","D485",0.0340441173996317,0.0306170788091597,0.0315298244123468,0.0286581163077643
"4","W2-LA","D409",0.0280539421975768,0.0269985065001093,0.0263646761134603,0.0266934583563579
"5","W3-FL","D354",0.0443603029601005,0.0392937908033223,0.0331225060220236,0.0279336518647359
"6","W4-VA","D579",0.0116456730074433,0.016623976693998,0.0150819405384735,0.0198236515285328
"7","W5-NH","D307",0.0179636323972032,0.0153013190772643,0.0135153090940882,0.0109018708518474
"8","W6-ME","D193",0.0331446619126003,0.0283447338127839,0.0236566536381448,0.0184233674666455
