"","site_name","lat","lon","offset_gf_af_lew","offset_gf_af_yrk","offset_gf_geno_lew","offset_gf_geno_yrk"
"1","AC_LIS_CT_2023-10-3",41.146431,-73.235759,0.015915703236692,0.0100521799126598,0.0182737739694824,0.0227394795803452
"2","Cal_Lake_LA_2022-8-11",29.84499,-93.3179,0.0129765997988554,0.00765956678747969,0.0271159195258488,0.0348610955592703
"3","CB_TX_2022-6-9",28.096,-97.174,0.0163935132310921,0.0117393988739922,0.0268870699690269,0.0353658747652631
"4","CC_VA_2022-7-11",37.616617,-75.663933,0.0175285896912938,0.0095232873875974,0.0248294024619445,0.0101251251509926
"5","CPR_MS_AL_2022-8-24",30.37278,-88.31833,0.0120300946876797,0.00665453410801939,0.0286121656263147,0.0301804941195326
"6","CS_DB_NJ_2022-9-21",39.073592,-74.913017,0.00967724509594334,0.00515705201225615,0.0216862004585945,0.00749206902328769
"7","Culch_Ba_LA_2022-6-21",29.42362,-90.01914,0.00873821860218851,0.00893767621576832,0.0256162764624074,0.03550398778622
"8","DC_DR_ME_2022-10-25",44.02452236,-69.53203214,0.0177695041044935,0.0171183878193244,0.0334897587596579,0.0214221945035301
"9","DC_NB_RI_2022-8-19",41.55897,-71.437883,0.0204517039485067,0.0137152244229988,0.0322345178040452,0.0179948037676491
"10","EC_ApBay_FL_2023-10-4",29.695683,-84.789312,0.017140124125567,0.0105184247836863,0.0280657745942805,0.033694881126237
"11","FFJ_CF_NC_2023-7-19",33.9586917,-77.941833,0.0135571374888121,0.00621499367517444,0.0182647843887758,0.0151063483218606
"12","FP_Sav_GA_2022-6-10",32.01721,-80.92203,0.0120002344871585,0.00527741673256401,0.0220962704980416,0.0151840094111274
"13","GalBay_TX_2022-6-2",29.5475,-94.90361,0.00780511605709376,0.00830458470697263,0.0152323343806339,0.0271376425032767
"14","GriceCove_SC_2022-8-10",32.7523094,-79.8976693,0.0161624112884907,0.00831118219356131,0.0257610190988057,0.0166851815398051
"15","HC_DB_NJ_2022-9-23",39.434722,-75.516944,0.00477758422340856,0.0096727593136652,0.00842639530397,0.02062449035347
"16","IL_ApBay_FL_2023-10-3",29.689108,-85.220739,0.017212390993332,0.0105138996307895,0.0274879431676291,0.0335816525593586
"17","KP_FGR_FL_2022-8-23",30.44003,-81.43638,0.0192364769434145,0.0122463493366046,0.0296151431270156,0.0205997413712125
"18","LakeFortuna_LA_2022-5-11",29.64379,-89.49761,0.00603814567809435,0.0116933417111792,0.0237308721666812,0.0345419940727781
"19","LCP_UP_MD_2022-10-20",38.33696,-76.97669,0.0072357710938677,0.00713726869227865,0.00758742189193511,0.0193785123936128
"20","Mer_GA_2022-7-26",31.453512,-81.363169,0.0165491786819549,0.00904136314808841,0.0266622275573769,0.0206940483093761
"21","Nickle_Rf_LA_2022-8-1",29.4196,-91.70716,0.00629334881112549,0.0132590563795239,0.0218374831583261,0.0342361258625545
"22","OL_MI_SC_2022-5-31",33.5235297,-79.061842,0.0172899715296037,0.0105656302364635,0.0265386520196755,0.0132851434198661
"23","Orrs_Cove_ME_2022-10-31",43.83136167,-69.91531433,0.0151448041830175,0.0133852256638154,0.0294843236100145,0.0164885038156338
"24","SaLa_GA_2022-10-5",29.785,-93.91806,0.0146784165785986,0.00926122778303375,0.0274095571692,0.0357170310210669
"25","SaltBay_Canada_2022-9-27",43.812486,-65.910547,0.0150386254042799,0.0141578731727923,0.0292705546799103,0.0178944874371031
"26","Sapelo_Is_GA_2022-7-17",31.4177723,-81.2957724,0.0173909263687816,0.00975847886819147,0.0261939006886066,0.0184358754775127
"27","SawIs_MA_2022-9-5",42.751733,-70.83657,0.0154263319683452,0.0082246784365966,0.0212628021839664,0.0158329479378652
"28","Sister_Lk_LA_2022-8-9",29.239925,-90.911362,0.00694552265981267,0.00915635649879034,0.0255180906992647,0.0355136429712682
"29","SkR_GA_2022-6-14",31.98995,-81.02173,0.0161287935073571,0.00834152718101383,0.0256307099437949,0.0182954506586752
"30","SR_GB_NH_2022-8-12",43.053746,-70.911544,0.0141484241546741,0.00794061365310728,0.0180986932754863,0.0213764640000989
"31","TP_TX_2022-6-28",28.6936,-96.2233,0.0133406383990693,0.00824225101786659,0.0275176312523606,0.0356031104819631
"32","UNCW_MS_NC_2023-7-17",34.1402344,-77.8636305,0.0172653321645611,0.00991119958047457,0.0244720277337463,0.0145874867520412
"33","WS_CB_VA_2022-10-7",37.063817,-76.562783,0.0131624680514842,0.00645138734531897,0.0155307507379488,0.0100414525240867
