"site_name","lat","long","lea_lew","lea_yrk","rda_lew","rda_yrk","gf_lew","gf_yrk","dist_lew","dist_yrk"
"AC_LIS_CT_2023-10-3",41.146431,-73.235759,0.0296410664514753,0.0216552573866183,1.12764336062435,0.394775776377077,0.0160243870851195,0.020447564518614,3.093,3.0229
"Cal_Lake_LA_2022-8-11",29.84499,-93.3179,0.0178844771304176,0.0109981850167574,0.957068893130124,2.34866059822242,0.0237407786247671,0.0314183849439831,3.1996,3.0308
"CC_VA_2022-7-11",37.616617,-75.663933,0.0125973038116576,0.00570713799497696,2.2436080632428,0.744260613464857,0.0219741962760874,0.00959113057754019,3.701,2.6214
"CPR_MS_AL_2022-8-24",30.37278,-88.31833,0.0150039032865791,0.0109012766978495,0.575504244976298,1.89677128774446,0.025154569998688,0.027672077292895,2.9867,2.8122
"CS_DB_NJ_2022-9-21",39.073592,-74.913017,0.0111732612278208,0.00325510714479816,1.6281231389942,0.165234139340172,0.0195289171041314,0.00690942000429154,2.3181,1.369
"Culch_Ba_LA_2022-6-21",29.42362,-90.01914,0.014740917770022,0.0112209423209737,1.77470826927391,3.23953491948399,0.0226846310383216,0.031959945766776,2.5356,3.2762
"DC_NB_RI_2022-8-19",41.55897,-71.437883,0.0357759728190917,0.0161345429997932,3.59264212609691,2.11111760447661,0.0293523139309508,0.017635555794219,4.4027,3.6442
"EC_ApBay_FL_2023-10-4",29.695683,-84.789312,0.0226690157922582,0.0146174014347299,0.721771207756776,2.01638585397591,0.0243324226355399,0.0302194807203302,3.9027,3.3901
"FFJ_CF_NC_2023-7-19",33.9586917,-77.941833,0.0174465781574905,0.0048724795969686,1.28411243769135,0.377159130284316,0.018676143165564,0.013343925415572,3.8522,1.7862
"FP_Sav_GA_2022-6-10",32.01721,-80.92203,0.0324870951623427,0.00703984963682044,1.65893932867657,0.320482295240011,0.025004173623901,0.0165905518974872,4.8963,2.6655
"GriceCove_SC_2022-8-10",32.7523094,-79.8976693,0.0211064475970307,0.00907261536848966,0.711925720835835,0.990097510978937,0.0225249802535699,0.0153597503611841,3.6371,2.9225
"HC_DB_NJ_2022-9-23",39.434722,-75.516944,0.01058238591712,0.00700003792007878,0.60945254882812,2.10811424256486,0.00812872677489379,0.0177407752507449,1.5194,2.8569
"IL_ApBay_FL_2023-10-3",29.689108,-85.220739,0.0220579976247867,0.0143343719883444,0.690041924064293,1.97734612249399,0.0237666333488525,0.0300676064456029,3.8897,3.3746
"LakeFortuna_LA_2022-5-11",29.64379,-89.49761,0.0109246992773406,0.00885288645373777,1.7127746754968,3.18967672056778,0.0209215643098805,0.0308581320857203,2.2208,3.3874
"LCP_UP_MD_2022-10-20",38.33696,-76.97669,0.00746665131501324,0.005982913156244,0.141161260682216,1.36730282957356,0.00687660526330618,0.0167283153822165,1.506,2.5478
"Mer_GA_2022-7-26",31.453512,-81.363169,0.0218829084573221,0.0105972545907595,0.675610754019655,1.10905740905576,0.0226361460194236,0.0178386123969419,3.8334,2.6801
"Nickle_Rf_LA_2022-8-1",29.4196,-91.70716,0.0100183446572266,0.00925170464707201,2.03932326494105,3.52502998132552,0.0191210155427199,0.0304664219201498,2.3023,3.7961
"OL_MI_SC_2022-5-31",33.5235297,-79.061842,0.0211422070879465,0.0123296777497135,1.65853425640002,0.25844888932391,0.0237649514453236,0.0136090420719449,4.0844,3.2931
"Orrs_Cove_ME_2022-10-31",43.83136167,-69.91531433,0.0310817717438947,0.0168032566974844,2.95351633626478,1.47605029381789,0.028111755961735,0.0155094551874776,3.745,2.6408
"SaLa_GA_2022-10-5",29.785,-93.91806,0.0179163540002726,0.0106570618817239,1.14035863538307,2.55738326599807,0.0237133624156008,0.0320103426487126,3.3354,3.2453
"SaltBay_Canada_2022-9-27",43.812486,-65.910547,0.0297596803109798,0.0249791982673449,3.09073616007714,1.65003867003699,0.0272980434502734,0.0175213531167899,3.5262,3.6237
"Sapelo_Is_GA_2022-7-17",31.4177723,-81.2957724,0.0216822992598438,0.0105373413749838,0.861809824171884,0.859570464426672,0.0229479694523866,0.0161975465536727,3.9048,2.8336
"SawIs_MA_2022-9-5",42.751733,-70.83657,0.0340728722731035,0.0153957148379551,0.985291132008703,0.550457059542502,0.0186339017227515,0.0141369488706394,3.5274,2.5996
"SkR_GA_2022-6-14",31.98995,-81.02173,0.0177419006266451,0.00936142772801274,0.742262120595995,0.95212153721737,0.0222680991442721,0.0166489982624743,3.5749,2.8906
"TP_TX_2022-6-28",28.6936,-96.2233,0.0164357481121766,0.0120861780775119,0.989363849983025,2.38666219172622,0.024171479906016,0.0321241383621205,3.2012,3.0688
"UNCW_MS_NC_2023-7-17",34.1402344,-77.8636305,0.0307929207944941,0.00698138540808265,2.32291342427009,0.844733754109853,0.0261660896086657,0.0150691467554695,5.0435,2.6926
