"pearson_surv","pearson_surv_pval","spearman_surv","spearman_surv_pval","kendall_surv","kendall_surv_pval","r2_surv","pearson_len","pearson_len_pval","spearman_len","spearman_len_pval","kendall_len","kendall_len_pval","r2_len","method","biotic","bag_site","event","signif_surv","signif_len"
-0.626826898119173,0.00104647195867403,-0.727688608427436,5.58205433497043e-05,-0.561186098071724,0.000211696434486544,0.392911960205704,-0.619071390799976,0.00125794105964569,-0.735569712489827,4.20908483047945e-05,-0.568769693991613,0.00017355177880683,0.383249386907017,"lea","b","Lewisetta",1,TRUE,TRUE
-0.678469963597365,0.000268231379243499,-0.78022930217671,6.91009997889154e-06,-0.606687673591053,6.20150164613823e-05,0.46032149150381,-0.642501783396332,0.000710513911335427,-0.667266810615772,0.000368358786326976,-0.477766542952955,0.00161079496389261,0.412808541667467,"lea","b","Lewisetta",2,TRUE,TRUE
-0.742385420258385,3.27106595162092e-05,-0.814380753113737,1.27953149443116e-06,-0.644605653190494,2.08747928912245e-05,0.55113611221222,-0.745807096771384,2.87375530331695e-05,-0.88793772436272,7.12185188442843e-09,-0.728025208309264,1.53971220636976e-06,0.556228225594561,"lea","b","Lewisetta",3,TRUE,TRUE
-0.742326609776641,3.27829767483908e-05,-0.835397030613447,3.78627547449516e-07,-0.652189249110382,1.66695495474575e-05,0.551048795582482,-0.589894532070582,0.00241348206521974,-0.843278134675838,2.29436555305133e-07,-0.659772845030271,1.32795211688464e-05,0.347975558966771,"lea","b","Lewisetta",4,TRUE,TRUE
0.00304826606812028,0.98872134394352,0.220670913746948,0.300111142907588,0.151671918397763,0.316704823946919,9.29192602205472e-06,-0.038624578632506,0.857791573370137,-0.039405520311955,0.85494566727918,-0.0530851714392172,0.726009770673111,0.00149185807453863,"lea","b","YorkRiver",1,FALSE,FALSE
-0.0282624820185332,0.895702751525092,0.133978769060647,0.532532705463244,0.091003151038658,0.548005572361309,0.000798767889847909,-0.0936910946128737,0.663237162631801,-0.0735569712489827,0.73266679163685,-0.0682523632789935,0.652304137211763,0.0087780212097585,"lea","b","YorkRiver",2,FALSE,FALSE
-0.397157076938415,0.0546447541256869,-0.210162774997093,0.32428694204789,-0.227507877596645,0.13312848419606,0.157733743762266,-0.617653594953936,0.00130031629570874,-0.567439492492152,0.00382894482817606,-0.409514179673961,0.00686379498544903,0.381495963359521,"lea","b","YorkRiver",3,FALSE,TRUE
-0.32423077771087,0.140989485259091,-0.166671223734873,0.458491022758782,-0.176651524373782,0.266841853201803,0.105125597214995,-0.540013264458747,0.00947996839267982,-0.602405549266999,0.00300859933127673,-0.457482152865436,0.00403311275357527,0.291614325791393,"lea","b","YorkRiver",4,FALSE,TRUE
-0.385105021216736,0.0631236138431291,-0.359903752182523,0.0840836105282938,-0.265425857196086,0.079740865817891,0.148305877366343,-0.464203195642022,0.0223070729372081,-0.296854919683395,0.158941848389552,-0.227507877596645,0.13312848419606,0.215484606844265,"gf_af","b","Lewisetta",1,FALSE,FALSE
-0.4216052931776,0.0401735835590691,-0.378292994994768,0.0683435935843025,-0.280593049035862,0.0639803382127558,0.17775102323537,-0.398359318019353,0.0538499860215797,-0.344141544057741,0.0996229135062935,-0.242675069436421,0.109154778516566,0.158690146252844,"gf_af","b","Lewisetta",2,FALSE,FALSE
