"method","biotic","sel","bag_site","event","pearson_surv","pearson_surv_pval","spearman_surv","spearman_surv_pval","kendall_surv","kendall_surv_pval","r2_surv","r2_surv_rank","pearson_len","pearson_len_pval","spearman_len","spearman_len_pval","kendall_len","kendall_len_pval","r2_len","r2_len_rank","signif_surv","signif_len","p_adj_surv","p_adj_len","signif_surv_adj","signif_len_adj"
"lea","b","sel","Lewisetta",1,-0.410558103890138,0.046283307017612,-0.359903752182523,0.0840836105282938,-0.257842261276198,0.0887311900372926,0.168557956669866,0.19382964453387,-0.353271446612753,0.0903828010202449,-0.28634678093354,0.174931413278229,-0.204757089836981,0.176474290774069,0.124800714991867,0.118313023939158,FALSE,FALSE,0.537164702909407,0.28235886523851,FALSE,FALSE
"lea","b","sel","Lewisetta",2,-0.440574200301384,0.0311814370956169,-0.352022648120132,0.0916073256423069,-0.242675069436421,0.109154778516566,0.194105625971204,0.102019524554736,-0.553035706109748,0.00506368023723118,-0.507017694680488,0.0114499863611471,-0.341261816394968,0.0242706403770022,0.305848492232308,0.224786103189007,FALSE,TRUE,0.537164702909407,0.0706054992785518,FALSE,FALSE
"lea","b","sel","Lewisetta",3,-0.585100254692216,0.00267078579054246,-0.383547064369696,0.0642895298585201,-0.265425857196086,0.079740865817891,0.342342308040896,0.15843066786463,-0.659592159491497,0.000454375270682286,-0.659385706553381,0.000456910955506147,-0.470182947033066,0.00190999309861741,0.435061816862656,0.547658796406709,FALSE,TRUE,0.537164702909407,0.0185288526511588,FALSE,TRUE
"lea","b","sel","Lewisetta",4,-0.614519897891876,0.00139833524166927,-0.428206654056578,0.0368380975766224,-0.273009453115974,0.0715054164448744,0.377634704905042,0.21832884097035,-0.591536781806736,0.0023303349918278,-0.772348198114319,9.78289527818115e-06,-0.583936885831389,0.000115814078109336,0.34991576423027,0.703296703296703,FALSE,TRUE,0.537164702909407,0.00741210099899751,FALSE,TRUE
"lea","b","sel","YorkRiver",1,-0.087342377751232,0.68487240866258,0.10770842218601,0.61640325682933,0.0834195551187698,0.581847029291278,0.00762869095123891,7.94975753239532e-05,-0.0351774617556619,0.870373640170836,-0.0131351734373183,0.951425982837668,-0.0151671918397763,0.920244901471896,0.00123745381557104,0.00136054421768707,FALSE,FALSE,0.689596479160034,0.934851963400021,FALSE,FALSE
"lea","b","sel","YorkRiver",2,-0.132957634512349,0.535689447514111,0.0183892428122457,0.932033890940699,0.0227507877596645,0.880616409651966,0.0176777325751192,0.00394811054709531,-0.110417396366785,0.607510162463298,-0.118216560935865,0.582210210342314,-0.121337534718211,0.423130558109633,0.0121920014204198,0.0191674153938305,FALSE,FALSE,0.880616409651966,0.520776071519549,FALSE,FALSE
"lea","b","sel","YorkRiver",3,-0.482725674472589,0.016883787851697,-0.307363058433249,0.144009480991668,-0.295760240875639,0.0508857412163913,0.233024076795016,0.140534262485482,-0.636541517085196,0.00082524897984736,-0.564812457804689,0.00403293756414963,-0.432264967433626,0.00432311122553148,0.405185102973124,0.536875725900116,FALSE,TRUE,0.537164702909407,0.0212830091103088,FALSE,TRUE
"lea","b","sel","YorkRiver",4,-0.388785624616176,0.0737381598881275,-0.251997788786856,0.257904351842884,-0.231005839565715,0.146497287558392,0.15115426190819,0.0169195229742155,-0.499465873131428,0.0179483389942882,-0.588753298858681,0.00394342519840812,-0.439364047801458,0.00575054088111214,0.24946615842294,0.430512809522158,FALSE,TRUE,0.537164702909407,0.0230021635244486,FALSE,TRUE
"gf_geno","b","sel","Lewisetta",1,-0.219354943147652,0.303075854387084,-0.144486907810502,0.500565893021111,-0.121337534718211,0.423130558109633,0.0481165910833097,0.0328638497652582,-0.239481066333373,0.259708562516712,-0.031524416249564,0.883740672404498,-0.0682523632789935,0.652304137211763,0.0573511811321691,0.0104571774263245,FALSE,FALSE,0.588703385196012,0.707584148839878,FALSE,FALSE
"gf_geno","b","sel","Lewisetta",2,-0.178919912770663,0.40286583094221,-0.070929936561519,0.74189156648298,-0.106170342878434,0.483380001354093,0.0320123351858617,0.000670690811535886,-0.354556492326847,0.0891355559677932,-0.278465676871149,0.187633101907925,-0.204757089836981,0.176474290774069,0.125710306251117,0.0457177426324432,FALSE,FALSE,0.631353471156366,0.28235886523851,FALSE,FALSE
"gf_geno","b","sel","Lewisetta",3,-0.276377121402474,0.191102527935478,-0.120843595623329,0.57379267840785,-0.128921130638099,0.394733526234106,0.0763843132347176,0.0146750524109015,-0.422263146552053,0.039830882645312,-0.417698515306723,0.0422569231792971,-0.333678220475079,0.0276120096503322,0.178306164936041,0.223308689084983,FALSE,TRUE,0.588703385196012,0.0706867447048505,FALSE,FALSE
"gf_geno","b","sel","Lewisetta",4,-0.296488792777776,0.159481024231954,-0.165503185310211,0.439601496767015,-0.136504726557987,0.367520738242143,0.0879056042428229,0.0362383947289608,-0.359516379768227,0.0844421827131676,-0.559558388429761,0.00446849817594389,-0.447432159273402,0.00313994745503096,0.129252027321652,0.395604395604396,FALSE,TRUE,0.588703385196012,0.0200956637121982,FALSE,TRUE
"gf_geno","b","sel","YorkRiver",1,0.187418492132921,0.380512423933033,0.328379335932959,0.117196254622735,0.219924281676757,0.146552800110555,0.0351256911933778,0.206773193417601,-0.25299558182435,0.232955017052597,-0.218043879059484,0.306047447347698,-0.136504726557987,0.367520738242143,0.0640067644226412,0.0765306122448979,FALSE,FALSE,0.537164702909407,0.470426544949943,FALSE,FALSE
"gf_geno","b","sel","YorkRiver",2,0.129891477408851,0.545220512745366,0.204908705622166,0.336804180817267,0.159255514317652,0.29311395567331,0.0168717959034539,0.19345741680767,-0.175977788241516,0.410771293359686,-0.204908705622166,0.336804180817266,-0.106170342878434,0.483380001354093,0.0309681819543757,0.234800838574423,FALSE,FALSE,0.588703385196012,0.572894816419666,FALSE,FALSE
"gf_geno","b","sel","YorkRiver",3,-0.226155634733471,0.287949188776442,-0.215416844372021,0.31205558427543,-0.159255514317652,0.29311395567331,0.051146371121699,0.641405342624855,-0.681316759567623,0.000246929537388712,-0.683029018740554,0.000234839372138235,-0.508100926632507,0.000795961424972523,0.464192526867727,0.641405342624855,FALSE,TRUE,0.588703385196012,0.0152433132544431,FALSE,TRUE
"gf_geno","b","sel","YorkRiver",4,-0.250910493303533,0.260032865381995,-0.229244038106327,0.304781176227632,-0.149474366777816,0.347453842604331,0.0629560756498223,0.536041449244443,-0.493044524709006,0.0197252940356428,-0.577376423518417,0.0048975798809254,-0.43030499526947,0.00683589381928366,0.24309290334553,0.264252422725002,FALSE,TRUE,0.588703385196012,0.0244046043927077,FALSE,TRUE
"rda","b","sel","Lewisetta",1,-0.521575823498583,0.00895128803654803,-0.44396886218136,0.0297567141842027,-0.341261816394968,0.0242706403770022,0.272041339658225,0.314852075415456,-0.509722518313431,0.0109466738767925,-0.459731070306142,0.0238075583965612,-0.318511028635303,0.0354981313206625,0.259817045675786,0.300838302653185,TRUE,TRUE,0.537164702909407,0.0811385858757999,FALSE,FALSE
"rda","b","sel","Lewisetta",2,-0.508520970161616,0.0111679545906603,-0.417698515306723,0.0422569231792971,-0.280593049035862,0.0639803382127558,0.258593577094111,0.19382964453387,-0.649535873546129,0.000593040157008115,-0.62260722092889,0.00115738279509111,-0.485350138872843,0.00135528938725823,0.421896851023333,0.32157981159796,FALSE,TRUE,0.537164702909407,0.0173477041569054,FALSE,TRUE
"rda","b","sel","Lewisetta",3,-0.628605255390057,0.00100253939822748,-0.409817411244332,0.0467175810124694,-0.242675069436421,0.109154778516566,0.395144567103999,0.21832884097035,-0.563989788351164,0.00409867226239216,-0.507017694680488,0.0114499863611471,-0.326094624555191,0.0313428494257729,0.31808448136439,0.295810477780428,FALSE,TRUE,0.537164702909407,0.0771516293557487,FALSE,FALSE
"rda","b","sel","Lewisetta",4,-0.614832912835193,0.00138826836860781,-0.39405520311955,0.0567373283451192,-0.219924281676757,0.146552800110555,0.378019510705408,0.202455825097335,-0.505194711878408,0.0117998514401777,-0.530661006867661,0.00763492560638873,-0.379179795994408,0.0123100015412109,0.255221696909907,0.312576312576313,FALSE,TRUE,0.537164702909407,0.0375161951732143,FALSE,TRUE
"rda","b","sel","YorkRiver",1,0.289398694047864,0.170176988047598,0.244314225934121,0.249922981305448,0.151671918397763,0.316704823946919,0.0837516041166093,0.0865728595277844,-0.212374025872082,0.319104291372372,-0.152368011872893,0.47722897505791,-0.159255514317652,0.29311395567331,0.0451027268651156,0.0275510204081633,FALSE,FALSE,0.588703385196012,0.407810720936779,FALSE,FALSE
"rda","b","sel","YorkRiver",2,0.211943236774469,0.320109983434568,0.189146497497384,0.376055771635121,0.091003151038658,0.548005572361309,0.0449199356144388,0.0877447425670776,-0.101846035941728,0.635827345172084,-0.183892428122457,0.389699417309092,-0.174422706157428,0.249551183213353,0.0103726150370438,0.0242587601078167,FALSE,FALSE,0.674468396752381,0.371425016875688,FALSE,FALSE
"rda","b","sel","YorkRiver",3,-0.110826814904124,0.606170757732291,-0.252195329996512,0.234486493498224,-0.197173493917092,0.193043565108068,0.012282582901793,0.167247386759582,-0.566887175864801,0.00387109412452297,-0.580574665929471,0.00293466305062218,-0.424681371513737,0.00505502013696439,0.32136107015997,0.51219512195122,FALSE,TRUE,0.537164702909407,0.0230021635244486,FALSE,TRUE
"rda","b","sel","YorkRiver",4,-0.203603158685059,0.363450241283164,-0.274751539467385,0.215916291165678,-0.212887734501738,0.180853424799674,0.0414542462265335,0.0626442154445929,-0.22340864339234,0.317591853444177,-0.323672103430521,0.141715318652683,-0.221946787033726,0.162993603154294,0.0499114219424057,0.237310101519188,FALSE,FALSE,0.537164702909407,0.28235886523851,FALSE,FALSE
"env_dist","b","sel","Lewisetta",1,-0.265986242398245,0.209015075524219,-0.291600850308467,0.166802778555692,-0.204757089836981,0.176474290774069,0.0707486811451378,0.137789701169983,-0.299825973166895,0.154613907136447,-0.231179052496803,0.277085495255525,-0.136504726557987,0.367520738242143,0.0898956141854753,0.0830524587330396,FALSE,FALSE,0.537164702909407,0.470426544949943,FALSE,FALSE
"env_dist","b","sel","Lewisetta",2,-0.271104714256066,0.200055322569577,-0.28634678093354,0.174931413278229,-0.174422706157428,0.249551183213353,0.0734977660918632,0.0626723302779641,-0.42004848004077,0.0409938464750973,-0.451849966243751,0.0266491419649407,-0.273009453115974,0.0715054164448744,0.176440725584562,0.190908305245873,FALSE,FALSE,0.588703385196012,0.152544888415732,FALSE,FALSE
"env_dist","b","sel","Lewisetta",3,-0.386746086256457,0.0619131398445671,-0.296854919683395,0.158941848389552,-0.197173493917092,0.193043565108068,0.149572535234687,0.0970350404312669,-0.576412924514962,0.00319650390243448,-0.63048832499128,0.000957756801381716,-0.432264967433626,0.00432311122553148,0.332251859547891,0.496144367596788,FALSE,TRUE,0.537164702909407,0.0212830091103088,FALSE,TRUE
"env_dist","b","sel","Lewisetta",4,-0.426022168236017,0.0379166479337511,-0.354649682807595,0.0890456105721906,-0.204757089836981,0.176474290774069,0.181494887828517,0.15843066786463,-0.556524667750203,0.00473754817059646,-0.748704885927145,2.57119738658338e-05,-0.515684522552395,0.000663440613357049,0.309719705814474,0.674297924297924,FALSE,TRUE,0.537164702909407,0.0152433132544431,FALSE,TRUE
"env_dist","b","sel","YorkRiver",1,0.314866925452814,0.133977211546561,0.309990093120713,0.140438214768357,0.28817664495575,0.0571215639940019,0.0991411807441083,0.0579537324111614,0.235630131829959,0.267679574992946,0.244314225934121,0.249922981305448,0.159255514317652,0.29311395567331,0.0555215590262038,0.0982993197278911,FALSE,FALSE,0.537164702909407,0.407810720936779,FALSE,FALSE
"env_dist","b","sel","YorkRiver",2,0.294178940579196,0.162912293860845,0.233806087184266,0.271509109638674,0.227507877596645,0.13312848419606,0.0865412490802981,0.0877447425670775,0.236010934099736,0.266884468730275,0.102454352811083,0.63380063135401,0.0834195551187698,0.581847029291278,0.0557011610146299,0.0026954177897574,FALSE,FALSE,0.537164702909407,0.664968033475747,FALSE,FALSE
"env_dist","b","sel","YorkRiver",3,-0.131884708904193,0.539015709954909,-0.15762208124782,0.461984874704035,-0.091003151038658,0.548005572361309,0.0173935764427437,0.0743321718931475,-0.436086385582209,0.0331478682184121,-0.399309272494478,0.0532283640684802,-0.318511028635303,0.0354981313206625,0.190171335690155,0.335656213704994,FALSE,TRUE,0.674468396752381,0.0811385858757999,FALSE,FALSE
