"","salinity_quantile_10","salinity_quantile_90","temp_quantile_10","temp_quantile_90","Dermo_Prevalence","Pea_crab","MSX_Prevalence","salinity_quantile_10_scaled","salinity_quantile_90_scaled","temp_quantile_10_scaled","temp_quantile_90_scaled","Dermo_Prevalence_scaled","Pea_crab_scaled","MSX_Prevalence_scaled","lew_sal_quant10_scaled","lew_sal_quant90_scaled","lew_temp_quant10_scaled","lew_temp_quant90_scaled","lew_Dermo_Prevalence_scaled","lew_MSX_Prevalence_scaled","yrk_sal_quant10_scaled","yrk_sal_quant90_scaled","yrk_temp_quant10_scaled","yrk_temp_quant90_scaled","yrk_Dermo_Prevalence_scaled","yrk_MSX_Prevalence_scaled"
"AC_LIS_CT_2023-10-3",1.1,27,4.5,24.4,1,0.263157895,0,-1.2806580935215,0.143336768391928,-1.5138429923722,-1.07497164394178,1.04795399260685,1.84582231275914,-0.592735984307444,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-1.26255949155703,-0.592735984307444,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,-0.18891317433151,1.31460989189781
"Cal_Lake_LA_2022-8-11",8.7,25,13.4,30.7,0.888888889,0,0,-0.489291458152143,-0.121443112613783,0.993656273763602,0.881808999964336,0.651979102869787,-0.348518023882863,-0.592735984307444,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-1.26255949155703,-0.592735984307444,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,-0.18891317433151,1.31460989189781
"CC_VA_2022-7-11",27.34,32.39,6.158,27.893,1,0,0.0625,1.45163934228007,0.856918547702321,-1.04671560099544,0.00995451306838925,1.04795399260685,-0.348518023882863,-0.143948719317973,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-1.26255949155703,-0.592735984307444,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,-0.18891317433151,1.31460989189781
"CPR_MS_AL_2022-8-24",14,28.8,12.8,30.6,0.6875,0,0,0.0625826428291193,0.381638661297069,0.824611379417368,0.850748989743604,-0.0657253858923276,-0.348518023882863,-0.592735984307444,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-1.26255949155703,-0.592735984307444,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,-0.18891317433151,1.31460989189781
"CS_DB_NJ_2022-9-21",17.45,26.75,7.61,24.93,0.533333333,0,0.1333,0.421821444411262,0.110239283266214,-0.637626956677555,-0.9103535897719,-0.615140547139849,-0.348518023882863,0.3644374944621,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-1.26255949155703,-0.592735984307444,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,-0.18891317433151,1.31460989189781
"Culch_Ba_LA_2022-6-21",2.2,17,13.6,30.6,0.538461538,0,0,-1.16611818577067,-1.18056263663663,1.05000457187901,0.850748989743604,-0.596864783436757,-0.348518023882863,-0.592735984307444,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-1.26255949155703,-0.592735984307444,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,-0.18891317433151,1.31460989189781
"DC_NB_RI_2022-8-19",29.2,31.7,3.5,21,1,0,0,1.64531591356783,0.76556948875535,-1.79558448294926,-2.13101199144667,1.04795399260685,-0.348518023882863,-0.592735984307444,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-1.26255949155703,-0.592735984307444,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,-0.18891317433151,1.31460989189781
"EC_ApBay_FL_2023-10-4",10.1,31.2,14.1,30.4,1,0,0,-0.343513393741998,0.699374518503922,1.19087531716754,0.78862896930214,1.04795399260685,-0.348518023882863,-0.592735984307444,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-1.26255949155703,-0.592735984307444,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,-0.18891317433151,1.31460989189781
"FFJ_CF_NC_2023-7-19",13.2,29.3,10,29.4,0.941176471,0,0.3333,-0.0207191082623921,0.447833631548497,0.0357352058016098,0.47802886709482,0.838320228709739,-0.348518023882863,1.80055674242841,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-1.26255949155703,-0.592735984307444,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,-0.18891317433151,1.31460989189781
"FP_Sav_GA_2022-6-10",16.8518396,28.69560821,11.88,29.48,0.736842105,0.1,0.55,0.359536683469263,0.367818238429982,0.565409208086476,0.502876875271406,0.110118725564445,0.48533130320725,3.3565919475999,-0.457012029604182,-1.25999660093834,-1.1785706185855,0.136368754666768,-1.26255949155703,-0.592735984307444,0.245846495230444,-0.412700981720066,-0.738208668813564,-0.221131962973857,-0.18891317433151,1.31460989189781
