"","site_name","merge_ID_inds","Label_ind","Key_ind","SiteDate_Key","salinity_quantile_10","salinity_quantile_90","temp_quantile_10","temp_quantile_90","Dermo_Prevalence","Pea_crab","salinity_quantile_10_scaled","salinity_quantile_90_scaled","temp_quantile_10_scaled","temp_quantile_90_scaled","Dermo_Prevalence_scaled","Pea_crab_scaled","lew_salinity_quantile_10","lew_salinity_quantile_90","lew_temp_quantile_10","lew_temp_quantile_90","lew_Dermo_Prevalence","lew_Pea_crab","lew_salinity_quantile_10_scaled","lew_salinity_quantile_90_scaled","lew_temp_quantile_10_scaled","lew_temp_quantile_90_scaled","lew_Dermo_Prevalence_scaled","lew_Pea_crab_scaled","yrk_salinity_quantile_10","yrk_salinity_quantile_90","yrk_temp_quantile_10","yrk_temp_quantile_90","yrk_Dermo_Prevalence","yrk_Pea_crab","yrk_salinity_quantile_10_scaled","yrk_salinity_quantile_90_scaled","yrk_temp_quantile_10_scaled","yrk_temp_quantile_90_scaled","yrk_Dermo_Prevalence_scaled","yrk_Pea_crab_scaled"
"1","W1_TX","F12_CviMVP_PlDNA_7_D502_2019ED4D","D502","2019ED4D","5413EC26",5.9,36.7,13.8,30.5,0.666666667,0,-0.768427923359125,1.37620175601784,1.05518981505045,0.791230691510247,-0.234941304355923,-0.336925850438738,8.7,16.6,7.2,28.2,0.3516666666,0,-0.483788057015038,-1.28339908137618,-0.864145842283922,0.0964449721060829,-1.35122362825326,-0.336925850438738,15.43,22.93,7.984,27.393,0.6529333333,0.487704918032787,0.200364193161999,-0.445823295271495,-0.636152030867233,-0.147334191180508,-0.28360885241315,2.8923156546082
"2","W1_TX","F5_CviMVP_PlDNA_7_D501_AEF41388","D501","AEF41388","5413EC26",5.9,36.7,13.8,30.5,0.666666667,0,-0.768427923359125,1.37620175601784,1.05518981505045,0.791230691510247,-0.234941304355923,-0.336925850438738,8.7,16.6,7.2,28.2,0.3516666666,0,-0.483788057015038,-1.28339908137618,-0.864145842283922,0.0964449721060829,-1.35122362825326,-0.336925850438738,15.43,22.93,7.984,27.393,0.6529333333,0.487704918032787,0.200364193161999,-0.445823295271495,-0.636152030867233,-0.147334191180508,-0.28360885241315,2.8923156546082
"3","W1_TX","G5_CviMVP_PlDNA_7_D485_7767496A","D485","7767496A","5413EC26",5.9,36.7,13.8,30.5,0.666666667,0,-0.768427923359125,1.37620175601784,1.05518981505045,0.791230691510247,-0.234941304355923,-0.336925850438738,8.7,16.6,7.2,28.2,0.3516666666,0,-0.483788057015038,-1.28339908137618,-0.864145842283922,0.0964449721060829,-1.35122362825326,-0.336925850438738,15.43,22.93,7.984,27.393,0.6529333333,0.487704918032787,0.200364193161999,-0.445823295271495,-0.636152030867233,-0.147334191180508,-0.28360885241315,2.8923156546082
"4","W1_TX","B9_CviMVP_PlDNA_6_D487_FEB662A1","D487","FEB662A1","5413EC26",5.9,36.7,13.8,30.5,0.666666667,0,-0.768427923359125,1.37620175601784,1.05518981505045,0.791230691510247,-0.234941304355923,-0.336925850438738,8.7,16.6,7.2,28.2,0.3516666666,0,-0.483788057015038,-1.28339908137618,-0.864145842283922,0.0964449721060829,-1.35122362825326,-0.336925850438738,15.43,22.93,7.984,27.393,0.6529333333,0.487704918032787,0.200364193161999,-0.445823295271495,-0.636152030867233,-0.147334191180508,-0.28360885241315,2.8923156546082
"5","W1_TX","G1_CviMVP_PlDNA_6_D488_D412E119","D488","D412E119","5413EC26",5.9,36.7,13.8,30.5,0.666666667,0,-0.768427923359125,1.37620175601784,1.05518981505045,0.791230691510247,-0.234941304355923,-0.336925850438738,8.7,16.6,7.2,28.2,0.3516666666,0,-0.483788057015038,-1.28339908137618,-0.864145842283922,0.0964449721060829,-1.35122362825326,-0.336925850438738,15.43,22.93,7.984,27.393,0.6529333333,0.487704918032787,0.200364193161999,-0.445823295271495,-0.636152030867233,-0.147334191180508,-0.28360885241315,2.8923156546082
"6","W1_TX","B8_CviMVP_PlDNA_6_D489_3898043B","D489","3898043B","5413EC26",5.9,36.7,13.8,30.5,0.666666667,0,-0.768427923359125,1.37620175601784,1.05518981505045,0.791230691510247,-0.234941304355923,-0.336925850438738,8.7,16.6,7.2,28.2,0.3516666666,0,-0.483788057015038,-1.28339908137618,-0.864145842283922,0.0964449721060829,-1.35122362825326,-0.336925850438738,15.43,22.93,7.984,27.393,0.6529333333,0.487704918032787,0.200364193161999,-0.445823295271495,-0.636152030867233,-0.147334191180508,-0.28360885241315,2.8923156546082
"7","W1_TX","E3_CviMVP_PlDNA_7_D490_FC67A3B1","D490","FC67A3B1","5413EC26",5.9,36.7,13.8,30.5,0.666666667,0,-0.768427923359125,1.37620175601784,1.05518981505045,0.791230691510247,-0.234941304355923,-0.336925850438738,8.7,16.6,7.2,28.2,0.3516666666,0,-0.483788057015038,-1.28339908137618,-0.864145842283922,0.0964449721060829,-1.35122362825326,-0.336925850438738,15.43,22.93,7.984,27.393,0.6529333333,0.487704918032787,0.200364193161999,-0.445823295271495,-0.636152030867233,-0.147334191180508,-0.28360885241315,2.8923156546082
"8","W1_TX","B11_CviMVP_PlDNA_6_D491_F79656F8","D491","F79656F8","5413EC26",5.9,36.7,13.8,30.5,0.666666667,0,-0.768427923359125,1.37620175601784,1.05518981505045,0.791230691510247,-0.234941304355923,-0.336925850438738,8.7,16.6,7.2,28.2,0.3516666666,0,-0.483788057015038,-1.28339908137618,-0.864145842283922,0.0964449721060829,-1.35122362825326,-0.336925850438738,15.43,22.93,7.984,27.393,0.6529333333,0.487704918032787,0.200364193161999,-0.445823295271495,-0.636152030867233,-0.147334191180508,-0.28360885241315,2.8923156546082
"9","W1_TX","G5_CviMVP_PlDNA_6_D493_5EF5CCFE","D493","5EF5CCFE","5413EC26",5.9,36.7,13.8,30.5,0.666666667,0,-0.768427923359125,1.37620175601784,1.05518981505045,0.791230691510247,-0.234941304355923,-0.336925850438738,8.7,16.6,7.2,28.2,0.3516666666,0,-0.483788057015038,-1.28339908137618,-0.864145842283922,0.0964449721060829,-1.35122362825326,-0.336925850438738,15.43,22.93,7.984,27.393,0.6529333333,0.487704918032787,0.200364193161999,-0.445823295271495,-0.636152030867233,-0.147334191180508,-0.28360885241315,2.8923156546082
"10","W1_TX","A5_CviMVP_PlDNA_7_D497_E2129593","D497","E2129593","5413EC26",5.9,36.7,13.8,30.5,0.666666667,0,-0.768427923359125,1.37620175601784,1.05518981505045,0.791230691510247,-0.234941304355923,-0.336925850438738,8.7,16.6,7.2,28.2,0.3516666666,0,-0.483788057015038,-1.28339908137618,-0.864145842283922,0.0964449721060829,-1.35122362825326,-0.336925850438738,15.43,22.93,7.984,27.393,0.6529333333,0.487704918032787,0.200364193161999,-0.445823295271495,-0.636152030867233,-0.147334191180508,-0.28360885241315,2.8923156546082
