"","rownames(env_dist_df)","AC_LIS_CT_2023-10-3","Cal_Lake_LA_2022-8-11","CC_VA_2022-7-11","CPR_MS_AL_2022-8-24","CS_DB_NJ_2022-9-21","Culch_Ba_LA_2022-6-21","DC_NB_RI_2022-8-19","EC_ApBay_FL_2023-10-4","FFJ_CF_NC_2023-7-19","FP_Sav_GA_2022-6-10","GalBay_TX_2022-6-2","GriceCove_SC_2022-8-10","HC_DB_NJ_2022-9-23","IL_ApBay_FL_2023-10-3","LakeFortuna_LA_2022-5-11","LCP_UP_MD_2022-10-20","Mer_GA_2022-7-26","Nickle_Rf_LA_2022-8-1","OL_MI_SC_2022-5-31","Orrs_Cove_ME_2022-10-31","SaLa_GA_2022-10-5","SaltBay_Canada_2022-9-27","Sapelo_Is_GA_2022-7-17","SawIs_MA_2022-9-5","SkR_GA_2022-6-14","TP_TX_2022-6-28","UNCW_MS_NC_2023-7-17","W1_TX","W6_ME","W4_VA","W3_FL","W2_LA","W5_NH","S1_LOLA","S2_DEBY","Lewisetta","YorkRiver"
"SaLa_GA_2022-10-5","SaLa_GA_2022-10-5",3.7454,0.7884,3.4862,1.751,3.3692,1.8989,4.9303,1.31,2.8636,4.4657,1.9015,2.1683,3.3901,1.3119,2.7871,3.2479,1.9938,3.3965,3.9,4.9545,0,5.4522,2.2673,2.3141,2.1735,0.8421,4.2381,2.1257,5.8772,3.0419,3.1553,2.3178,3.5536,3.4732,4.9951,3.3354,5.2029
"SaltBay_Canada_2022-9-27","SaltBay_Canada_2022-9-27",4.1549,5.2143,3.6481,4.6865,2.5562,5.3733,2.5721,5.3634,4.9396,5.8941,5.0763,4.6744,4.3692,5.3196,5.0798,4.0038,5.0249,5.5322,4.3104,2.2607,5.4522,0,4.8285,3.937,4.6415,5.1795,5.4479,5.1016,2.4758,3.2884,5.1371,5.202,4.0917,3.3749,5.1925,3.5262,5.447
"Sapelo_Is_GA_2022-7-17","Sapelo_Is_GA_2022-7-17",4.1741,1.7583,1.9688,1.5159,2.7608,3.3108,3.8238,1.341,2.1955,3.7142,3.3587,0.6924,4.4544,1.3485,3.8646,4.2017,0.6769,4.6898,2.1745,3.8536,2.2673,4.8285,0,1.8304,0.7235,1.8144,2.9387,2.1571,4.8009,3.3019,1.2141,3.4818,3.3593,4.0397,4.8514,3.9048,4.9566
"SawIs_MA_2022-9-5","SawIs_MA_2022-9-5",3.2495,2.1349,2.4508,2.1342,2.1052,3.203,3.1754,1.9441,2.515,4.0473,3.0988,1.8589,3.7683,1.9031,3.6619,3.5413,1.847,4.4202,2.9355,3.1957,2.3141,3.937,1.8304,0,1.9895,2.1535,3.4251,2.3921,4.0896,2.9898,2.4612,3.3884,2.4565,3.5721,4.714,3.5274,4.8266
"SkR_GA_2022-6-14","SkR_GA_2022-6-14",3.9975,1.6815,1.7427,1.4645,2.7394,3.1912,3.6248,1.4829,2.5807,4.1854,3.2038,0.3551,4.2525,1.4909,3.7491,3.9068,1.1399,4.4879,2.1414,3.9624,2.1735,4.6415,0.7235,1.9895,0,1.7792,3.4643,2.3472,4.8781,3.0199,1.4708,3.365,3.5974,3.7104,4.7664,3.5749,4.9894
"TP_TX_2022-6-28","TP_TX_2022-6-28",3.9468,0.3628,3.2102,0.9639,3.0435,1.7962,4.7912,0.8958,2.717,4.2284,1.8717,1.7725,3.4702,0.9078,2.5103,3.4681,1.602,3.3677,3.3433,4.537,0.8421,5.1795,1.8144,2.1535,1.7792,0,3.9691,1.4545,5.4111,2.8606,2.5799,2.0622,3.6166,3.3666,4.8926,3.2012,5.0947
"UNCW_MS_NC_2023-7-17","UNCW_MS_NC_2023-7-17",5.1807,3.9681,3.293,3.7551,3.3842,4.8887,4.7137,3.7709,1.5222,1.593,4.8768,3.4816,5.3192,3.7615,5.2053,5.0647,2.7902,5.8895,3.8518,3.805,4.2381,5.4479,2.9387,3.4251,3.4643,3.9691,0,4.0261,4.9328,4.3301,3.6052,4.9676,2.7024,5.1234,5.2766,5.0435,4.8773
"W1_TX","W1_TX",4.3105,1.7686,3.4948,1.3752,3.2184,2.6765,4.9863,1.4632,3.0799,4.3785,2.7384,2.3738,4.2256,1.4242,2.94,4.3245,2.0568,4.1266,3.2598,4.3818,2.1257,5.1016,2.1571,2.3921,2.3472,1.4545,4.0261,0,5.1477,3.4374,2.5345,2.6894,3.8854,3.9173,5.2283,3.7783,5.3948
"W6_ME","W6_ME",5.4108,5.4206,4.2368,4.736,2.7828,5.5421,3.6085,5.4891,4.9062,5.244,5.401,4.7874,4.95,5.4686,5.2095,5.1094,4.9874,5.8004,4.1144,1.2713,5.8772,2.4758,4.8009,4.0896,4.8781,5.4111,4.9328,5.1477,0,4.0698,4.789,5.3233,4.4277,4.3961,5.5694,4.4362,5.5679
"W4_VA","W4_VA",3.5511,2.8468,3.0447,2.5804,1.6887,2.5425,3.8932,3.4708,3.1785,4.3526,2.2303,3.0866,1.8222,3.4561,2.4012,1.5873,3.2648,2.6827,3.7498,3.2304,3.0419,3.2884,3.3019,2.9898,3.0199,2.8606,4.3301,3.4374,4.0698,0,4.0765,2.4123,3.2294,0.8384,4.2125,0.7537,4.4551
"W3_FL","W3_FL",4.9345,2.5362,2.5004,2.0625,3.3787,3.9762,4.086,1.9973,3.2385,4.435,4.0919,1.3343,5.2532,2.0194,4.434,5.1404,1.6886,5.3387,1.8867,4.0809,3.1553,5.1371,1.2141,2.4612,1.4708,2.5799,3.6052,2.5345,4.789,4.0765,0,4.0819,4.3236,4.7707,5.3816,4.6269,5.5298
"W2_LA","W2_LA",4.5666,2.0951,4.4377,2.1219,3.2371,0.5676,5.6587,2.9012,3.7341,4.7114,0.6867,3.325,2.2183,2.9199,0.5544,2.9484,3.2712,1.4732,4.394,4.6725,2.3178,5.202,3.4818,3.3884,3.365,2.0622,4.9676,2.6894,5.3233,2.4123,4.0819,0,4.3063,2.5509,5.0101,2.3424,5.2205
"W5_NH","W5_NH",3.3867,3.6328,3.2354,3.6978,2.3892,4.1785,3.7291,3.6844,1.9538,3.0588,3.9496,3.6094,3.8114,3.6393,4.4493,3.3212,3.1529,4.9358,4.3639,3.2592,3.5536,4.0917,3.3593,2.4565,3.5974,3.6166,2.7024,3.8854,4.4277,3.2294,4.3236,4.3063,0,3.783,4.7209,3.8214,4.5039
"S1_LOLA","S1_LOLA",3.7095,3.3693,3.7446,3.1679,2.3203,2.7331,4.325,4.0491,3.9394,5.0605,2.3663,3.775,1.5357,4.0318,2.4137,1.4165,3.995,2.4675,4.3989,3.7122,3.4732,3.3749,4.0397,3.5721,3.7104,3.3666,5.1234,3.9173,4.3961,0.8384,4.7707,2.5509,3.783,0,4.4819,0.2657,4.8021
"S2_DEBY","S2_DEBY",3.1566,4.8692,4.651,4.7359,4.2188,5.0155,5.2244,5.1201,4.6669,4.7568,4.8757,4.7999,4.7863,5.1087,5.0805,4.5604,4.4718,5.3376,4.0496,4.902,4.9951,5.1925,4.8514,4.714,4.7664,4.8926,5.2766,5.2283,5.5694,4.2125,5.3816,5.0101,4.7209,4.4819,0,4.4648,0.9337
"Lewisetta","Lewisetta",3.7923,3.1996,3.701,2.9867,2.3181,2.5356,4.4027,3.9027,3.8522,4.9668,2.1882,3.6371,1.5194,3.8897,2.2208,1.506,3.856,2.3023,4.2914,3.745,3.3354,3.5262,3.9048,3.5274,3.5749,3.2012,5.0435,3.7783,4.4362,0.7537,4.6269,2.3424,3.8214,0.2657,4.4648,0,4.7815
"YorkRiver","YorkRiver",3.5558,5.0719,4.8383,4.9443,4.2909,5.2222,5.4606,5.2944,4.4417,4.19,5.1011,5.0079,4.9699,5.2845,5.2927,4.7989,4.5281,5.5632,4.2904,4.8489,5.2029,5.447,4.9566,4.8266,4.9894,5.0947,4.8773,5.3948,5.5679,4.4551,5.5298,5.2205,4.5039,4.8021,0.9337,4.7815,0
