"","site_name","salinity_quantile_10","salinity_quantile_90","temp_quantile_10","temp_quantile_90","Dermo_Prevalence","Pea_crab","salinity_quantile_10_scaled","salinity_quantile_90_scaled","temp_quantile_10_scaled","temp_quantile_90_scaled","Dermo_Prevalence_scaled","Pea_crab_scaled"
"1","AC_LIS_CT_2023-10-3",1.1,27,4.5,24.4,1,0.263157895,-1.25638197994899,0.092712794688389,-1.64932861119344,-1.05146186864862,0.946309829362121,1.40552202222687
"2","Cal_Lake_LA_2022-8-11",8.7,25,13.4,30.7,0.888888889,0,-0.483788057015038,-0.171924104554797,0.938866441878673,0.851646841023653,0.552559451456106,-0.336925850438738
"4","CC_VA_2022-7-11",27.34,32.39,6.158,27.893,1,0,1.4111001960756,0.805909238148776,-1.16716822939641,0.00370618260300573,0.946309829362121,-0.336925850438738
"5","CPR_MS_AL_2022-8-24",14,28.8,12.8,30.6,0.6875,0,0.0549945471362686,0.330886004007257,0.764381382121003,0.82143876626695,-0.161113109605968,-0.336925850438738
"6","CS_DB_NJ_2022-9-21",17.45,26.75,7.61,24.93,0.533333333,0,0.405711525310232,0.0596331822829907,-0.744914384782848,-0.891359072438098,-0.707441760678143,-0.336925850438738
"7","Culch_Ba_LA_2022-6-21",2.2,17,13.6,30.6,0.538461538,0,-1.14455917531381,-1.23047170152754,0.997028128464563,0.82143876626695,-0.689268666749404,-0.336925850438738
"9","DC_NB_RI_2022-8-19",29.2,31.7,3.5,21,1,0,1.60018239300417,0.714609507909876,-1.94013704412289,-2.07853641037652,0.946309829362121,-0.336925850438738
"11","EC_ApBay_FL_2023-10-4",10.1,31.2,14.1,30.4,1,0,-0.341468123842995,0.64845028309908,1.14243234492929,0.761022616753544,0.946309829362121,-0.336925850438738
"14","FFJ_CF_NC_2023-7-19",13.2,29.3,10,29.4,0.941176471,0,-0.0263311289620419,0.397045228818053,-0.0498822300814599,0.458941869186516,0.737853748192026,-0.336925850438738
"15","FP_Sav_GA_2022-6-10",16.8518396,28.69560821,11.88,29.48,0.736842105,0.1,0.344904276628688,0.317073044201234,0.496837623825908,0.483108328991879,0.0137431429827426,0.325204340512063
"16","GalBay_TX_2022-6-2",1,17,12.2,30,0.538461538,0,-1.26654768946128,-1.23047170152754,0.589896322363332,0.640190317726733,-0.689268666749404,-0.336925850438738
"17","GriceCove_SC_2022-8-10",22,29,12,29.4,1,0,0.868251308119373,0.357349693931575,0.531734635777442,0.458941869186516,0.946309829362121,-0.336925850438738
"18","HC_DB_NJ_2022-9-23",1.309,10.013,8.136,26.748,0.384615385,0,-1.2351356470683,-2.15498070903361,-0.591949149061957,-0.342176273361241,-1.23446149524283,-0.336925850438738
