"","rownames(env_dist_df)","AC_LIS_CT_2023-10-3","Cal_Lake_LA_2022-8-11","CC_VA_2022-7-11","CPR_MS_AL_2022-8-24","CS_DB_NJ_2022-9-21","Culch_Ba_LA_2022-6-21","DC_NB_RI_2022-8-19","EC_ApBay_FL_2023-10-4","FFJ_CF_NC_2023-7-19","FP_Sav_GA_2022-6-10","GalBay_TX_2022-6-2","GriceCove_SC_2022-8-10","HC_DB_NJ_2022-9-23","IL_ApBay_FL_2023-10-3","LakeFortuna_LA_2022-5-11","LCP_UP_MD_2022-10-20","Mer_GA_2022-7-26","Nickle_Rf_LA_2022-8-1","OL_MI_SC_2022-5-31","Orrs_Cove_ME_2022-10-31","SaLa_GA_2022-10-5","SaltBay_Canada_2022-9-27","Sapelo_Is_GA_2022-7-17","SawIs_MA_2022-9-5","SkR_GA_2022-6-14","TP_TX_2022-6-28","UNCW_MS_NC_2023-7-17","W1_TX","W6_ME","W4_VA","W3_FL","W2_LA","W5_NH","S1_LOLA","S2_DEBY","Lewisetta","YorkRiver"
"LakeFortuna_LA_2022-5-11","LakeFortuna_LA_2022-5-11",4.8723,1.7795,4.3594,2.0234,3.2832,0.6129,5.5499,3.1838,4.1889,4.6801,0.3333,3.4625,2.0284,2.9134,0,2.7064,3.6261,1.3163,4.8316,4.7325,3.3638,5.0711,3.4211,4.2844,3.1001,1.8601,4.7024,2.7193,5.1754,2.2892,4.5461,0.5812,4.3738,2.6633,5.3311,2.4898,5.4986
"LCP_UP_MD_2022-10-20","LCP_UP_MD_2022-10-20",3.8373,3.3399,3.9749,3.5926,2.843,2.8601,4.437,4.2874,4.156,5.0097,2.4858,4.0596,1.2495,4.0931,2.7064,0,4.2943,2.4247,5.1809,4.2726,3.8611,3.9119,4.1836,4.2164,3.7663,3.4353,4.9145,4.304,4.8135,1.5216,5.3654,2.7919,3.5689,1.055,4.7881,1.1725,4.9889
"Mer_GA_2022-7-26","Mer_GA_2022-7-26",4.3601,2.3502,2.7084,2.3889,2.7819,3.4225,4.3029,2.1081,1.3739,2.4912,3.5916,2.0181,4.3977,1.6802,3.6261,4.2943,0,4.4447,2.7922,3.6787,2.4341,5.1411,1.1044,2.0915,1.6767,2.355,1.6819,2.3551,4.4686,3.4758,2.1809,3.1928,2.8098,3.7515,4.3924,3.6032,4.2167
"Nickle_Rf_LA_2022-8-1","Nickle_Rf_LA_2022-8-1",5.2195,2.7566,5.0384,3.1433,3.8877,1.3896,6.0405,4.1001,4.8018,5.2518,1.1921,4.2345,1.5536,3.9059,1.3163,2.4247,4.4447,0,5.6253,5.34,3.8837,5.5242,4.3316,4.9482,3.9619,2.9154,5.4501,3.9724,5.7698,2.583,5.4322,1.4834,4.8679,2.7121,5.5767,2.5627,5.7594
"OL_MI_SC_2022-5-31","OL_MI_SC_2022-5-31",4.2267,3.443,2.0488,3.1358,3.5516,4.6909,3.444,2.9559,3.6479,4.6648,4.8083,1.9707,5.4844,2.9949,4.8316,5.1809,2.7922,5.6253,0,3.9215,3.9766,4.6433,2.2161,3.2715,2.1471,3.4829,3.6249,3.5579,4.1134,4.1335,1.841,4.6267,4.4305,4.2964,4.0132,4.1862,4.2103
"Orrs_Cove_ME_2022-10-31","Orrs_Cove_ME_2022-10-31",4.9448,4.3922,3.0598,3.9029,1.6258,4.9061,2.5813,4.7058,3.8295,3.8417,4.7345,3.9227,4.3964,4.3364,4.7325,4.2726,3.6787,5.34,3.9215,0,5.2044,2.4928,3.4519,3.5536,3.4587,4.4421,3.2017,4.273,1.2273,3.3424,4.2472,4.6625,3.0985,3.9737,5.2296,4.0043,5.1077
"SaLa_GA_2022-10-5","SaLa_GA_2022-10-5",3.8222,2.1294,3.6517,2.9829,3.916,2.9265,5.0686,1.6614,2.4895,4.3892,3.1655,2.4551,4.0852,1.7569,3.3638,3.8611,2.4341,3.8837,3.9766,5.2044,0,5.8968,2.6101,2.3942,2.7169,2.129,3.801,2.9097,5.8273,3.757,3.2153,2.9449,3.3791,3.3585,4.8405,3.2158,4.8921
"SaltBay_Canada_2022-9-27","SaltBay_Canada_2022-9-27",4.5335,4.9979,3.4434,4.5572,2.6644,5.3484,2.3162,5.4092,5.2191,5.8037,5.03,4.6367,4.3615,5.203,5.0711,3.9119,5.1411,5.5242,4.6433,2.4928,5.8968,0,4.6458,4.6733,4.3125,5.0159,5.1068,5.0568,2.3288,3.2631,5.3651,5.2247,4.1765,3.5755,5.5079,3.7186,5.7146
"Sapelo_Is_GA_2022-7-17","Sapelo_Is_GA_2022-7-17",4.4098,1.9551,2.0532,1.7565,2.5635,3.2502,3.8344,1.6964,2.1162,3.3387,3.4086,1.1637,4.3087,1.3676,3.4211,4.1836,1.1044,4.3316,2.2161,3.4519,2.6101,4.6458,0,2.2494,0.7536,1.9733,2.2621,2.031,4.0423,3.1546,1.4911,3.085,3.2316,3.4655,4.6811,3.3072,4.6801
"SawIs_MA_2022-9-5","SawIs_MA_2022-9-5",3.5411,3.0782,2.835,3.3809,2.9015,4.0515,3.4578,2.4617,1.9433,3.7496,4.1379,2.4416,4.5117,2.3318,4.2844,4.2164,2.0915,4.9482,3.2715,3.5536,2.3942,4.6733,2.2494,0,2.6296,3.0846,2.7151,3.2018,4.138,3.8456,2.6937,3.9472,2.0329,3.6909,4.6609,3.6478,4.5468
