"","site_name","lat.x","lon.x","Mean_Annual_Salinity_ppt","Mean_max_Salinity_ppt","Mean_min_Salinity_ppt","salinity_quantile_10","salinity_quantile_90","lat.y","lon.y","Mean_Annual_Temperature_C","Mean_max_temperature_C","Mean_min_temperature_C","temp_quantile_10","temp_quantile_90","sal_quant10_scaled","sal_quant90_scaled","temp_quant10_scaled","temp_quant90_scaled"
"1","LEW",37.9803,-76.4619,13.11045406,17.8,9.7,8.7,16.6,37.9803,-76.4619,18.4378262,31.35,3.4065,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559
"2","S1-LOLA",37.9803,-76.4619,13.11045406,17.8,9.7,8.7,16.6,37.9803,-76.4619,18.4378262,31.35,3.4065,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559
"3","S2-DEBY",37.247284,-76.499369,19.33913072,24.18909091,12.90636364,15.81,22.39,37.247284,-76.499369,17.12424242,30.14377273,3.546090909,6.53,27.49,0.428711601072038,-0.129758609295936,-0.858110722615889,-0.0719587231892383
"4","W1_TX",28.0841,-97.2009,20.85778793,29.90625,6.34375,5.9,36.7,28.0841,-97.2009,23.10605003,32.61875,7.775,13.8,30.5,-0.622402152022541,1.370619626138,1.41571379751005,0.978457168176467
"5","W2_LA",29.24916667,-90.9211111,10.4648686,25.75,0.96875,3,18,29.24916667,-90.9211111,22.86358534,33.16875,7.3125,13.2,30.7,-0.929993462211671,-0.590042358670846,1.22805290176375,1.04825224401472
"6","W3_FL",30.44116,-81.43908,32.35225365,37.20420518,15.42244418,27.85066428,35.97585067,30.44116,-81.43908,22.1556673,30.6387,10.38665,14.559,29.279,1.70581632570399,1.29469384738635,1.65310483062911,0.552358230183933
"7","W4_VA",37.211,-76.787,3.108226083,10.08333333,0.441666667,0.1,7,37.211,-76.787,19.93463523,28.24166667,3.158333333,7.5,29.5,-1.2375847724008,-1.74337293797016,-0.554725607826046,0.629481788985203
"8","W5_NH",43.0524,-70.91181,18.641368,30.29230769,0.284615385,5.9,28.6,43.0524,-70.91181,16.71713124,27.88076923,2.319230769,7.2,24.2,-0.622402152022541,0.52134892683577,-0.648556055699194,-1.2200877207285
"9","W6_ME",43.986,-69.55,29.47828304,31.50428571,8.741428571,26.29,31.48,43.986,-69.55,15.3288717,23.46,4.021428571,7.563,21.5,1.54028295651414,0.823311842143228,-0.535021213772686,-2.16232124454491
"10","YRK",37.247284,-76.499369,19.77022817,24.355,15.385,15.43,22.93,37.247284,-76.499369,18.10198746,30.5235,5.858,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
