"","site_name","lat","lon"
"1","LEW",37.9803,-76.4619
"2","S1_LOLA",37.9803,-76.4619
"3","S2_DEBY",37.247284,-76.499369
"4","W1_TX",28.0841,-97.2009
"5","W2_LA",29.24916667,-90.9211111
"6","W3_FL",30.44116,-81.43908
"7","W4_VA",37.211,-76.787
"8","W5_NH",43.0524,-70.91181
"9","W6_ME",43.986,-69.55
"10","YRK",37.247284,-76.499369
