"","rownames(env_dist_df)","AC_LIS_CT_2023-10-3","Cal_Lake_LA_2022-8-11","CC_VA_2022-7-11","CPR_MS_AL_2022-8-24","CS_DB_NJ_2022-9-21","Culch_Ba_LA_2022-6-21","DC_NB_RI_2022-8-19","EC_ApBay_FL_2023-10-4","FFJ_CF_NC_2023-7-19","FP_Sav_GA_2022-6-10","GalBay_TX_2022-6-2","GriceCove_SC_2022-8-10","HC_DB_NJ_2022-9-23","IL_ApBay_FL_2023-10-3","LakeFortuna_LA_2022-5-11","LCP_UP_MD_2022-10-20","Mer_GA_2022-7-26","Nickle_Rf_LA_2022-8-1","OL_MI_SC_2022-5-31","Orrs_Cove_ME_2022-10-31","SaLa_GA_2022-10-5","SaltBay_Canada_2022-9-27","Sapelo_Is_GA_2022-7-17","SawIs_MA_2022-9-5","SkR_GA_2022-6-14","TP_TX_2022-6-28","UNCW_MS_NC_2023-7-17","W1_TX","W6_ME","W3_FL","W2_LA","W5_NH","W4_VA","S1_LOLA","S2_DEBY","Lewisetta","YorkRiver"
"SaltBay_Canada_2022-9-27","SaltBay_Canada_2022-9-27",4.0292,5.2189,3.6152,4.6958,2.3848,5.3744,2.5648,5.3613,5.0904,5.1173,5.082,4.6783,4.3486,5.3414,5.1301,3.9789,5.4711,5.5388,4.2177,2.1984,5.4958,0,5.069,4.0183,5.3447,5.185,4.9353,5.1008,2.6351,5.2988,5.2034,3.7279,5.9759,3.4404,4.2792,3.5889,4.2938
"Sapelo_Is_GA_2022-7-17","Sapelo_Is_GA_2022-7-17",3.8992,2.5442,2.5598,2.4135,3.0458,3.6016,4.1279,1.9561,1.551,1.6798,3.8153,1.9652,4.6701,1.6747,3.9333,4.5472,0.8827,5.0328,2.4103,3.7487,2.3924,5.069,0,1.9642,1.1405,2.2054,1.0589,2.6817,4.7743,1.1477,3.7576,2.7844,5.5682,4.619,4.3458,4.5014,4.0982
"SawIs_MA_2022-9-5","SawIs_MA_2022-9-5",2.8649,2.4101,2.6157,2.428,2.1268,3.2729,3.2805,2.0608,2.3498,2.5875,3.2839,2.1694,3.827,1.9024,3.6398,3.6841,2.2757,4.555,2.8648,3.047,2.288,4.0183,1.9642,0,2.6138,2.2087,2.2988,2.5431,4.0595,2.4606,3.4529,1.6385,5.2203,3.8829,3.9196,3.8419,3.7089
"SkR_GA_2022-6-14","SkR_GA_2022-6-14",4.0164,3.3773,3.1457,3.309,3.5029,4.0722,4.4943,2.9354,0.9662,1.2634,4.3232,2.9505,4.8732,2.6061,4.2155,4.7626,0.8296,5.3547,3.1561,3.9177,2.9131,5.3447,1.1405,2.6138,0,2.9672,0.7841,3.5735,4.9336,1.9935,4.2083,2.8488,5.862,4.9786,4.6935,4.8785,4.3864
"TP_TX_2022-6-28","TP_TX_2022-6-28",3.7463,0.6622,3.1908,1.1311,2.8876,1.8009,4.7992,0.9086,2.7356,2.8081,1.9434,1.8565,3.4348,0.9373,2.5418,3.4602,2.4597,3.4085,3.2227,4.4286,0.947,5.185,2.2054,2.2087,2.9672,0,3.0241,1.4886,5.4187,2.7775,2.064,3.063,5.1413,3.4951,3.9328,3.3361,3.8277
"UNCW_MS_NC_2023-7-17","UNCW_MS_NC_2023-7-17",3.8787,3.446,2.8955,3.2317,3.2308,4.2423,4.1143,2.8864,1.1807,1.3945,4.4465,2.8724,4.993,2.5603,4.3273,4.87,1.0299,5.5476,2.8151,3.46,3.1037,4.9353,1.0589,2.2988,0.7841,3.0241,0,3.3328,4.4684,1.7128,4.3316,2.6309,5.9108,4.9681,4.6397,4.8856,4.3334
"W1_TX","W1_TX",4.2034,1.7826,3.4647,1.4019,3.088,2.6812,4.9855,1.469,3.3521,3.2932,2.7461,2.3832,4.2058,1.5268,3.0334,4.3017,3.0211,4.1314,3.141,4.3612,2.2543,5.1008,2.6817,2.5431,3.5735,1.4886,3.3328,0,5.2347,2.8706,2.6931,3.523,5.67,3.9664,4.3222,3.8292,4.2313
"W6_ME","W6_ME",5.0983,5.565,4.4072,4.9164,2.9886,5.5853,3.7115,5.5282,4.89,4.5189,5.5423,4.9489,5.0506,5.4321,5.1485,5.284,5.0603,5.9397,4.0585,1.2021,5.8178,2.6351,4.7743,4.0595,4.9336,5.4187,4.4684,5.2347,0,4.672,5.369,4.2185,6.8658,4.7342,5.069,4.7714,4.8709
"W3_FL","W3_FL",4.7071,2.9898,2.7874,2.6234,3.4015,4.148,4.2912,2.3236,2.5845,2.3919,4.3776,2.0705,5.3409,2.169,4.4689,5.3124,1.7822,5.5649,2.0137,3.816,3.2107,5.2988,1.1477,2.4606,1.9935,2.7775,1.7128,2.8706,4.672,0,4.248,3.6225,6.0035,5.1621,4.7409,5.0295,4.5097
"W2_LA","W2_LA",4.4239,2.1273,4.4132,2.1644,3.0956,0.5661,5.6573,2.8958,3.8484,3.6042,0.7801,3.3438,2.1683,2.9413,0.8113,2.9221,3.8509,1.5248,4.3005,4.6086,2.3861,5.2034,3.7576,3.4529,4.2083,2.064,4.3316,2.6931,5.369,4.248,0,3.9113,5.4853,2.6709,4.0633,2.4725,3.9963
"W5_NH","W5_NH",1.9654,3.3743,3.0985,3.4664,2.3871,3.7717,3.3305,3.2177,2.1901,2.762,3.6991,3.3491,3.611,2.9877,3.874,3.2446,2.7757,4.7446,3.8564,3.1329,2.807,3.7279,2.7844,1.6385,2.8488,3.063,2.6309,3.523,4.2185,3.6225,3.9113,0,5.2648,3.7677,4.026,3.8062,3.7974
"W4_VA","W4_VA",3.7743,5.0271,5.0243,5.1537,5.0193,5.3574,5.5654,5.2905,5.7079,5.4771,5.1891,5.0175,5.2843,5.338,5.74,4.8254,5.5871,5.7495,4.8949,6.0931,5.1209,5.9759,5.5682,5.2203,5.862,5.1413,5.9108,5.67,6.8658,6.0035,5.4853,5.2648,0,5.0203,2.0058,5.0069,2.1599
"S1_LOLA","S1_LOLA",3.8297,3.3889,3.7724,3.1864,2.3117,2.8449,4.3722,4.1215,4.5915,4.5969,2.4025,3.791,1.7095,4.1988,2.7829,1.454,4.9201,2.4989,4.3858,3.9666,3.7346,3.4404,4.619,3.8829,4.9786,3.4951,4.9681,3.9664,4.7342,5.1621,2.6709,3.7677,5.0203,0,3.4142,0.2657,3.5562
"S2_DEBY","S2_DEBY",2.9947,3.8785,3.6985,3.7117,3.2132,4.0705,4.3176,4.1976,4.5162,4.176,3.8867,3.7905,3.8881,4.23,4.2324,3.5819,4.4756,4.4514,3.4644,4.2941,4.13,4.2792,4.3458,3.9196,4.6935,3.9328,4.6397,4.3222,5.069,4.7409,4.0633,4.026,2.0058,3.4142,0,3.3916,0.5066
"Lewisetta","Lewisetta",3.9099,3.2202,3.7292,3.0063,2.3094,2.6558,4.4491,3.9777,4.517,4.4935,2.2273,3.6537,1.6949,4.0626,2.6173,1.5413,4.808,2.3359,4.278,3.9973,3.6067,3.5889,4.5014,3.8419,4.8785,3.3361,4.8856,3.8292,4.7714,5.0295,2.4725,3.8062,5.0069,0.2657,3.3916,0,3.5283
"YorkRiver","YorkRiver",2.8405,3.8368,3.6995,3.6733,3.1376,3.9992,4.311,4.0918,4.2036,3.8062,3.8725,3.7511,3.8721,4.0832,4.1098,3.6586,4.1602,4.465,3.358,4.0911,3.9939,4.2938,4.0982,3.7089,4.3864,3.8277,4.3334,4.2313,4.8709,4.5097,3.9963,3.7974,2.1599,3.5562,0.5066,3.5283,0
