"","rownames(env_dist_df)","AC_LIS_CT_2023-10-3","Cal_Lake_LA_2022-8-11","CC_VA_2022-7-11","CPR_MS_AL_2022-8-24","CS_DB_NJ_2022-9-21","Culch_Ba_LA_2022-6-21","DC_NB_RI_2022-8-19","EC_ApBay_FL_2023-10-4","FFJ_CF_NC_2023-7-19","FP_Sav_GA_2022-6-10","GalBay_TX_2022-6-2","GriceCove_SC_2022-8-10","HC_DB_NJ_2022-9-23","IL_ApBay_FL_2023-10-3","LakeFortuna_LA_2022-5-11","LCP_UP_MD_2022-10-20","Mer_GA_2022-7-26","Nickle_Rf_LA_2022-8-1","OL_MI_SC_2022-5-31","Orrs_Cove_ME_2022-10-31","SaLa_GA_2022-10-5","SaltBay_Canada_2022-9-27","Sapelo_Is_GA_2022-7-17","SawIs_MA_2022-9-5","SkR_GA_2022-6-14","TP_TX_2022-6-28","UNCW_MS_NC_2023-7-17","W1_TX","W6_ME","W4_VA","W3_FL","W2_LA","W5_NH","S1_LOLA","S2_DEBY","Lewisetta","YorkRiver"
"AC_LIS_CT_2023-10-3","AC_LIS_CT_2023-10-3",0,3.3121,3.0938,3.504,2.7159,3.841,3.1849,3.4606,3.5021,5.102,3.4915,3.418,3.4174,3.3978,4.1394,2.5326,3.4859,4.543,4.164,4.0209,3.0352,3.5282,3.5508,2.3967,3.3414,3.2805,4.693,3.7102,4.9459,2.792,4.4198,4.0049,2.5797,2.9908,2.5413,3.093,3.0229
"Cal_Lake_LA_2022-8-11","Cal_Lake_LA_2022-8-11",3.3121,0,3.1632,1.0499,3.0461,1.7731,4.7283,0.9483,2.7179,4.1446,1.8671,1.6352,3.4197,0.983,2.577,3.4072,1.499,3.3276,3.0509,4.5465,0.7884,5.2143,1.7583,2.1349,1.6815,0.3628,3.9681,1.7686,5.4206,2.8468,2.5362,2.0951,3.6328,3.3693,2.6778,3.1996,3.0308
"CC_VA_2022-7-11","CC_VA_2022-7-11",3.0938,3.1632,0,2.7938,2.3784,4.3605,2.3221,3.0103,2.7479,4.1722,4.2317,1.9079,4.6229,2.9837,4.6857,3.9547,2.2901,5.3233,1.7695,3.2278,3.4862,3.6481,1.9688,2.4508,1.7427,3.2102,3.293,3.4948,4.2368,3.0447,2.5004,4.4377,3.2354,3.7446,2.257,3.701,2.6214
"CPR_MS_AL_2022-8-24","CPR_MS_AL_2022-8-24",3.504,1.0499,2.7938,0,2.5807,2.0696,4.4327,1.2823,2.7051,3.988,2.149,1.4576,3.5334,1.2973,2.4754,3.5992,1.447,3.4516,2.3127,3.926,1.751,4.6865,1.5159,2.1342,1.4645,0.9639,3.7551,1.3752,4.736,2.5804,2.0625,2.1219,3.6978,3.1679,2.427,2.9867,2.8122
"CS_DB_NJ_2022-9-21","CS_DB_NJ_2022-9-21",2.7159,3.0461,2.3784,2.5807,0,3.3247,2.905,3.2931,2.6203,3.6047,3.1095,2.7299,2.93,3.2662,3.2751,2.7577,2.78,3.8808,2.7137,1.737,3.3692,2.5562,2.7608,2.1052,2.7394,3.0435,3.3842,3.2184,2.7828,1.6887,3.3787,3.2371,2.3892,2.3203,1.1227,2.3181,1.369
"Culch_Ba_LA_2022-6-21","Culch_Ba_LA_2022-6-21",3.841,1.7731,4.3605,2.0696,3.3247,0,5.6023,2.6345,3.5943,4.6019,0.4537,3.1341,2.2793,2.6585,1.0794,2.8822,3.0394,1.6494,4.2072,4.832,1.8989,5.3733,3.3108,3.203,3.1912,1.7962,4.8887,2.6765,5.5421,2.5425,3.9762,0.5676,4.1785,2.7331,2.9355,2.5356,3.2762
"DC_NB_RI_2022-8-19","DC_NB_RI_2022-8-19",3.1849,4.7283,2.3221,4.4327,2.905,5.6023,0,4.6263,4.3369,5.5498,5.3794,3.6376,5.1586,4.5883,5.7924,4.4416,4.1156,6.264,3.2547,2.9677,4.9303,2.5721,3.8238,3.1754,3.6248,4.7912,4.7137,4.9863,3.6085,3.8932,4.086,5.6587,3.7291,4.325,3.2797,4.4027,3.6442
"EC_ApBay_FL_2023-10-4","EC_ApBay_FL_2023-10-4",3.4606,0.9483,3.0103,1.2823,3.2931,2.6345,4.6263,0,2.7148,4.1897,2.7276,1.4376,4.2255,0.0932,3.3381,4.1164,1.1414,4.2211,2.7713,4.6105,1.31,5.3634,1.341,1.9441,1.4829,0.8958,3.7709,1.4632,5.4891,3.4708,1.9973,2.9012,3.6844,4.0491,3.1108,3.9027,3.3901
"FFJ_CF_NC_2023-7-19","FFJ_CF_NC_2023-7-19",3.5021,2.7179,2.7479,2.7051,2.6203,3.5943,4.3369,2.7148,0,1.8394,3.5316,2.6326,4.075,2.6987,4.0103,3.7518,1.8586,4.6468,3.3139,3.7073,2.8636,4.9396,2.1955,2.515,2.5807,2.717,1.5222,3.0799,4.9062,3.1785,3.2385,3.7341,1.9538,3.9394,2.2895,3.8522,1.7862
"FP_Sav_GA_2022-6-10","FP_Sav_GA_2022-6-10",5.102,4.1446,4.1722,3.988,3.6047,4.6019,5.5498,4.1897,1.8394,0,4.6101,4.0948,4.9182,4.1914,4.8174,4.9032,3.3164,5.3745,4.3902,4.1125,4.3871,5.8348,3.6194,3.9605,4.1015,4.1454,1.3573,4.2983,5.1773,4.272,4.3559,4.637,2.943,4.9914,3.4894,4.8963,2.6655
"GalBay_TX_2022-6-2","GalBay_TX_2022-6-2",3.4915,1.8671,4.2317,2.149,3.1095,0.4537,5.3794,2.7276,3.5316,4.6101,0,3.1701,1.9282,2.7387,1.0493,2.4766,3.0955,1.5527,4.2215,4.6676,1.9015,5.0763,3.3587,3.0988,3.2038,1.8717,4.8768,2.7384,5.401,2.2303,4.0919,0.6867,3.9496,2.3663,2.6897,2.1882,3.0794
"GriceCove_SC_2022-8-10","GriceCove_SC_2022-8-10",3.418,1.6352,1.9079,1.4576,2.7299,3.1341,3.6376,1.4376,2.6326,4.0948,3.1701,0,4.2265,1.4573,3.7202,3.9539,1.031,4.4477,1.6892,3.9078,2.1683,4.6744,0.6924,1.8589,0.3551,1.7725,3.4816,2.3738,4.7874,3.0866,1.3343,3.325,3.6094,3.775,2.5497,3.6371,2.9225
"HC_DB_NJ_2022-9-23","HC_DB_NJ_2022-9-23",3.4174,3.4197,4.6229,3.5334,2.93,2.2793,5.1586,4.2255,4.075,4.9182,1.9282,4.2265,0,4.2219,2.0925,1.3744,4.2483,1.6364,4.9869,4.2959,3.3901,4.3692,4.4544,3.7683,4.2525,3.4702,5.3192,4.2256,4.95,1.8222,5.2532,2.2183,3.8114,1.5357,2.524,1.5194,2.8569
"IL_ApBay_FL_2023-10-3","IL_ApBay_FL_2023-10-3",3.3978,0.983,2.9837,1.2973,3.2662,2.6585,4.5883,0.0932,2.6987,4.1914,2.7387,1.4573,4.2219,0,3.3488,4.098,1.1512,4.2406,2.7709,4.5851,1.3119,5.3196,1.3485,1.9031,1.4909,0.9078,3.7615,1.4242,5.4686,3.4561,2.0194,2.9199,3.6393,4.0318,3.092,3.8897,3.3746
"LakeFortuna_LA_2022-5-11","LakeFortuna_LA_2022-5-11",4.1394,2.577,4.6857,2.4754,3.2751,1.0794,5.7924,3.3381,4.0103,4.8174,1.0493,3.7202,2.0925,3.3488,0,2.9657,3.646,1.3163,4.4307,4.6285,2.7871,5.0798,3.8646,3.6619,3.7491,2.5103,5.2053,2.94,5.2095,2.4012,4.434,0.5544,4.4493,2.4137,3.0452,2.2208,3.3874
"LCP_UP_MD_2022-10-20","LCP_UP_MD_2022-10-20",2.5326,3.4072,3.9547,3.5992,2.7577,2.8822,4.4416,4.1164,3.7518,4.9032,2.4766,3.9539,1.3744,4.098,2.9657,0,4.036,2.7111,4.7744,4.2666,3.2479,4.0038,4.2017,3.5413,3.9068,3.4681,5.0647,4.3245,5.1094,1.5873,5.1404,2.9484,3.3212,1.4165,2.0638,1.506,2.5478
"Mer_GA_2022-7-26","Mer_GA_2022-7-26",3.4859,1.499,2.2901,1.447,2.78,3.0394,4.1156,1.1414,1.8586,3.3164,3.0955,1.031,4.2483,1.1512,3.646,4.036,0,4.461,2.2017,3.9764,1.9497,5.0075,0.5333,1.7993,1.061,1.5468,2.7589,2.0141,4.9699,3.238,1.6364,3.2445,3.1252,3.9732,2.5838,3.8334,2.6801
"Nickle_Rf_LA_2022-8-1","Nickle_Rf_LA_2022-8-1",4.543,3.3276,5.3233,3.4516,3.8808,1.6494,6.264,4.2211,4.6468,5.3745,1.5527,4.4477,1.6364,4.2406,1.3163,2.7111,4.461,0,5.285,5.2481,3.3965,5.5322,4.6898,4.4202,4.4879,3.3677,5.8895,4.1266,5.8004,2.6827,5.3387,1.4732,4.9358,2.4675,3.4572,2.3023,3.7961
"OL_MI_SC_2022-5-31","OL_MI_SC_2022-5-31",4.164,3.0509,1.7695,2.3127,2.7137,4.2072,3.2547,2.7713,3.3139,4.3902,4.2215,1.6892,4.9869,2.7709,4.4307,4.7744,2.2017,5.285,0,3.2119,3.6711,4.1044,1.7306,2.6237,1.6888,3.0731,3.6198,2.9821,3.898,3.511,1.3514,4.1921,4.1606,4.1973,2.9726,4.0844,3.2931
"Orrs_Cove_ME_2022-10-31","Orrs_Cove_ME_2022-10-31",4.0209,4.5465,3.2278,3.926,1.737,4.832,2.9677,4.6105,3.7073,4.1125,4.6676,3.9078,4.2959,4.5851,4.6285,4.2666,3.9764,5.2481,3.2119,0,4.9545,2.2607,3.8536,3.1957,3.9624,4.537,3.805,4.3818,1.2713,3.2304,4.0809,4.6725,3.2592,3.7122,2.7371,3.745,2.6408
"SaLa_GA_2022-10-5","SaLa_GA_2022-10-5",3.0352,0.7884,3.4862,1.751,3.3692,1.8989,4.9303,1.31,2.8636,4.3871,1.9015,2.1683,3.3901,1.3119,2.7871,3.2479,1.9497,3.3965,3.6711,4.9545,0,5.4522,2.2673,2.3141,2.1735,0.8421,4.2381,2.1257,5.8772,3.0419,3.1553,2.3178,3.5536,3.4732,2.9006,3.3354,3.2453
"SaltBay_Canada_2022-9-27","SaltBay_Canada_2022-9-27",3.5282,5.2143,3.6481,4.6865,2.5562,5.3733,2.5721,5.3634,4.9396,5.8348,5.0763,4.6744,4.3692,5.3196,5.0798,4.0038,5.0075,5.5322,4.1044,2.2607,5.4522,0,4.8285,3.937,4.6415,5.1795,5.4479,5.1016,2.4758,3.2884,5.1371,5.202,4.0917,3.3749,3.2287,3.5262,3.6237
"Sapelo_Is_GA_2022-7-17","Sapelo_Is_GA_2022-7-17",3.5508,1.7583,1.9688,1.5159,2.7608,3.3108,3.8238,1.341,2.1955,3.6194,3.3587,0.6924,4.4544,1.3485,3.8646,4.2017,0.5333,4.6898,1.7306,3.8536,2.2673,4.8285,0,1.8304,0.7235,1.8144,2.9387,2.1571,4.8009,3.3019,1.2141,3.4818,3.3593,4.0397,2.6453,3.9048,2.8336
"SawIs_MA_2022-9-5","SawIs_MA_2022-9-5",2.3967,2.1349,2.4508,2.1342,2.1052,3.203,3.1754,1.9441,2.515,3.9605,3.0988,1.8589,3.7683,1.9031,3.6619,3.5413,1.7993,4.4202,2.6237,3.1957,2.3141,3.937,1.8304,0,1.9895,2.1535,3.4251,2.3921,4.0896,2.9898,2.4612,3.3884,2.4565,3.5721,2.3841,3.5274,2.5996
"SkR_GA_2022-6-14","SkR_GA_2022-6-14",3.3414,1.6815,1.7427,1.4645,2.7394,3.1912,3.6248,1.4829,2.5807,4.1015,3.2038,0.3551,4.2525,1.4909,3.7491,3.9068,1.061,4.4879,1.6888,3.9624,2.1735,4.6415,0.7235,1.9895,0,1.7792,3.4643,2.3472,4.8781,3.0199,1.4708,3.365,3.5974,3.7104,2.4861,3.5749,2.8906
"TP_TX_2022-6-28","TP_TX_2022-6-28",3.2805,0.3628,3.2102,0.9639,3.0435,1.7962,4.7912,0.8958,2.717,4.1454,1.8717,1.7725,3.4702,0.9078,2.5103,3.4681,1.5468,3.3677,3.0731,4.537,0.8421,5.1795,1.8144,2.1535,1.7792,0,3.9691,1.4545,5.4111,2.8606,2.5799,2.0622,3.6166,3.3666,2.7202,3.2012,3.0688
"UNCW_MS_NC_2023-7-17","UNCW_MS_NC_2023-7-17",4.693,3.9681,3.293,3.7551,3.3842,4.8887,4.7137,3.7709,1.5222,1.3573,4.8768,3.4816,5.3192,3.7615,5.2053,5.0647,2.7589,5.8895,3.6198,3.805,4.2381,5.4479,2.9387,3.4251,3.4643,3.9691,0,4.0261,4.9328,4.3301,3.6052,4.9676,2.7024,5.1234,3.3621,5.0435,2.6926
"W1_TX","W1_TX",3.7102,1.7686,3.4948,1.3752,3.2184,2.6765,4.9863,1.4632,3.0799,4.2983,2.7384,2.3738,4.2256,1.4242,2.94,4.3245,2.0141,4.1266,2.9821,4.3818,2.1257,5.1016,2.1571,2.3921,2.3472,1.4545,4.0261,0,5.1477,3.4374,2.5345,2.6894,3.8854,3.9173,3.2859,3.7783,3.5449
"W6_ME","W6_ME",4.9459,5.4206,4.2368,4.736,2.7828,5.5421,3.6085,5.4891,4.9062,5.1773,5.401,4.7874,4.95,5.4686,5.2095,5.1094,4.9699,5.8004,3.898,1.2713,5.8772,2.4758,4.8009,4.0896,4.8781,5.4111,4.9328,5.1477,0,4.0698,4.789,5.3233,4.4277,4.3961,3.8053,4.4362,3.8031
"W4_VA","W4_VA",2.792,2.8468,3.0447,2.5804,1.6887,2.5425,3.8932,3.4708,3.1785,4.272,2.2303,3.0866,1.8222,3.4561,2.4012,1.5873,3.238,2.6827,3.511,3.2304,3.0419,3.2884,3.3019,2.9898,3.0199,2.8606,4.3301,3.4374,4.0698,0,4.0765,2.4123,3.2294,0.8384,1.0985,0.7537,1.8192
"W3_FL","W3_FL",4.4198,2.5362,2.5004,2.0625,3.3787,3.9762,4.086,1.9973,3.2385,4.3559,4.0919,1.3343,5.2532,2.0194,4.434,5.1404,1.6364,5.3387,1.3514,4.0809,3.1553,5.1371,1.2141,2.4612,1.4708,2.5799,3.6052,2.5345,4.789,4.0765,0,4.0819,4.3236,4.7707,3.5247,4.6269,3.7471
"W2_LA","W2_LA",4.0049,2.0951,4.4377,2.1219,3.2371,0.5676,5.6587,2.9012,3.7341,4.637,0.6867,3.325,2.2183,2.9199,0.5544,2.9484,3.2445,1.4732,4.1921,4.6725,2.3178,5.202,3.4818,3.3884,3.365,2.0622,4.9676,2.6894,5.3233,2.4123,4.0819,0,4.3063,2.5509,2.9263,2.3424,3.2735
