"","rownames(env_dist_df)","AC_LIS_CT_2023-10-3","Cal_Lake_LA_2022-8-11","CC_VA_2022-7-11","CPR_MS_AL_2022-8-24","CS_DB_NJ_2022-9-21","Culch_Ba_LA_2022-6-21","DC_NB_RI_2022-8-19","EC_ApBay_FL_2023-10-4","FFJ_CF_NC_2023-7-19","FP_Sav_GA_2022-6-10","GalBay_TX_2022-6-2","GriceCove_SC_2022-8-10","HC_DB_NJ_2022-9-23","IL_ApBay_FL_2023-10-3","LakeFortuna_LA_2022-5-11","LCP_UP_MD_2022-10-20","Mer_GA_2022-7-26","Nickle_Rf_LA_2022-8-1","OL_MI_SC_2022-5-31","Orrs_Cove_ME_2022-10-31","SaLa_GA_2022-10-5","SaltBay_Canada_2022-9-27","Sapelo_Is_GA_2022-7-17","SawIs_MA_2022-9-5","SkR_GA_2022-6-14","TP_TX_2022-6-28","UNCW_MS_NC_2023-7-17","W1_TX","W6_ME","W3_FL","W2_LA","W5_NH","W4_VA","S1_LOLA","S2_DEBY","Lewisetta","YorkRiver"
"AC_LIS_CT_2023-10-3","AC_LIS_CT_2023-10-3",0,3.6814,3.4574,3.854,3.0043,4.1616,3.5675,3.8157,3.02,3.3794,3.8414,3.7771,3.7418,3.7588,4.4352,2.9641,3.6346,4.8141,4.2128,4.0809,3.4346,3.8723,3.8638,2.858,3.7079,3.6529,3.6317,4.0423,5.092,4.703,4.3118,1.8736,3.4374,3.3902,2.7059,3.4806,2.715
"Cal_Lake_LA_2022-8-11","Cal_Lake_LA_2022-8-11",3.6814,0,3.131,1.0482,2.8899,1.7701,4.7282,0.9478,1.288,1.3969,1.8643,1.6349,3.3829,0.9825,2.5703,3.3767,1.3049,3.3224,3.1995,4.3109,0.7877,5.2118,1.6815,2.0972,1.6812,0.3626,2.08,1.7674,5.3179,2.5362,2.0901,2.733,5.0241,3.3657,3.8772,3.1958,3.7971
"CC_VA_2022-7-11","CC_VA_2022-7-11",3.4574,3.131,0,2.7561,2.3195,4.3352,2.2783,2.9766,1.9415,2.3496,4.2057,1.8543,4.6193,2.9498,4.6591,3.9533,2.2839,5.2999,1.9634,3.0673,3.4572,3.6152,1.9677,2.4503,1.6839,3.1783,1.5021,3.4645,4.1896,2.4598,4.4114,2.5859,5.0045,3.7128,3.6946,3.6689,3.689
"CPR_MS_AL_2022-8-24","CPR_MS_AL_2022-8-24",3.854,1.0482,2.7561,0,2.3963,2.0691,4.4318,1.2791,1.2587,0.8248,2.1486,1.4548,3.4997,1.2941,2.4722,3.571,1.242,3.4493,2.5056,3.6526,1.7487,4.6854,1.4237,2.0951,1.4617,0.9628,1.6358,1.3752,4.6206,2.0611,2.1201,2.818,5.152,3.1664,3.709,2.9851,3.6256
"CS_DB_NJ_2022-9-21","CS_DB_NJ_2022-9-21",3.0043,2.8899,2.3195,2.3963,0,3.1839,2.7395,3.1481,2.1884,2.1001,2.9585,2.5531,2.8904,3.1199,3.131,2.7103,2.7889,3.7601,2.7155,1.6688,3.2276,2.3695,2.7215,2.0263,2.5632,2.8876,2.3605,3.0726,2.7795,3.2381,3.0921,1.9058,4.9682,2.1131,3.183,2.1106,3.1376
"Culch_Ba_LA_2022-6-21","Culch_Ba_LA_2022-6-21",4.1616,1.7701,4.3352,2.0691,3.1839,0,5.6006,2.631,2.6791,2.4394,0.4537,3.1312,2.228,2.6551,1.0761,2.8469,2.9457,1.6473,4.3158,4.6133,1.8942,5.373,3.2681,3.1758,3.1883,1.794,3.5309,2.6762,5.445,3.9744,0.5661,3.4233,5.3271,2.7326,4.0599,2.535,3.9962
"DC_NB_RI_2022-8-19","DC_NB_RI_2022-8-19",3.5675,4.7282,2.2783,4.4318,2.7395,5.6006,0,4.6263,3.6167,3.9459,5.3778,3.6376,5.1332,4.5883,5.7883,4.4177,4.0491,6.2602,3.3939,2.5902,4.9303,2.5648,3.7893,3.1502,3.6248,4.7909,3.2863,4.9854,3.4503,4.086,5.656,2.8598,5.5476,4.3209,4.3143,4.3986,4.302
"EC_ApBay_FL_2023-10-4","EC_ApBay_FL_2023-10-4",3.8157,0.9478,2.9766,1.2791,3.1481,2.631,4.6263,0,1.2815,1.5244,2.7243,1.4376,4.1945,0.0932,3.331,4.0906,0.8717,4.2154,2.9335,4.3771,1.31,5.3599,1.2391,1.9027,1.4829,0.8947,1.6735,1.4599,5.3864,1.9972,2.8958,2.8012,5.2598,4.0447,4.1873,3.8981,4.0889
"FFJ_CF_NC_2023-7-19","FFJ_CF_NC_2023-7-19",3.02,1.288,1.9415,1.2587,2.1884,2.6791,3.6167,1.2815,0,1.1541,2.5944,1.0965,3.5937,1.2469,3.2115,3.2074,1.0007,3.9779,2.4863,3.5775,1.5722,4.3175,1.1328,1.5326,0.9654,1.2858,1.1598,1.9368,4.706,2.1818,2.8619,1.9538,4.7654,3.1244,3.4898,3.0137,3.4383
"FP_Sav_GA_2022-6-10","FP_Sav_GA_2022-6-10",3.3794,1.3969,2.3496,0.8248,2.1001,2.4394,3.9459,1.5244,1.1541,0,2.4548,1.24,3.5367,1.529,2.822,3.4871,1.074,3.6934,1.9499,3.3101,2.0043,4.3368,1.2873,1.8578,1.262,1.3997,1.3736,1.8032,4.3129,1.9356,2.5036,2.5709,4.4724,3.1109,3.018,2.9559,2.9228
