"","rownames(env_dist_df)","AC_LIS_CT_2023-10-3","Cal_Lake_LA_2022-8-11","CB_TX_2022-6-9","CC_VA_2022-7-11","CPR_MS_AL_2022-8-24","CS_DB_NJ_2022-9-21","Culch_Ba_LA_2022-6-21","DC_DR_ME_2022-10-25","DC_NB_RI_2022-8-19","DWS_CB_VA_2022-10-7","EC_ApBay_FL_2023-10-4","FFJ_CF_NC_2023-7-19","FP_Sav_GA_2022-6-10","GalBay_TX_2022-6-2","GriceCove_SC_2022-8-10","HC_DB_NJ_2022-9-23","IL_ApBay_FL_2023-10-3","KP_FGR_FL_2022-8-23","LakeFortuna_LA_2022-5-11","LCP_UP_MD_2022-10-20","Mer_GA_2022-7-26","Nickle_Rf_LA_2022-8-1","OL_MI_SC_2022-5-31","Orrs_Cove_ME_2022-10-31","SaLa_GA_2022-10-5","SaltBay_Canada_2022-9-27","Sapelo_Is_GA_2022-7-17","SawIs_MA_2022-9-5","Sister_Lk_LA_2022-8-9","SkR_GA_2022-6-14","SR_GB_NH_2022-8-12","TP_TX_2022-6-28","UNCW_MS_NC_2023-7-17","W1_TX","W6_ME","W4_VA","W3_FL","W2_LA","W5_NH","S1_LOLA","S2_DEBY","Lewisetta","YorkRiver"
"SaLa_GA_2022-10-5","SaLa_GA_2022-10-5",3.8974,1.7788,2.9091,3.5484,2.965,3.8804,2.7512,5.6567,4.9486,3.4895,1.626,2.8881,4.9495,3.0909,2.1386,3.8978,1.9024,3.4289,3.0451,3.7438,2.1526,3.6059,3.8871,5.035,0,5.6312,2.3683,2.3865,2.7969,2.6507,3.6401,2.3134,4.4049,2.9091,5.6567,3.4895,3.4289,2.7969,3.6401,2.8915,5.0744,2.7274,5.2861
"SaltBay_Canada_2022-9-27","SaltBay_Canada_2022-9-27",4.0351,4.899,4.9053,3.3836,4.4244,2.4486,5.2369,2.3645,2.0547,3.1874,5.1099,5.1683,5.7619,4.9251,5.0698,4.2979,4.9209,4.8097,4.9708,3.8293,4.8259,5.4254,4.4772,2.294,5.6312,0,4.6471,3.862,5.103,4.1225,4.0307,4.7959,5.2974,4.9053,2.3645,3.1874,4.8097,5.103,4.0307,3.6719,6.0764,3.8028,6.3062
"Sapelo_Is_GA_2022-7-17","Sapelo_Is_GA_2022-7-17",4.2136,1.8955,2.3411,1.964,2.1194,2.8229,3.3573,4.116,3.7542,3.2199,1.3374,2.2866,3.9294,3.6038,1.2499,4.3965,1.4584,1.3731,3.4954,4.2415,0.6943,4.3807,2.0552,3.5251,2.3683,4.6471,0,1.7523,3.2828,1.0677,3.3202,2.2253,3.0005,2.3411,4.116,3.2199,1.3731,3.2828,3.3202,3.337,5.0183,3.1753,5.1247
"SawIs_MA_2022-9-5","SawIs_MA_2022-9-5",3.3488,2.2001,2.5643,2.4077,2.5772,2.3111,3.2805,3.4727,3.1489,2.9707,1.8692,2.5873,4.2437,3.3946,2.0935,3.7923,1.9031,2.4816,3.3528,3.6436,1.777,4.1602,2.8521,2.9672,2.3865,3.862,1.7523,0,3.2389,2.0421,2.4845,2.4631,3.4571,2.5643,3.4727,2.9707,2.4816,3.2389,2.4845,2.8869,4.9363,2.8252,5.0518
"Sister_Lk_LA_2022-8-9","Sister_Lk_LA_2022-8-9",4.4472,1.5041,2.5137,4.23,1.8154,3.1416,0.218,5.1008,5.3451,2.3873,2.5532,4.0443,4.6302,0.4989,3.8325,2.2049,2.3243,3.717,0.357,2.8218,3.0429,1.4043,4.5212,4.5703,2.7969,5.103,3.2828,3.2389,0,2.7628,4.2097,1.3359,4.8319,2.5137,5.1008,2.3873,3.717,0,4.2097,2.8879,5.8547,2.7087,6.0418
"SkR_GA_2022-6-14","SkR_GA_2022-6-14",4.0901,1.6115,2.1313,1.8685,1.4289,2.3695,2.8817,3.8608,3.5522,2.5275,1.5791,2.9441,4.2071,3.0357,1.8507,3.8489,1.482,1.4545,2.9301,3.7248,1.3668,3.8197,2.1209,3.3128,2.6507,4.1225,1.0677,2.0421,2.7628,0,3.6253,1.7863,3.5433,2.1313,3.8608,2.5275,1.4545,2.7628,3.6253,2.8918,5.1355,2.7203,5.3505
"SR_GB_NH_2022-8-12","SR_GB_NH_2022-8-12",3.5114,3.6843,4.0058,3.198,3.9711,2.5596,4.2546,3.8654,3.7131,3.2174,3.6634,2.013,3.2319,4.198,3.7638,3.8477,3.6511,4.3359,4.221,3.4397,3.111,4.7255,4.3193,3.0189,3.6401,4.0307,3.3202,2.4845,4.2097,3.6253,0,3.8151,2.6641,4.0058,3.8654,3.2174,4.3359,4.2097,0,3.1915,4.9618,3.2305,4.751
"TP_TX_2022-6-28","TP_TX_2022-6-28",4.1801,0.6632,1.3028,3.4062,0.8756,2.8028,1.4573,4.6657,4.7769,2.5251,1.4294,3.3969,4.2824,1.6654,2.9706,3.1076,1.1013,2.6195,1.507,3.3728,2.0404,2.6939,3.5685,4.1012,2.3134,4.7959,2.2253,2.4631,1.3359,1.7863,3.8151,0,4.1354,1.3028,4.6657,2.5251,2.6195,1.3359,3.8151,3.0015,5.5871,2.8186,5.7712
"UNCW_MS_NC_2023-7-17","UNCW_MS_NC_2023-7-17",5.2581,4.0335,4.1143,3.3433,3.9912,3.4013,4.9075,4.2952,4.6986,4.2606,3.813,1.7814,1.8003,5.0127,3.7926,5.2516,3.8093,3.6767,4.9416,5.0862,2.841,5.6495,3.8853,3.4671,4.4049,5.2974,3.0005,3.4571,4.8319,3.5433,2.6641,4.1354,0,4.1143,4.2952,4.2606,3.6767,4.8319,2.6641,4.7018,5.5555,4.6158,5.1646
"W1_TX","W1_TX",4.4354,1.7107,0,3.5599,1.3979,3.1497,2.6363,4.6691,4.8874,3.3568,1.5855,3.6321,4.4409,2.7561,3.267,4.1232,1.214,2.4319,2.5992,4.3052,2.2319,3.8803,3.5231,4.1533,2.9091,4.9053,2.3411,2.5643,2.5137,2.1313,4.0058,1.3028,4.1143,0,4.6691,3.3568,2.4319,2.5137,4.0058,3.876,5.9603,3.7377,6.1131
"W6_ME","W6_ME",4.894,4.7221,4.6691,3.4422,4.1551,2.3153,5.2123,0,2.5692,3.7925,4.7966,4.7037,4.7623,5.0571,4.7371,4.7619,4.6212,3.9573,5.0479,4.7119,4.2969,5.6484,3.928,0.9953,5.6567,2.3645,4.116,3.4727,5.1008,3.8608,3.8654,4.6657,4.2952,4.6691,0,3.7925,3.9573,5.1008,3.8654,4.5261,6.1997,4.5566,6.2041
"W4_VA","W4_VA",3.5193,2.5742,3.3568,2.8955,2.4442,1.6396,2.5153,3.7925,3.6048,0,3.3022,3.602,4.3202,2.2283,3.7147,1.8142,3.1076,3.8386,2.294,1.4623,3.1604,2.5804,3.9693,3.1354,3.4895,3.1874,3.2199,2.9707,2.3873,2.5275,3.2174,2.5251,4.2606,3.3568,3.7925,0,3.8386,2.3873,3.2174,1.4782,5.1873,1.4328,5.3923
"W3_FL","W3_FL",4.9891,2.4933,2.4319,2.5702,2.1632,3.2197,3.8143,3.9573,4.03,3.8386,2.0091,3.4948,4.501,4.0488,2.1611,5.0277,1.9717,0,3.9082,5.0527,1.7876,4.9002,1.9242,3.6229,3.4289,4.8097,1.3731,2.4816,3.717,1.4545,4.3359,2.6195,3.6767,2.4319,3.9573,3.8386,0,3.717,4.3359,4.2513,5.7184,4.0914,5.8651
"W2_LA","W2_LA",4.4472,1.5041,2.5137,4.23,1.8154,3.1416,0.218,5.1008,5.3451,2.3873,2.5532,4.0443,4.6302,0.4989,3.8325,2.2049,2.3243,3.717,0.357,2.8218,3.0429,1.4043,4.5212,4.5703,2.7969,5.103,3.2828,3.2389,0,2.7628,4.2097,1.3359,4.8319,2.5137,5.1008,2.3873,3.717,0,4.2097,2.8879,5.8547,2.7087,6.0418
"W5_NH","W5_NH",3.5114,3.6843,4.0058,3.198,3.9711,2.5596,4.2546,3.8654,3.7131,3.2174,3.6634,2.013,3.2319,4.198,3.7638,3.8477,3.6511,4.3359,4.221,3.4397,3.111,4.7255,4.3193,3.0189,3.6401,4.0307,3.3202,2.4845,4.2097,3.6253,0,3.8151,2.6641,4.0058,3.8654,3.2174,4.3359,4.2097,0,3.1915,4.9618,3.2305,4.751
"S1_LOLA","S1_LOLA",3.0289,2.7848,3.876,2.9443,3.2155,2.5653,2.9358,4.5261,3.5721,1.4782,3.3327,3.5325,5.0153,2.7929,3.347,2.237,3.2971,4.2513,2.8868,1.3641,3.2861,2.9281,4.1577,3.8918,2.8915,3.6719,3.337,2.8869,2.8879,2.8918,3.1915,3.0015,4.7018,3.876,4.5261,1.4782,4.2513,2.8879,3.1915,0,4.8308,0.2604,5.1385
"S2_DEBY","S2_DEBY",3.1223,5.3319,5.9603,4.8377,5.6894,5.2271,5.8742,6.1997,5.4113,5.1873,5.3145,4.8244,5.4479,5.9312,4.8941,5.7929,5.4017,5.7184,5.9431,5.3651,4.6118,6.1604,4.2711,5.7017,5.0744,6.0764,5.0183,4.9363,5.8547,5.1355,4.9618,5.5871,5.5555,5.9603,6.1997,5.1873,5.7184,5.8547,4.9618,4.8308,0,4.8147,0.9494
"Lewisetta","Lewisetta",3.1233,2.5809,3.7377,2.8905,3.041,2.558,2.7556,4.5566,3.6581,1.4328,3.1561,3.437,4.9221,2.6455,3.1933,2.2214,3.1244,4.0914,2.7298,1.4522,3.1188,2.7923,4.0455,3.916,2.7274,3.8028,3.1753,2.8252,2.7087,2.7203,3.2305,2.8186,4.6158,3.7377,4.5566,1.4328,4.0914,2.7087,3.2305,0.2604,4.8147,0,5.1186
"YorkRiver","YorkRiver",3.5415,5.5243,6.1131,5.0246,5.8705,5.2897,6.0577,6.2041,5.6515,5.3923,5.4895,4.5988,4.9425,6.124,5.1063,5.9509,5.5751,5.8651,6.1316,5.5753,4.6692,6.3627,4.51,5.659,5.2861,6.3062,5.1247,5.0518,6.0418,5.3505,4.751,5.7712,5.1646,6.1131,6.2041,5.3923,5.8651,6.0418,4.751,5.1385,0.9494,5.1186,0
