"","site_name","merge_ID_inds","Label_ind","Key_ind","SiteDate_Key","lat.x","lon.x","Mean_Annual_Salinity_ppt","Mean_max_Salinity_ppt","Mean_min_Salinity_ppt","salinity_quantile_10","salinity_quantile_90","lat.y","lon.y","Mean_Annual_Temperature_C","Mean_max_temperature_C","Mean_min_temperature_C","temp_quantile_10","temp_quantile_90","sal_quant10_scaled","sal_quant90_scaled","temp_quant10_scaled","temp_quant90_scaled","LEW_salinity_quantile_10","LEW_salinity_quantile_90","LEW_temp_quantile_10","LEW_temp_quantile_90","LEW_sal_quant10_scaled","LEW_sal_quant90_scaled","LEW_temp_quant10_scaled","LEW_temp_quant90_scaled","YRK_salinity_quantile_10","YRK_salinity_quantile_90","YRK_temp_quantile_10","YRK_temp_quantile_90","YRK_sal_quant10_scaled","YRK_sal_quant90_scaled","YRK_temp_quant10_scaled","YRK_temp_quant90_scaled"
"1.10","S1-LOLA","D12_CviMVP_PlDNA_6_D865_4104CC2A","D865","4104CC2A","0216C585",37.9803,-76.4619,13.11045406,17.8,9.7,8.7,16.6,37.9803,-76.4619,18.4378262,31.35,3.4065,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.11","S1-LOLA","B12_CviMVP_PlDNA_7_D867_41A34BEE","D867","41A34BEE","0216C585",37.9803,-76.4619,13.11045406,17.8,9.7,8.7,16.6,37.9803,-76.4619,18.4378262,31.35,3.4065,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.12","S1-LOLA","E4_CviMVP_PlDNA_6_D868_4CB28175","D868","4CB28175","0216C585",37.9803,-76.4619,13.11045406,17.8,9.7,8.7,16.6,37.9803,-76.4619,18.4378262,31.35,3.4065,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.13","S1-LOLA","H12_CviMVP_PlDNA_7_D870_23315E9D","D870","23315E9D","0216C585",37.9803,-76.4619,13.11045406,17.8,9.7,8.7,16.6,37.9803,-76.4619,18.4378262,31.35,3.4065,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.14","S1-LOLA","A8_CviMVP_PlDNA_7_D843_15D4BAD1","D843","15D4BAD1","0216C585",37.9803,-76.4619,13.11045406,17.8,9.7,8.7,16.6,37.9803,-76.4619,18.4378262,31.35,3.4065,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.15","S1-LOLA","G8_CviMVP_PlDNA_7_D845_9E618C95","D845","9E618C95","0216C585",37.9803,-76.4619,13.11045406,17.8,9.7,8.7,16.6,37.9803,-76.4619,18.4378262,31.35,3.4065,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.16","S1-LOLA","D6_CviMVP_PlDNA_7_D851_1D4ECC27","D851","1D4ECC27","0216C585",37.9803,-76.4619,13.11045406,17.8,9.7,8.7,16.6,37.9803,-76.4619,18.4378262,31.35,3.4065,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.17","S1-LOLA","D4_CviMVP_PlDNA_6_D853_2FE9A127","D853","2FE9A127","0216C585",37.9803,-76.4619,13.11045406,17.8,9.7,8.7,16.6,37.9803,-76.4619,18.4378262,31.35,3.4065,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.18","S2-DEBY","D10_CviMVP_PlDNA_7_D779_71CC5071","D779","71CC5071","D2D83B3C",37.247284,-76.499369,19.33913072,24.18909091,12.90636364,15.81,22.39,37.247284,-76.499369,17.12424242,30.14377273,3.546090909,6.53,27.49,0.428711601072038,-0.129758609295936,-0.858110722615889,-0.0719587231892383,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.19","S2-DEBY","E11_CviMVP_PlDNA_7_D781_029ECEB7","D781","029ECEB7","D2D83B3C",37.247284,-76.499369,19.33913072,24.18909091,12.90636364,15.81,22.39,37.247284,-76.499369,17.12424242,30.14377273,3.546090909,6.53,27.49,0.428711601072038,-0.129758609295936,-0.858110722615889,-0.0719587231892383,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
"1.20","S2-DEBY","G9_CviMVP_PlDNA_6_D783_1A4FAF00","D783","1A4FAF00","D2D83B3C",37.247284,-76.499369,19.33913072,24.18909091,12.90636364,15.81,22.39,37.247284,-76.499369,17.12424242,30.14377273,3.546090909,6.53,27.49,0.428711601072038,-0.129758609295936,-0.858110722615889,-0.0719587231892383,8.7,16.6,7.2,28.2,-0.325417438736484,-0.736829886945305,-0.648556055699194,0.175813796036559,15.43,22.93,7.984,27.393,0.388406532840359,-0.0731405626757879,-0.403345818590702,-0.10580933497079
