"","rownames(env_dist_df)","AC_LIS_CT_2023-10-3","Cal_Lake_LA_2022-8-11","CC_VA_2022-7-11","CPR_MS_AL_2022-8-24","CS_DB_NJ_2022-9-21","Culch_Ba_LA_2022-6-21","DC_NB_RI_2022-8-19","EC_ApBay_FL_2023-10-4","FFJ_CF_NC_2023-7-19","FP_Sav_GA_2022-6-10","GalBay_TX_2022-6-2","GriceCove_SC_2022-8-10","HC_DB_NJ_2022-9-23","IL_ApBay_FL_2023-10-3","LakeFortuna_LA_2022-5-11","LCP_UP_MD_2022-10-20","Mer_GA_2022-7-26","Nickle_Rf_LA_2022-8-1","OL_MI_SC_2022-5-31","Orrs_Cove_ME_2022-10-31","SaLa_GA_2022-10-5","SaltBay_Canada_2022-9-27","Sapelo_Is_GA_2022-7-17","SawIs_MA_2022-9-5","SkR_GA_2022-6-14","TP_TX_2022-6-28","UNCW_MS_NC_2023-7-17","W1_TX","W6_ME","W3_FL","W2_LA","W5_NH","W4_VA","S1_LOLA","S2_DEBY","Lewisetta","YorkRiver"
"AC_LIS_CT_2023-10-3","AC_LIS_CT_2023-10-3",0,3.6927,3.4613,3.864,3.0076,4.1714,3.5715,3.8285,3.026,3.3891,3.8488,3.787,3.742,3.7712,4.4424,2.9626,3.6456,4.8181,4.2218,4.0849,3.4445,3.8751,3.8739,2.868,3.7158,3.6638,3.6393,4.0529,5.0965,4.7167,4.3205,1.8758,3.4381,3.5062,2.7079,3.4804,2.7177
"Cal_Lake_LA_2022-8-11","Cal_Lake_LA_2022-8-11",3.6927,0,3.1415,1.0487,2.8962,1.7698,4.7402,0.9473,1.2926,1.3985,1.8646,1.6373,3.3859,0.9817,2.5703,3.3875,1.3055,3.3215,3.2032,4.3158,0.789,5.2252,1.6829,2.0973,1.6845,0.3627,2.0823,1.7659,5.3214,2.5383,2.0899,2.7399,5.0295,3.2157,3.8838,3.205,3.8024
"CC_VA_2022-7-11","CC_VA_2022-7-11",3.4613,3.1415,0,2.7656,2.3204,4.3436,2.2795,2.9896,1.9473,2.3576,4.2122,1.8641,4.6203,2.9624,4.6655,3.9544,2.2948,5.3032,1.9694,3.0673,3.4665,3.6178,1.9785,2.4584,1.6915,3.1888,1.5101,3.4757,4.1899,2.4747,4.4189,2.5893,5.0047,3.6529,3.6948,3.6692,3.6893
"CPR_MS_AL_2022-8-24","CPR_MS_AL_2022-8-24",3.864,1.0487,2.7656,0,2.402,2.0692,4.4426,1.2799,1.262,0.8256,2.1488,1.4559,3.5017,1.2947,2.4723,3.5797,1.242,3.448,2.5086,3.6568,1.7498,4.6987,1.4242,2.0951,1.4635,0.9637,1.6373,1.3755,4.6234,2.0632,2.1201,2.824,5.1562,2.9976,3.7144,2.9931,3.6298
"CS_DB_NJ_2022-9-21","CS_DB_NJ_2022-9-21",3.0076,2.8962,2.3204,2.402,0,3.1904,2.7434,3.1551,2.1897,2.1044,2.9632,2.557,2.8901,3.1265,3.1359,2.7118,2.7936,3.7619,2.7184,1.6693,3.2328,2.3767,2.7255,2.0307,2.5653,2.8938,2.3623,3.079,2.7803,3.2459,3.098,1.9071,4.9683,2.1035,3.183,2.111,3.1375
"Culch_Ba_LA_2022-6-21","Culch_Ba_LA_2022-6-21",4.1714,1.7698,4.3436,2.0692,3.1904,0,5.6116,2.63,2.6813,2.4405,0.4561,3.133,2.2345,2.6538,1.0766,2.8612,2.9458,1.6475,4.319,4.6186,1.8939,5.3868,3.2689,3.1755,3.1906,1.7932,3.5323,2.6733,5.4491,3.9758,0.5662,3.4285,5.3329,2.567,4.0671,2.5482,4.0021
"DC_NB_RI_2022-8-19","DC_NB_RI_2022-8-19",3.5715,4.7402,2.2795,4.4426,2.7434,5.6116,0,4.6402,3.6238,3.9555,5.3868,3.6478,5.1361,4.6018,5.7972,4.4189,4.0606,6.2663,3.4019,2.5937,4.9413,2.5658,3.8002,3.1629,3.6328,4.8027,3.2948,4.9981,3.4539,4.1013,5.666,2.8658,5.5485,4.3827,4.3155,4.3996,4.3039
"EC_ApBay_FL_2023-10-4","EC_ApBay_FL_2023-10-4",3.8285,0.9473,2.9896,1.2799,3.1551,2.63,4.6402,0,1.2884,1.5266,2.7241,1.4411,4.197,0.0933,3.3307,4.1003,0.8738,4.214,2.9384,4.383,1.3108,5.3747,1.2421,1.904,1.4878,0.8949,1.6782,1.4597,5.3906,2.0001,2.895,2.8099,5.2656,3.9185,4.1943,3.9065,4.0947
"FFJ_CF_NC_2023-7-19","FFJ_CF_NC_2023-7-19",3.026,1.2926,1.9473,1.262,2.1897,2.6813,3.6238,1.2884,0,1.1559,2.5952,1.0998,3.5928,1.2534,3.2126,3.2107,1.0049,3.9768,2.4889,3.5789,1.5755,4.3255,1.1363,1.5333,0.9673,1.2905,1.1609,1.9406,4.707,2.1883,2.8635,1.9562,4.7666,3.0227,3.4914,3.0159,3.4392
"FP_Sav_GA_2022-6-10","FP_Sav_GA_2022-6-10",3.3891,1.3985,2.3576,0.8256,2.1044,2.4405,3.9555,1.5266,1.1559,0,2.4556,1.2404,3.538,1.5309,2.8228,3.4943,1.0743,3.6926,1.952,3.3131,2.0061,4.3486,1.2874,1.8577,1.2626,1.4017,1.3738,1.8048,4.3146,1.9381,2.5045,2.576,4.476,2.9603,3.0227,2.9621,2.9264
"GalBay_TX_2022-6-2","GalBay_TX_2022-6-2",3.8488,1.8646,4.2122,2.1488,2.9632,0.4561,5.3868,2.7241,2.5952,2.4556,0,3.1689,1.8712,2.7349,1.046,2.4473,3.0038,1.5496,4.3326,4.4448,1.8963,5.0875,3.3174,3.0699,3.2026,1.8691,3.5151,2.7358,5.3045,4.0925,0.6863,3.1429,5.1895,2.2234,3.8912,2.1982,3.8406
"GriceCove_SC_2022-8-10","GriceCove_SC_2022-8-10",3.787,1.6373,1.8641,1.4559,2.557,3.133,3.6478,1.4411,1.0998,1.2404,3.1689,0,4.1974,1.4604,3.7153,3.9344,0.7221,4.4424,1.9449,3.632,2.1714,4.6817,0.4651,1.8164,0.3563,1.7747,0.8381,2.3741,4.6706,1.3367,3.3218,2.7079,5.0181,3.6276,3.7933,3.6379,3.7136
"HC_DB_NJ_2022-9-23","HC_DB_NJ_2022-9-23",3.742,3.3859,4.6203,3.5017,2.8901,2.2345,5.1361,4.197,3.5928,3.538,1.8712,4.1974,0,4.1929,2.0409,1.3764,4.2451,1.5684,5.0572,4.1884,3.3532,4.3472,4.4521,3.7637,4.2225,3.4367,4.4558,4.1981,4.9201,5.2328,2.1715,3.2898,5.2423,1.4644,3.8688,1.4442,3.8719
"IL_ApBay_FL_2023-10-3","IL_ApBay_FL_2023-10-3",3.7712,0.9817,2.9624,1.2947,3.1265,2.6538,4.6018,0.0933,1.2534,1.5309,2.7349,1.4604,4.1929,0,3.3411,4.0812,0.8863,4.2333,2.9379,4.3559,1.3124,5.3305,1.25,1.8618,1.4955,0.9067,1.6566,1.4207,5.3695,2.0223,2.9136,2.7499,5.2555,3.906,4.18,3.893,4.0815
"LakeFortuna_LA_2022-5-11","LakeFortuna_LA_2022-5-11",4.4424,2.5703,4.6655,2.4723,3.1359,1.0766,5.7972,3.3307,3.2126,2.8228,1.046,3.7153,2.0409,3.3411,0,2.9401,3.5643,1.3152,4.5349,4.4043,2.7783,5.092,3.8249,3.6339,3.7443,2.5039,3.9551,2.9353,5.1108,4.4312,0.5533,3.7487,5.6252,2.2566,4.1438,2.2322,4.0906
"LCP_UP_MD_2022-10-20","LCP_UP_MD_2022-10-20",2.9626,3.3875,3.9544,3.5797,2.7118,2.8612,4.4189,4.1003,3.2107,3.4943,2.4473,3.9344,1.3764,4.0812,2.9401,0,4.0388,2.6807,4.8552,4.1516,3.2244,3.9783,4.2068,3.5454,3.885,3.4482,4.1339,4.3083,5.0769,5.1301,2.9258,2.6902,4.8138,1.4544,3.5821,1.4356,3.6396
"Mer_GA_2022-7-26","Mer_GA_2022-7-26",3.6456,1.3055,2.2948,1.242,2.7936,2.9458,4.0606,0.8738,1.0049,1.0743,3.0038,0.7221,4.2451,0.8863,3.5643,4.0388,0,4.3932,2.157,3.9359,1.8067,4.9617,0.545,1.7813,0.7658,1.3604,1.022,1.8731,4.9699,1.4633,3.1548,2.7111,4.8523,3.7639,3.7161,3.7634,3.622
"Nickle_Rf_LA_2022-8-1","Nickle_Rf_LA_2022-8-1",4.8181,3.3215,5.3032,3.448,3.7619,1.6475,6.2663,4.214,3.9768,3.6926,1.5496,4.4424,1.5684,4.2333,1.3152,2.6807,4.3932,0,5.371,5.0495,3.3882,5.5407,4.6558,4.3955,4.4824,3.3617,4.8184,4.1214,5.7104,5.3355,1.4722,4.3126,5.7497,2.323,4.4536,2.3103,4.4333
"OL_MI_SC_2022-5-31","OL_MI_SC_2022-5-31",4.2218,3.2032,1.9694,2.5086,2.7184,4.319,3.4019,2.9384,2.4889,1.952,4.3326,1.9449,5.0572,2.9379,4.5349,4.8552,2.157,5.371,0,3.0298,3.7991,4.2245,1.9143,2.7689,1.9443,3.225,1.6173,3.1397,3.8782,1.6639,4.3032,3.5424,4.8589,4.1797,3.4509,4.199,3.3588
"Orrs_Cove_ME_2022-10-31","Orrs_Cove_ME_2022-10-31",4.0849,4.3158,3.0673,3.6568,1.6693,4.6186,2.5937,4.383,3.5789,3.3131,4.4448,3.632,4.1884,4.3559,4.4043,4.1516,3.9359,5.0495,3.0298,0,4.7426,1.7562,3.7396,3.022,3.6895,4.3064,3.2684,4.145,1.2021,3.8222,4.4511,3.1134,5.8271,3.443,4.0214,3.4593,3.952
"SaLa_GA_2022-10-5","SaLa_GA_2022-10-5",3.4445,0.789,3.4665,1.7498,3.2328,1.8939,4.9413,1.3108,1.5755,2.0061,1.8963,2.1714,3.3532,1.3124,2.7783,3.2244,1.8067,3.3882,3.7991,4.7426,0,5.4607,2.2107,2.2796,2.1769,0.8414,2.5603,2.1223,5.7849,3.1588,2.3108,2.6323,4.9919,3.3582,4.0392,3.3375,3.9743
"SaltBay_Canada_2022-9-27","SaltBay_Canada_2022-9-27",3.8751,5.2252,3.6178,4.6987,2.3767,5.3868,2.5658,5.3747,4.3255,4.3486,5.0875,4.6817,4.3472,5.3305,5.092,3.9783,4.9617,5.5407,4.2245,1.7562,5.4607,0,4.8092,3.9259,4.6465,5.1908,4.2792,5.1157,2.2631,5.1503,5.2152,3.32,5.9606,3.5199,4.278,3.5277,4.288
"Sapelo_Is_GA_2022-7-17","Sapelo_Is_GA_2022-7-17",3.8739,1.6829,1.9785,1.4242,2.7255,3.2689,3.8002,1.2421,1.1363,1.2874,3.3174,0.4651,4.4521,1.25,3.8249,4.2068,0.545,4.6558,1.9143,3.7396,2.2107,4.8092,0,1.8275,0.5122,1.7418,0.6489,2.0954,4.7683,1.1033,3.4399,2.7898,5.1677,3.8671,3.9565,3.8719,3.8696
"SawIs_MA_2022-9-5","SawIs_MA_2022-9-5",2.868,2.0973,2.4584,2.0951,2.0307,3.1755,3.1629,1.904,1.5333,1.8577,3.0699,1.8164,3.7637,1.8618,3.6339,3.5454,1.7813,4.3955,2.7689,3.022,2.2796,3.9259,1.8275,0,1.9496,2.1163,1.6895,2.3577,4.0371,2.4321,3.3604,1.4422,5.0425,3.5143,3.7696,3.5045,3.6563
"SkR_GA_2022-6-14","SkR_GA_2022-6-14",3.7158,1.6845,1.6915,1.4635,2.5653,3.1906,3.6328,1.4878,0.9673,1.2626,3.2026,0.3563,4.2225,1.4955,3.7443,3.885,0.7658,4.4824,1.9443,3.6895,2.1769,4.6465,0.5122,1.9496,0,1.7821,0.7621,2.3484,4.7627,1.4752,3.3622,2.69,4.9762,3.5651,3.7493,3.5739,3.6873
"TP_TX_2022-6-28","TP_TX_2022-6-28",3.6638,0.3627,3.1888,0.9637,2.8938,1.7932,4.8027,0.8949,1.2905,1.4017,1.8691,1.7747,3.4367,0.9067,2.5039,3.4482,1.3604,3.3617,3.225,4.3064,0.8414,5.1908,1.7418,2.1163,1.7821,0,2.0847,1.4523,5.3125,2.5827,2.0573,2.718,5.0946,3.2228,3.913,3.2066,3.8328
"UNCW_MS_NC_2023-7-17","UNCW_MS_NC_2023-7-17",3.6393,2.0823,1.5101,1.6373,2.3623,3.5323,3.2948,1.6782,1.1609,1.3738,3.5151,0.8381,4.4558,1.6566,3.9551,4.1339,1.022,4.8184,1.6173,3.2684,2.5603,4.2792,0.6489,1.6895,0.7621,2.0847,0,2.1915,4.3296,1.2625,3.6387,2.5205,5.1405,3.7384,3.8137,3.7429,3.7364
"W1_TX","W1_TX",4.0529,1.7659,3.4757,1.3755,3.079,2.6733,4.9981,1.4597,1.9406,1.8048,2.7358,2.3741,4.1981,1.4207,2.9353,4.3083,1.8731,4.1214,3.1397,4.145,2.1223,5.1157,2.0954,2.3577,2.3484,1.4523,2.1915,0,5.0467,2.5369,2.6855,3.0664,5.6599,3.8086,4.326,3.7841,4.2241
"W6_ME","W6_ME",5.0965,5.3214,4.1899,4.6234,2.7803,5.4491,3.4539,5.3906,4.707,4.3146,5.3045,4.6706,4.9201,5.3695,5.1108,5.0769,4.9699,5.7104,3.8782,1.2021,5.7849,2.2631,4.7683,4.0371,4.7627,5.3125,4.3296,5.0467,0,4.6755,5.2267,4.2076,6.6227,4.2979,4.8307,4.3168,4.7478
"W3_FL","W3_FL",4.7167,2.5383,2.4747,2.0632,3.2459,3.9758,4.1013,2.0001,2.1883,1.9381,4.0925,1.3367,5.2328,2.0223,4.4312,5.1301,1.4633,5.3355,1.6639,3.8222,3.1588,5.1503,1.1033,2.4321,1.4752,2.5827,1.2625,2.5369,4.6755,0,4.0802,3.6109,5.7472,4.6215,4.511,4.6324,4.396
