"","site_name","merge_ID_inds","Label_ind","Key_ind","SiteDate_Key","Latitude_manual","Longitude_manual","salinity_quantile_10","salinity_quantile_90","temp_quantile_10","temp_quantile_90","Dermo_Prevalence","Pea_Crab","salinity_quantile_10_scaled","salinity_quantile_90_scaled","temp_quantile_10_scaled","temp_quantile_90_scaled","Dermo_Prevalence_scaled","Pea_Crab_scaled","Latitude_manual.1","Longitude_manual.1","lew_salinity_quantile_10","lew_salinity_quantile_90","lew_temp_quantile_10","lew_temp_quantile_90","lew_Dermo_Prevalence","lew_Pea_Crab","lew_salinity_quantile_10_scaled","lew_salinity_quantile_90_scaled","lew_temp_quantile_10_scaled","lew_temp_quantile_90_scaled","lew_Dermo_Prevalence_scaled","lew_Pea_Crab_scaled","Latitude_manual.2","Longitude_manual.2","yrk_salinity_quantile_10","yrk_salinity_quantile_90","yrk_temp_quantile_10","yrk_temp_quantile_90","yrk_Dermo_Prevalence","yrk_Pea_Crab","yrk_salinity_quantile_10_scaled","yrk_salinity_quantile_90_scaled","yrk_temp_quantile_10_scaled","yrk_temp_quantile_90_scaled","yrk_Dermo_Prevalence_scaled","yrk_Pea_Crab_scaled"
"1","S1_LOLA","B9_CviMVP_PlDNA_7_D823_DE6A9D1A","D823","DE6A9D1A","0216C585",37.9803,-76.4619,9.6,16.2,5.69,28.3,0.3516666666,0,-0.399913007965445,-1.28404072816281,-1.19137032188195,0.131576000083538,-1.31006279237577,-0.37452768631261,37.9803,-76.4619,9.01,16.4,5.69,28.3,0.3516666666,0,-0.461455144864813,-1.25759412177299,-1.19137032188195,0.131576000083538,-1.31006279237577,-0.37452768631261,37.9803,-76.4619,15.76,22.8,7.253,27.149,0.6529333333,0.487704918032787,0.242628624746602,-0.411302717298765,-0.748103164674722,-0.225844469055217,-0.239978097010924,2.60445957802442
"2","S1_LOLA","E12_CviMVP_PlDNA_6_D829_F5766A54","D829","F5766A54","0216C585",37.9803,-76.4619,9.6,16.2,5.69,28.3,0.3516666666,0,-0.399913007965445,-1.28404072816281,-1.19137032188195,0.131576000083538,-1.31006279237577,-0.37452768631261,37.9803,-76.4619,9.01,16.4,5.69,28.3,0.3516666666,0,-0.461455144864813,-1.25759412177299,-1.19137032188195,0.131576000083538,-1.31006279237577,-0.37452768631261,37.9803,-76.4619,15.76,22.8,7.253,27.149,0.6529333333,0.487704918032787,0.242628624746602,-0.411302717298765,-0.748103164674722,-0.225844469055217,-0.239978097010924,2.60445957802442
"3","S1_LOLA","B4_CviMVP_PlDNA_7_D833_1EB423F8","D833","1EB423F8","0216C585",37.9803,-76.4619,9.6,16.2,5.69,28.3,0.3516666666,0,-0.399913007965445,-1.28404072816281,-1.19137032188195,0.131576000083538,-1.31006279237577,-0.37452768631261,37.9803,-76.4619,9.01,16.4,5.69,28.3,0.3516666666,0,-0.461455144864813,-1.25759412177299,-1.19137032188195,0.131576000083538,-1.31006279237577,-0.37452768631261,37.9803,-76.4619,15.76,22.8,7.253,27.149,0.6529333333,0.487704918032787,0.242628624746602,-0.411302717298765,-0.748103164674722,-0.225844469055217,-0.239978097010924,2.60445957802442
"4","S1_LOLA","H4_CviMVP_PlDNA_6_D839_4971362E","D839","4971362E","0216C585",37.9803,-76.4619,9.6,16.2,5.69,28.3,0.3516666666,0,-0.399913007965445,-1.28404072816281,-1.19137032188195,0.131576000083538,-1.31006279237577,-0.37452768631261,37.9803,-76.4619,9.01,16.4,5.69,28.3,0.3516666666,0,-0.461455144864813,-1.25759412177299,-1.19137032188195,0.131576000083538,-1.31006279237577,-0.37452768631261,37.9803,-76.4619,15.76,22.8,7.253,27.149,0.6529333333,0.487704918032787,0.242628624746602,-0.411302717298765,-0.748103164674722,-0.225844469055217,-0.239978097010924,2.60445957802442
"5","S1_LOLA","F1_CviMVP_PlDNA_7_D841_614C49B4","D841","614C49B4","0216C585",37.9803,-76.4619,9.6,16.2,5.69,28.3,0.3516666666,0,-0.399913007965445,-1.28404072816281,-1.19137032188195,0.131576000083538,-1.31006279237577,-0.37452768631261,37.9803,-76.4619,9.01,16.4,5.69,28.3,0.3516666666,0,-0.461455144864813,-1.25759412177299,-1.19137032188195,0.131576000083538,-1.31006279237577,-0.37452768631261,37.9803,-76.4619,15.76,22.8,7.253,27.149,0.6529333333,0.487704918032787,0.242628624746602,-0.411302717298765,-0.748103164674722,-0.225844469055217,-0.239978097010924,2.60445957802442
"6","S1_LOLA","C5_CviMVP_PlDNA_6_D855_3C1385A6","D855","3C1385A6","0216C585",37.9803,-76.4619,9.6,16.2,5.69,28.3,0.3516666666,0,-0.399913007965445,-1.28404072816281,-1.19137032188195,0.131576000083538,-1.31006279237577,-0.37452768631261,37.9803,-76.4619,9.01,16.4,5.69,28.3,0.3516666666,0,-0.461455144864813,-1.25759412177299,-1.19137032188195,0.131576000083538,-1.31006279237577,-0.37452768631261,37.9803,-76.4619,15.76,22.8,7.253,27.149,0.6529333333,0.487704918032787,0.242628624746602,-0.411302717298765,-0.748103164674722,-0.225844469055217,-0.239978097010924,2.60445957802442
"7","S1_LOLA","F11_CviMVP_PlDNA_6_D857_37BD5AEE","D857","37BD5AEE","0216C585",37.9803,-76.4619,9.6,16.2,5.69,28.3,0.3516666666,0,-0.399913007965445,-1.28404072816281,-1.19137032188195,0.131576000083538,-1.31006279237577,-0.37452768631261,37.9803,-76.4619,9.01,16.4,5.69,28.3,0.3516666666,0,-0.461455144864813,-1.25759412177299,-1.19137032188195,0.131576000083538,-1.31006279237577,-0.37452768631261,37.9803,-76.4619,15.76,22.8,7.253,27.149,0.6529333333,0.487704918032787,0.242628624746602,-0.411302717298765,-0.748103164674722,-0.225844469055217,-0.239978097010924,2.60445957802442
"8","S1_LOLA","F4_CviMVP_PlDNA_6_D858_89B0D25E","D858","89B0D25E","0216C585",37.9803,-76.4619,9.6,16.2,5.69,28.3,0.3516666666,0,-0.399913007965445,-1.28404072816281,-1.19137032188195,0.131576000083538,-1.31006279237577,-0.37452768631261,37.9803,-76.4619,9.01,16.4,5.69,28.3,0.3516666666,0,-0.461455144864813,-1.25759412177299,-1.19137032188195,0.131576000083538,-1.31006279237577,-0.37452768631261,37.9803,-76.4619,15.76,22.8,7.253,27.149,0.6529333333,0.487704918032787,0.242628624746602,-0.411302717298765,-0.748103164674722,-0.225844469055217,-0.239978097010924,2.60445957802442
"9","S1_LOLA","G3_CviMVP_PlDNA_7_D859_B4C27F12","D859","B4C27F12","0216C585",37.9803,-76.4619,9.6,16.2,5.69,28.3,0.3516666666,0,-0.399913007965445,-1.28404072816281,-1.19137032188195,0.131576000083538,-1.31006279237577,-0.37452768631261,37.9803,-76.4619,9.01,16.4,5.69,28.3,0.3516666666,0,-0.461455144864813,-1.25759412177299,-1.19137032188195,0.131576000083538,-1.31006279237577,-0.37452768631261,37.9803,-76.4619,15.76,22.8,7.253,27.149,0.6529333333,0.487704918032787,0.242628624746602,-0.411302717298765,-0.748103164674722,-0.225844469055217,-0.239978097010924,2.60445957802442
"10","S1_LOLA","E7_CviMVP_PlDNA_7_D863_DC93E8DB","D863","DC93E8DB","0216C585",37.9803,-76.4619,9.6,16.2,5.69,28.3,0.3516666666,0,-0.399913007965445,-1.28404072816281,-1.19137032188195,0.131576000083538,-1.31006279237577,-0.37452768631261,37.9803,-76.4619,9.01,16.4,5.69,28.3,0.3516666666,0,-0.461455144864813,-1.25759412177299,-1.19137032188195,0.131576000083538,-1.31006279237577,-0.37452768631261,37.9803,-76.4619,15.76,22.8,7.253,27.149,0.6529333333,0.487704918032787,0.242628624746602,-0.411302717298765,-0.748103164674722,-0.225844469055217,-0.239978097010924,2.60445957802442
