#YY MM DD hh mm DEPTH OTMP COND SAL O2% O2PPM CLCON TURB PH EH
2016 01 03 17 00 1.0 10.00 999.00 16.40 999.0 9.80 2.20 2 99.00 99.00
2016 01 03 18 00 1.0 10.10 999.00 16.40 999.0 9.80 1.90 2 99.00 99.00
2016 01 03 19 00 1.0 10.10 999.00 16.70 999.0 9.80 1.90 1 99.00 99.00
2016 01 03 20 00 1.0 10.20 999.00 16.70 999.0 9.90 2.30 2 99.00 99.00
2016 01 03 21 00 1.0 10.10 999.00 16.70 999.0 9.90 4.60 2 99.00 99.00
2016 01 03 22 00 1.0 10.00 999.00 16.70 999.0 9.90 4.00 2 99.00 99.00
2016 01 03 23 00 1.0 9.90 999.00 16.70 999.0 10.00 4.50 2 99.00 99.00
2016 01 04 00 00 1.0 10.30 999.00 17.30 999.0 9.60 3.70 1 99.00 99.00
2016 01 04 01 00 1.0 9.80 999.00 16.90 999.0 9.80 3.70 1 99.00 99.00
2016 01 04 02 00 1.0 10.20 999.00 17.70 999.0 9.60 3.60 1 99.00 99.00
2016 01 04 03 00 1.0 10.20 999.00 17.80 999.0 9.50 3.40 1 99.00 99.00
2016 01 04 04 00 1.0 10.20 999.00 17.60 999.0 9.50 3.30 1 99.00 99.00
2016 01 04 05 00 1.0 10.20 999.00 17.90 999.0 9.40 3.00 1 99.00 99.00
2016 01 04 06 00 1.0 10.20 999.00 17.80 999.0 9.30 2.70 1 99.00 99.00
2016 01 04 07 00 1.0 10.30 999.00 18.00 999.0 9.20 2.90 1 99.00 99.00
2016 01 04 08 00 1.0 10.30 999.00 17.90 999.0 9.10 2.90 1 99.00 99.00
2016 01 04 09 00 1.0 10.20 999.00 18.00 999.0 9.10 2.80 1 99.00 99.00
2016 01 04 10 00 1.0 10.20 999.00 18.00 999.0 9.10 2.90 1 99.00 99.00
2016 01 04 11 00 1.0 10.20 999.00 18.00 999.0 9.10 2.80 1 99.00 99.00
2016 01 04 12 00 1.0 10.20 999.00 18.20 999.0 9.00 2.30 2 99.00 99.00
2016 01 04 13 00 1.0 10.10 999.00 18.20 999.0 9.40 4.50 2 99.00 99.00
2016 01 04 14 00 1.0 10.10 999.00 18.20 999.0 9.40 4.40 2 99.00 99.00
2016 01 04 15 00 1.0 10.00 999.00 18.20 999.0 9.50 4.30 2 99.00 99.00
2016 01 04 16 00 1.0 10.00 999.00 18.20 999.0 9.50 4.20 2 99.00 99.00
2016 01 04 17 00 1.0 9.80 999.00 18.20 999.0 9.40 2.40 3 99.00 99.00
2016 01 04 18 00 1.0 10.10 999.00 18.20 999.0 9.50 3.10 2 99.00 99.00
2016 01 04 19 00 1.0 10.10 999.00 18.20 999.0 9.50 4.20 2 99.00 99.00
2016 01 04 20 00 1.0 10.10 999.00 18.20 999.0 9.50 4.40 1 99.00 99.00
2016 01 04 21 00 1.0 10.00 999.00 18.10 999.0 9.30 3.40 2 99.00 99.00
2016 01 04 22 00 1.0 10.00 999.00 18.10 999.0 9.30 3.50 2 99.00 99.00
2016 01 04 23 00 1.0 10.00 999.00 18.20 999.0 9.40 4.10 2 99.00 99.00
2016 01 05 00 00 1.0 10.00 999.00 18.20 999.0 9.40 4.00 2 99.00 99.00
2016 01 05 01 00 1.0 9.70 999.00 18.20 999.0 9.50 3.80 3 99.00 99.00
2016 01 05 02 00 1.0 9.70 999.00 18.20 999.0 9.50 3.90 3 99.00 99.00
2016 01 05 03 00 1.0 9.70 999.00 18.20 999.0 9.50 3.90 2 99.00 99.00
2016 01 05 04 00 1.0 9.60 999.00 18.20 999.0 9.50 3.90 3 99.00 99.00
2016 01 05 05 00 1.0 9.40 999.00 18.20 999.0 9.60 4.30 4 99.00 99.00
2016 01 05 06 00 1.0 9.20 999.00 18.20 999.0 9.60 4.40 4 99.00 99.00
2016 01 05 07 00 1.0 9.10 999.00 18.20 999.0 9.60 4.30 4 99.00 99.00
2016 01 05 08 00 1.0 9.20 999.00 18.20 999.0 9.60 4.10 4 99.00 99.00
2016 01 05 09 00 1.0 9.10 999.00 18.10 999.0 9.60 4.40 4 99.00 99.00
2016 01 05 10 00 1.0 9.20 999.00 18.20 999.0 9.60 4.50 3 99.00 99.00
2016 01 05 11 00 1.0 9.00 999.00 18.10 999.0 9.60 4.40 4 99.00 99.00
2016 01 05 12 00 1.0 8.70 999.00 18.10 999.0 9.50 3.70 5 99.00 99.00
2016 01 05 13 00 1.0 7.80 999.00 17.90 999.0 9.90 5.70 8 99.00 99.00
2016 01 05 14 00 1.0 8.90 999.00 17.30 999.0 9.60 4.40 2 99.00 99.00
2016 01 05 15 00 1.0 9.00 999.00 16.90 999.0 9.70 3.30 2 99.00 99.00
2016 01 05 16 00 1.0 9.00 999.00 16.80 999.0 9.70 3.40 2 99.00 99.00
2016 01 05 17 00 1.0 9.00 999.00 16.70 999.0 9.80 3.40 2 99.00 99.00
2016 01 05 18 00 1.0 9.00 999.00 16.70 999.0 9.90 3.50 3 99.00 99.00
2016 01 05 19 00 1.0 9.00 999.00 16.60 999.0 10.00 4.20 3 99.00 99.00
2016 01 05 20 00 1.0 9.00 999.00 16.50 999.0 10.10 5.30 3 99.00 99.00
2016 01 05 21 00 1.0 8.90 999.00 16.50 999.0 10.10 6.40 3 99.00 99.00
2016 01 05 22 00 1.0 8.80 999.00 16.30 999.0 10.20 6.40 2 99.00 99.00
2016 01 05 23 00 1.0 8.70 999.00 15.70 999.0 10.00 5.90 2 99.00 99.00
2016 01 06 00 00 1.0 8.70 999.00 15.70 999.0 9.90 5.90 2 99.00 99.00
2016 01 06 01 00 1.0 8.50 999.00 15.50 999.0 10.00 5.40 2 99.00 99.00
2016 01 06 02 00 1.0 8.40 999.00 15.40 999.0 9.90 5.60 2 99.00 99.00
2016 01 06 03 00 1.0 8.30 999.00 15.40 999.0 10.00 5.40 2 99.00 99.00
2016 01 06 04 00 1.0 8.40 999.00 15.70 999.0 10.10 5.10 2 99.00 99.00
2016 01 06 05 00 1.0 8.40 999.00 15.80 999.0 10.10 4.80 2 99.00 99.00
2016 01 06 06 00 1.0 8.30 999.00 15.80 999.0 10.10 4.50 2 99.00 99.00
2016 01 06 07 00 1.0 7.80 999.00 15.60 999.0 10.00 4.30 2 99.00 99.00
2016 01 06 08 00 1.0 7.70 999.00 14.90 999.0 10.00 4.60 2 99.00 99.00
2016 01 06 09 00 1.0 7.80 999.00 15.00 999.0 9.90 4.70 2 99.00 99.00
2016 01 06 10 00 1.0 7.90 999.00 15.50 999.0 9.90 5.10 2 99.00 99.00
2016 01 06 11 00 1.0 7.70 999.00 15.60 999.0 9.90 5.30 2 99.00 99.00
2016 01 06 12 00 1.0 7.80 999.00 15.90 999.0 9.90 6.50 2 99.00 99.00
2016 01 06 13 00 1.0 8.00 999.00 16.30 999.0 9.80 6.90 2 99.00 99.00
2016 01 06 14 00 1.0 8.00 999.00 16.50 999.0 9.90 6.60 2 99.00 99.00
2016 01 06 15 00 1.0 8.00 999.00 16.60 999.0 10.10 5.00 2 99.00 99.00
2016 01 06 16 00 1.0 8.30 999.00 16.80 999.0 10.10 4.90 2 99.00 99.00
2016 01 06 17 00 1.0 8.40 999.00 16.80 999.0 10.20 4.90 2 99.00 99.00
2016 01 06 18 00 1.0 8.40 999.00 16.70 999.0 10.50 3.70 2 99.00 99.00
2016 01 06 19 00 1.0 8.60 999.00 16.50 999.0 10.60 6.60 3 99.00 99.00
2016 01 06 20 00 1.0 8.80 999.00 16.80 999.0 8.00 4.50 2 99.00 99.00
