#YY MM DD hh mm DEPTH OTMP COND SAL O2% O2PPM CLCON TURB PH EH
2020 01 01 00 00 1.0 7.10 999.00 15.50 999.0 99.00 13.70 2 99.00 99.00
2020 01 01 00 06 1.0 7.00 999.00 15.60 999.0 99.00 13.90 2 99.00 99.00
2020 01 01 00 12 1.0 7.10 999.00 15.60 999.0 99.00 12.30 2 99.00 99.00
2020 01 01 00 18 1.0 7.30 999.00 15.50 999.0 99.00 11.00 2 99.00 99.00
2020 01 01 00 24 1.0 7.40 999.00 15.50 999.0 99.00 10.90 2 99.00 99.00
2020 01 01 00 30 1.0 7.30 999.00 15.50 999.0 99.00 11.50 2 99.00 99.00
2020 01 01 00 36 1.0 7.20 999.00 15.50 999.0 99.00 11.90 2 99.00 99.00
2020 01 01 00 42 1.0 7.20 999.00 15.50 999.0 99.00 11.60 2 99.00 99.00
2020 01 01 00 48 1.0 7.10 999.00 15.50 999.0 99.00 12.20 2 99.00 99.00
2020 01 01 00 54 1.0 7.00 999.00 15.60 999.0 99.00 12.20 2 99.00 99.00
2020 01 01 01 06 1.0 7.10 999.00 15.50 999.0 99.00 11.10 2 99.00 99.00
2020 01 01 01 12 1.0 7.10 999.00 15.50 999.0 99.00 10.90 2 99.00 99.00
2020 01 01 01 18 1.0 7.20 999.00 15.50 999.0 99.00 10.20 2 99.00 99.00
2020 01 01 01 24 1.0 7.20 999.00 15.50 999.0 99.00 8.60 2 99.00 99.00
2020 01 01 01 30 1.0 7.20 999.00 15.50 999.0 99.00 7.60 2 99.00 99.00
2020 01 01 01 36 1.0 7.20 999.00 15.50 999.0 99.00 7.50 1 99.00 99.00
2020 01 01 01 42 1.0 7.20 999.00 15.50 999.0 99.00 7.50 1 99.00 99.00
2020 01 01 01 48 1.0 7.20 999.00 15.50 999.0 99.00 7.40 1 99.00 99.00
2020 01 01 01 54 1.0 7.20 999.00 15.40 999.0 99.00 7.20 1 99.00 99.00
2020 01 01 02 00 1.0 7.20 999.00 15.40 999.0 99.00 6.80 1 99.00 99.00
2020 01 01 02 06 1.0 7.20 999.00 15.50 999.0 99.00 6.70 1 99.00 99.00
2020 01 01 02 12 1.0 7.20 999.00 15.50 999.0 99.00 6.40 1 99.00 99.00
2020 01 01 02 18 1.0 7.20 999.00 15.50 999.0 99.00 6.20 1 99.00 99.00
2020 01 01 02 24 1.0 7.20 999.00 15.50 999.0 99.00 6.20 1 99.00 99.00
2020 01 01 02 30 1.0 7.20 999.00 15.50 999.0 99.00 5.90 1 99.00 99.00
2020 01 01 02 36 1.0 7.20 999.00 15.50 999.0 99.00 5.90 1 99.00 99.00
2020 01 01 02 42 1.0 7.20 999.00 15.50 999.0 99.00 5.80 1 99.00 99.00
2020 01 01 02 48 1.0 7.20 999.00 15.50 999.0 99.00 5.90 1 99.00 99.00
2020 01 01 02 54 1.0 7.10 999.00 15.50 999.0 99.00 5.90 1 99.00 99.00
2020 01 01 03 00 1.0 7.20 999.00 15.50 999.0 99.00 5.90 1 99.00 99.00
2020 01 01 03 06 1.0 7.20 999.00 15.50 999.0 99.00 5.90 1 99.00 99.00
2020 01 01 03 12 1.0 7.20 999.00 15.50 999.0 99.00 5.90 1 99.00 99.00
2020 01 01 03 18 1.0 7.20 999.00 15.50 999.0 99.00 6.00 1 99.00 99.00
2020 01 01 03 24 1.0 7.20 999.00 15.50 999.0 99.00 6.20 1 99.00 99.00
2020 01 01 03 30 1.0 7.20 999.00 15.50 999.0 99.00 6.20 1 99.00 99.00
2020 01 01 03 36 1.0 7.20 999.00 15.50 999.0 99.00 6.20 1 99.00 99.00
2020 01 01 03 42 1.0 7.10 999.00 15.50 999.0 99.00 6.20 1 99.00 99.00
2020 01 01 03 48 1.0 7.10 999.00 15.50 999.0 99.00 6.60 1 99.00 99.00
2020 01 01 03 54 1.0 7.10 999.00 15.50 999.0 99.00 6.70 1 99.00 99.00
2020 01 01 04 00 1.0 7.10 999.00 15.50 999.0 99.00 6.60 1 99.00 99.00
2020 01 01 04 06 1.0 7.10 999.00 15.50 999.0 99.00 6.70 1 99.00 99.00
2020 01 01 04 12 1.0 7.10 999.00 15.50 999.0 99.00 6.90 1 99.00 99.00
2020 01 01 04 18 1.0 7.10 999.00 15.60 999.0 99.00 7.00 1 99.00 99.00
2020 01 01 04 24 1.0 7.10 999.00 15.60 999.0 99.00 7.00 1 99.00 99.00
2020 01 01 04 30 1.0 7.10 999.00 15.60 999.0 99.00 7.10 1 99.00 99.00
2020 01 01 04 36 1.0 7.10 999.00 15.60 999.0 99.00 7.20 1 99.00 99.00
2020 01 01 04 42 1.0 7.20 999.00 15.60 999.0 99.00 7.30 1 99.00 99.00
2020 01 01 04 48 1.0 7.20 999.00 15.60 999.0 99.00 7.20 1 99.00 99.00
2020 01 01 04 54 1.0 7.10 999.00 15.60 999.0 99.00 7.30 1 99.00 99.00
2020 01 01 05 00 1.0 7.10 999.00 15.60 999.0 99.00 7.30 1 99.00 99.00
2020 01 01 05 06 1.0 7.10 999.00 15.50 999.0 99.00 7.10 1 99.00 99.00
2020 01 01 05 12 1.0 7.10 999.00 15.50 999.0 99.00 7.30 1 99.00 99.00
2020 01 01 05 18 1.0 7.10 999.00 15.50 999.0 99.00 7.40 1 99.00 99.00
2020 01 01 05 24 1.0 7.10 999.00 15.50 999.0 99.00 7.40 1 99.00 99.00
2020 01 01 05 30 1.0 7.10 999.00 15.50 999.0 99.00 7.50 1 99.00 99.00
2020 01 01 05 36 1.0 7.20 999.00 15.50 999.0 99.00 7.50 1 99.00 99.00
2020 01 01 05 42 1.0 7.20 999.00 15.50 999.0 99.00 7.60 1 99.00 99.00
2020 01 01 05 48 1.0 7.20 999.00 15.50 999.0 99.00 7.70 1 99.00 99.00
2020 01 01 05 54 1.0 7.20 999.00 15.50 999.0 99.00 7.70 1 99.00 99.00
2020 01 01 06 00 1.0 7.20 999.00 15.50 999.0 99.00 7.90 1 99.00 99.00
2020 01 01 06 06 1.0 7.20 999.00 15.50 999.0 99.00 7.80 1 99.00 99.00
2020 01 01 06 12 1.0 7.30 999.00 15.50 999.0 99.00 7.90 1 99.00 99.00
2020 01 01 06 18 1.0 7.20 999.00 15.50 999.0 99.00 7.90 1 99.00 99.00
2020 01 01 06 24 1.0 7.20 999.00 15.60 999.0 99.00 7.90 1 99.00 99.00
2020 01 01 06 30 1.0 7.30 999.00 15.60 999.0 99.00 8.10 1 99.00 99.00
2020 01 01 06 36 1.0 7.20 999.00 15.60 999.0 99.00 8.10 1 99.00 99.00
2020 01 01 06 42 1.0 7.30 999.00 15.60 999.0 99.00 8.10 1 99.00 99.00
2020 01 01 06 48 1.0 7.30 999.00 15.60 999.0 99.00 8.10 1 99.00 99.00
2020 01 01 06 54 1.0 7.20 999.00 15.60 999.0 99.00 8.20 1 99.00 99.00
2020 01 01 07 00 1.0 7.20 999.00 15.60 999.0 99.00 8.20 1 99.00 99.00
2020 01 01 07 06 1.0 7.20 999.00 15.60 999.0 99.00 8.20 1 99.00 99.00
2020 01 01 07 12 1.0 7.30 999.00 15.60 999.0 99.00 8.20 1 99.00 99.00
2020 01 01 07 18 1.0 7.20 999.00 15.60 999.0 99.00 8.20 1 99.00 99.00
2020 01 01 07 24 1.0 7.20 999.00 15.60 999.0 99.00 8.30 1 99.00 99.00
2020 01 01 07 30 1.0 7.20 999.00 15.60 999.0 99.00 8.30 1 99.00 99.00
2020 01 01 07 36 1.0 7.20 999.00 15.60 999.0 99.00 8.40 2 99.00 99.00
2020 01 01 07 42 1.0 7.20 999.00 15.60 999.0 99.00 8.40 1 99.00 99.00
2020 01 01 07 48 1.0 7.20 999.00 15.60 999.0 99.00 8.40 2 99.00 99.00
2020 01 01 07 54 1.0 7.20 999.00 15.60 999.0 99.00 8.50 2 99.00 99.00
2020 01 01 08 00 1.0 7.20 999.00 15.60 999.0 99.00 8.50 2 99.00 99.00
2020 01 01 08 06 1.0 7.20 999.00 15.60 999.0 99.00 8.60 2 99.00 99.00
2020 01 01 08 12 1.0 7.20 999.00 15.60 999.0 99.00 8.60 2 99.00 99.00
2020 01 01 08 18 1.0 7.20 999.00 15.60 999.0 99.00 8.50 2 99.00 99.00
2020 01 01 08 24 1.0 7.20 999.00 15.60 999.0 99.00 8.40 2 99.00 99.00
2020 01 01 08 30 1.0 7.20 999.00 15.60 999.0 99.00 8.60 2 99.00 99.00
2020 01 01 08 36 1.0 7.20 999.00 15.60 999.0 99.00 8.80 2 99.00 99.00
2020 01 01 08 42 1.0 7.20 999.00 15.60 999.0 99.00 8.60 2 99.00 99.00
2020 01 01 08 48 1.0 7.20 999.00 15.60 999.0 99.00 8.70 2 99.00 99.00
2020 01 01 08 54 1.0 7.20 999.00 15.60 999.0 99.00 8.60 2 99.00 99.00
2020 01 01 09 00 1.0 7.20 999.00 15.60 999.0 99.00 8.70 2 99.00 99.00
2020 01 01 09 06 1.0 7.20 999.00 15.60 999.0 99.00 8.50 2 99.00 99.00
2020 01 01 09 12 1.0 7.20 999.00 15.60 999.0 99.00 8.70 2 99.00 99.00
2020 01 01 09 18 1.0 7.20 999.00 15.60 999.0 99.00 8.60 2 99.00 99.00
2020 01 01 09 24 1.0 7.20 999.00 15.60 999.0 99.00 8.60 2 99.00 99.00
2020 01 01 09 30 1.0 7.20 999.00 15.60 999.0 99.00 8.60 2 99.00 99.00
2020 01 01 09 36 1.0 7.20 999.00 15.60 999.0 99.00 8.50 2 99.00 99.00
2020 01 01 09 42 1.0 7.10 999.00 15.60 999.0 99.00 8.60 2 99.00 99.00
2020 01 01 09 48 1.0 7.10 999.00 15.60 999.0 99.00 8.50 2 99.00 99.00
2020 01 01 09 54 1.0 7.10 999.00 15.60 999.0 99.00 8.60 2 99.00 99.00
2020 01 01 10 00 1.0 7.10 999.00 15.60 999.0 99.00 8.60 2 99.00 99.00
2020 01 01 10 06 1.0 7.10 999.00 15.60 999.0 99.00 8.60 2 99.00 99.00
2020 01 01 10 12 1.0 7.10 999.00 15.60 999.0 99.00 8.70 2 99.00 99.00
2020 01 01 10 18 1.0 7.10 999.00 15.60 999.0 99.00 8.60 2 99.00 99.00
2020 01 01 10 24 1.0 7.10 999.00 15.60 999.0 99.00 8.50 2 99.00 99.00
2020 01 01 10 30 1.0 7.10 999.00 15.60 999.0 99.00 8.50 2 99.00 99.00
2020 01 01 10 36 1.0 7.10 999.00 15.60 999.0 99.00 8.50 2 99.00 99.00
2020 01 01 10 42 1.0 7.10 999.00 15.60 999.0 99.00 8.60 2 99.00 99.00
2020 01 01 10 48 1.0 7.10 999.00 15.60 999.0 99.00 8.40 2 99.00 99.00
2020 01 01 10 54 1.0 7.10 999.00 15.60 999.0 99.00 8.40 2 99.00 99.00
2020 01 01 11 00 1.0 7.10 999.00 15.60 999.0 99.00 8.30 2 99.00 99.00
2020 01 01 11 06 1.0 7.10 999.00 15.60 999.0 99.00 8.30 2 99.00 99.00
2020 01 01 11 12 1.0 7.10 999.00 15.60 999.0 99.00 8.20 2 99.00 99.00
2020 01 01 11 18 1.0 7.10 999.00 15.60 999.0 99.00 8.30 2 99.00 99.00
2020 01 01 11 24 1.0 7.10 999.00 15.60 999.0 99.00 8.30 2 99.00 99.00
2020 01 01 11 30 1.0 7.10 999.00 15.60 999.0 99.00 8.30 2 99.00 99.00
2020 01 01 11 36 1.0 7.10 999.00 15.60 999.0 99.00 8.40 2 99.00 99.00
2020 01 01 11 42 1.0 7.10 999.00 15.60 999.0 99.00 8.20 2 99.00 99.00
2020 01 01 11 48 1.0 7.10 999.00 15.60 999.0 99.00 8.30 2 99.00 99.00
2020 01 01 11 54 1.0 7.10 999.00 15.60 999.0 99.00 8.30 2 99.00 99.00
2020 01 01 12 00 1.0 7.10 999.00 15.60 999.0 99.00 8.50 2 99.00 99.00
2020 01 01 12 06 1.0 7.10 999.00 15.60 999.0 99.00 8.40 2 99.00 99.00
2020 01 01 12 12 1.0 7.00 999.00 15.60 999.0 99.00 8.30 2 99.00 99.00
2020 01 01 12 18 1.0 7.00 999.00 15.60 999.0 99.00 8.20 2 99.00 99.00
2020 01 01 12 24 1.0 7.00 999.00 15.60 999.0 99.00 7.90 2 99.00 99.00
2020 01 01 12 30 1.0 7.00 999.00 15.60 999.0 99.00 7.60 2 99.00 99.00
2020 01 01 12 36 1.0 7.00 999.00 15.60 999.0 99.00 7.50 2 99.00 99.00
2020 01 01 12 42 1.0 7.00 999.00 15.60 999.0 99.00 7.80 2 99.00 99.00
2020 01 01 12 48 1.0 7.00 999.00 15.60 999.0 99.00 7.50 2 99.00 99.00
2020 01 01 12 54 1.0 7.10 999.00 15.60 999.0 99.00 7.60 2 99.00 99.00
2020 01 01 13 00 1.0 7.10 999.00 15.60 999.0 99.00 7.70 2 99.00 99.00
