#YY MM DD hh mm DEPTH OTMP COND SAL O2% O2PPM CLCON TURB PH EH
2018 01 01 00 00 1.0 4.50 999.00 17.90 999.0 12.50 5.80 3 99.00 99.00
2018 01 01 01 00 1.0 4.40 999.00 17.90 999.0 12.60 5.80 3 99.00 99.00
2018 01 01 02 00 1.0 4.40 999.00 15.90 999.0 12.70 5.70 3 99.00 99.00
2018 01 01 03 00 1.0 4.30 999.00 17.90 999.0 12.60 5.80 3 99.00 99.00
2018 01 01 04 00 1.0 4.20 999.00 17.90 999.0 12.70 5.80 3 99.00 99.00
2018 01 01 05 00 1.0 4.20 999.00 18.00 999.0 12.60 5.80 3 99.00 99.00
2018 01 01 06 00 1.0 4.20 999.00 17.90 999.0 12.60 5.70 3 99.00 99.00
2018 01 01 07 00 1.0 4.30 999.00 18.00 999.0 12.50 5.70 3 99.00 99.00
2018 01 01 08 00 1.0 4.10 999.00 17.90 999.0 12.60 5.90 4 99.00 99.00
2018 01 01 09 00 1.0 4.00 999.00 17.90 999.0 12.70 5.90 4 99.00 99.00
2018 01 01 10 00 1.0 4.00 999.00 17.90 999.0 12.70 6.00 4 99.00 99.00
2018 01 01 11 00 1.0 4.00 999.00 17.90 999.0 12.60 6.00 4 99.00 99.00
2018 01 01 12 00 1.0 3.80 999.00 17.80 999.0 12.70 5.70 3 99.00 99.00
2018 01 01 13 00 1.0 3.80 999.00 17.90 999.0 12.70 5.60 3 99.00 99.00
2018 01 01 14 00 1.0 3.60 999.00 17.90 999.0 12.90 2.80 3 99.00 99.00
2018 01 01 15 00 1.0 2.50 999.00 17.80 999.0 13.70 2.10 5 99.00 99.00
2018 01 01 16 00 1.0 3.10 999.00 17.80 999.0 13.30 2.70 4 99.00 99.00
2018 01 01 17 00 1.0 3.70 999.00 17.90 999.0 13.00 2.60 3 99.00 99.00
2018 01 01 18 00 1.0 3.70 999.00 17.80 999.0 13.00 3.00 3 99.00 99.00
2018 01 01 19 00 1.0 3.20 999.00 17.80 999.0 13.30 2.80 4 99.00 99.00
2018 01 01 20 00 1.0 2.90 999.00 17.80 999.0 13.60 4.50 4 99.00 99.00
2018 01 01 21 00 1.0 3.70 999.00 17.90 999.0 13.10 4.10 3 99.00 99.00
2018 01 01 22 00 1.0 4.10 999.00 17.90 999.0 12.80 5.30 3 99.00 99.00
2018 01 01 23 00 1.0 3.90 999.00 17.90 999.0 12.90 5.30 3 99.00 99.00
2018 01 02 00 00 1.0 3.20 999.00 17.70 999.0 13.40 5.40 3 99.00 99.00
2018 01 02 01 00 1.0 3.20 999.00 17.70 999.0 13.40 5.60 3 99.00 99.00
2018 01 02 02 00 1.0 3.80 999.00 17.70 999.0 13.00 5.50 3 99.00 99.00
2018 01 02 03 00 1.0 3.30 999.00 17.40 999.0 13.30 5.70 3 99.00 99.00
2018 01 02 04 00 1.0 3.10 999.00 17.80 999.0 13.50 6.00 4 99.00 99.00
2018 01 02 05 00 1.0 2.70 999.00 17.80 999.0 13.80 5.70 5 99.00 99.00
2018 01 02 06 00 1.0 2.90 999.00 17.90 999.0 13.50 5.80 5 99.00 99.00
2018 01 02 07 00 1.0 3.40 999.00 18.00 999.0 13.20 6.00 4 99.00 99.00
2018 01 02 08 00 1.0 3.30 999.00 17.90 999.0 13.30 6.00 4 99.00 99.00
2018 01 02 09 00 1.0 3.40 999.00 18.00 999.0 13.20 6.10 4 99.00 99.00
2018 01 02 10 00 1.0 3.40 999.00 18.00 999.0 13.10 6.10 4 99.00 99.00
2018 01 02 11 00 1.0 3.20 999.00 17.90 999.0 13.20 5.90 3 99.00 99.00
2018 01 02 12 00 1.0 3.10 999.00 17.90 999.0 13.30 5.90 4 99.00 99.00
2018 01 02 13 00 1.0 3.00 999.00 17.80 999.0 13.40 5.40 3 99.00 99.00
2018 01 02 14 00 1.0 3.10 999.00 17.90 999.0 13.30 3.10 3 99.00 99.00
