#YY MM DD hh mm DEPTH OTMP COND SAL O2% O2PPM CLCON TURB PH EH
2014 01 01 00 00 1.0 6.00 999.00 14.70 999.0 12.20 7.90 2 99.00 99.00
2014 01 01 01 00 1.0 5.90 999.00 15.20 999.0 12.00 8.50 2 99.00 99.00
2014 01 01 02 00 1.0 5.90 999.00 15.40 999.0 11.90 9.40 2 99.00 99.00
2014 01 01 03 00 1.0 5.90 999.00 15.60 999.0 11.90 9.30 2 99.00 99.00
2014 01 01 04 00 1.0 5.90 999.00 15.60 999.0 11.90 9.30 2 99.00 99.00
2014 01 01 05 00 1.0 5.80 999.00 15.70 999.0 11.90 9.50 2 99.00 99.00
2014 01 01 07 00 1.0 5.70 999.00 15.90 999.0 11.80 9.40 2 99.00 99.00
2014 01 01 08 00 1.0 5.50 999.00 15.90 999.0 11.70 9.10 1 99.00 99.00
2014 01 01 09 00 1.0 5.50 999.00 16.00 999.0 11.60 9.30 2 99.00 99.00
2014 01 01 11 00 1.0 5.70 999.00 15.80 999.0 11.60 8.80 1 99.00 99.00
2014 01 01 12 00 1.0 5.60 999.00 15.50 999.0 11.70 8.40 1 99.00 99.00
2014 01 01 13 00 1.0 5.60 999.00 15.40 999.0 11.80 8.10 1 99.00 99.00
2014 01 01 15 00 1.0 5.70 999.00 16.00 999.0 11.70 3.50 2 99.00 99.00
2014 01 01 16 00 1.0 5.90 999.00 16.40 999.0 11.60 4.40 2 99.00 99.00
2014 01 01 17 00 1.0 5.90 999.00 16.30 999.0 11.90 4.60 2 99.00 99.00
2014 01 01 18 00 1.0 5.90 999.00 15.00 999.0 12.10 2.30 1 99.00 99.00
2014 01 01 19 00 1.0 6.10 999.00 14.80 999.0 12.20 2.30 1 99.00 99.00
2014 01 01 20 00 1.0 6.10 999.00 14.80 999.0 12.20 3.20 1 99.00 99.00
2014 01 01 21 00 1.0 6.00 999.00 14.70 999.0 12.30 5.00 1 99.00 99.00
2014 01 01 22 00 1.0 6.00 999.00 14.10 999.0 12.30 7.20 1 99.00 99.00
2014 01 01 23 00 1.0 5.90 999.00 13.80 999.0 12.40 7.20 1 99.00 99.00
2014 01 02 00 00 1.0 5.90 999.00 14.00 999.0 12.30 6.90 1 99.00 99.00
2014 01 02 01 00 1.0 5.90 999.00 14.00 999.0 12.30 7.30 1 99.00 99.00
2014 01 02 02 00 1.0 5.90 999.00 14.10 999.0 12.30 7.30 1 99.00 99.00
2014 01 02 03 00 1.0 5.80 999.00 14.00 999.0 12.30 7.20 1 99.00 99.00
2014 01 02 04 00 1.0 5.80 999.00 13.90 999.0 12.30 7.40 1 99.00 99.00
2014 01 02 05 00 1.0 5.80 999.00 13.90 999.0 12.30 7.20 1 99.00 99.00
2014 01 02 06 00 1.0 5.70 999.00 13.90 999.0 12.30 7.00 1 99.00 99.00
2014 01 02 07 00 1.0 5.70 999.00 14.00 999.0 12.30 7.10 1 99.00 99.00
2014 01 02 08 00 1.0 5.60 999.00 13.90 999.0 12.20 6.60 1 99.00 99.00
2014 01 02 09 00 1.0 5.50 999.00 14.00 999.0 12.20 6.50 1 99.00 99.00
2014 01 02 10 00 1.0 5.40 999.00 13.60 999.0 12.30 6.20 1 99.00 99.00
2014 01 02 11 00 1.0 5.40 999.00 13.60 999.0 12.30 6.20 1 99.00 99.00
2014 01 02 12 00 1.0 5.40 999.00 13.60 999.0 12.30 6.30 1 99.00 99.00
2014 01 02 13 00 1.0 5.50 999.00 13.50 999.0 12.20 6.40 1 99.00 99.00
2014 01 02 14 00 1.0 5.50 999.00 13.60 999.0 12.20 6.40 1 99.00 99.00
2014 01 02 15 00 1.0 5.40 999.00 13.50 999.0 12.30 5.40 1 99.00 99.00
2014 01 02 16 00 1.0 5.50 999.00 13.50 999.0 12.30 4.60 1 99.00 99.00
2014 01 02 17 00 1.0 5.50 999.00 13.70 999.0 12.30 4.40 1 99.00 99.00
2014 01 02 18 00 1.0 5.70 999.00 15.00 999.0 12.20 5.60 1 99.00 99.00
2014 01 02 19 00 1.0 5.60 999.00 14.50 999.0 12.20 5.20 1 99.00 99.00
2014 01 02 20 00 1.0 5.70 999.00 14.90 999.0 12.20 7.50 1 99.00 99.00
2014 01 02 21 00 1.0 5.60 999.00 13.80 999.0 12.40 6.50 1 99.00 99.00
2014 01 02 23 00 1.0 5.50 999.00 13.50 999.0 12.40 6.80 1 99.00 99.00
2014 01 03 00 00 1.0 5.70 999.00 14.70 999.0 12.20 7.80 1 99.00 99.00
2014 01 03 02 00 1.0 5.90 999.00 15.50 999.0 11.80 9.10 2 99.00 99.00
2014 01 03 03 00 1.0 5.60 999.00 14.90 999.0 11.90 8.00 1 99.00 99.00
2014 01 03 04 00 1.0 5.80 999.00 15.70 999.0 11.80 9.40 2 99.00 99.00
2014 01 03 05 00 1.0 5.80 999.00 16.30 999.0 11.60 11.30 2 99.00 99.00
2014 01 03 06 00 1.0 5.80 999.00 16.20 999.0 11.60 11.30 2 99.00 99.00
2014 01 03 07 00 1.0 5.70 999.00 15.80 999.0 11.70 9.40 2 99.00 99.00
