#YY MM DD hh mm DEPTH OTMP COND SAL O2% O2PPM CLCON TURB PH EH
2019 01 01 00 00 1.0 6.90 999.00 7.40 999.0 13.40 12.70 1 99.00 99.00
2019 01 01 01 00 1.0 7.00 999.00 7.70 999.0 13.30 12.80 1 99.00 99.00
2019 01 01 02 00 1.0 7.00 999.00 7.70 999.0 13.30 12.20 1 99.00 99.00
2019 01 01 03 00 1.0 7.00 999.00 7.70 999.0 13.30 12.40 1 99.00 99.00
2019 01 01 04 00 1.0 7.00 999.00 7.50 999.0 13.30 11.80 1 99.00 99.00
2019 01 01 05 00 1.0 7.00 999.00 7.30 999.0 13.30 11.50 1 99.00 99.00
2019 01 01 06 00 1.0 7.10 999.00 6.50 999.0 13.40 11.70 2 99.00 99.00
2019 01 01 07 00 1.0 7.20 999.00 6.20 999.0 13.20 12.90 2 99.00 99.00
2019 01 01 08 00 1.0 7.30 999.00 5.50 999.0 13.10 12.70 2 99.00 99.00
2019 01 01 09 00 1.0 7.30 999.00 5.50 999.0 13.10 12.80 2 99.00 99.00
2019 01 01 10 00 1.0 7.30 999.00 5.40 999.0 13.00 12.40 2 99.00 99.00
2019 01 01 11 00 1.0 7.40 999.00 5.40 999.0 12.90 11.70 2 99.00 99.00
2019 01 01 12 00 1.0 7.40 999.00 5.30 999.0 12.80 10.40 2 99.00 99.00
2019 01 01 13 00 1.0 7.40 999.00 5.30 999.0 12.80 11.30 2 99.00 99.00
2019 01 01 14 00 1.0 7.40 999.00 5.40 999.0 12.90 11.80 2 99.00 99.00
2019 01 01 15 00 1.0 7.40 999.00 5.40 999.0 12.90 11.80 2 99.00 99.00
2019 01 01 16 00 1.0 7.40 999.00 5.40 999.0 13.00 13.90 2 99.00 99.00
2019 01 01 17 00 1.0 7.50 999.00 5.50 999.0 13.20 14.90 2 99.00 99.00
2019 01 01 18 00 1.0 7.70 999.00 5.30 999.0 13.40 15.00 3 99.00 99.00
2019 01 01 19 00 1.0 7.70 999.00 5.30 999.0 13.50 12.20 2 99.00 99.00
2019 01 01 20 00 1.0 7.90 999.00 5.30 999.0 13.60 12.40 2 99.00 99.00
2019 01 01 21 00 1.0 7.90 999.00 5.30 999.0 13.60 12.70 3 99.00 99.00
2019 01 01 22 00 1.0 8.10 999.00 5.30 999.0 13.20 10.60 4 99.00 99.00
2019 01 01 23 00 1.0 7.90 999.00 5.30 999.0 13.20 10.50 3 99.00 99.00
2019 01 02 00 00 1.0 7.80 999.00 5.40 999.0 13.00 10.20 4 99.00 99.00
2019 01 02 01 00 1.0 7.80 999.00 5.70 999.0 12.80 8.60 3 99.00 99.00
2019 01 02 02 00 1.0 7.70 999.00 5.60 999.0 12.80 8.90 4 99.00 99.00
2019 01 02 03 00 1.0 7.60 999.00 5.60 999.0 12.80 8.60 3 99.00 99.00
2019 01 02 04 00 1.0 7.50 999.00 5.70 999.0 12.90 8.00 2 99.00 99.00
2019 01 02 05 00 1.0 7.30 999.00 6.20 999.0 12.80 8.40 2 99.00 99.00
2019 01 02 06 00 1.0 7.20 999.00 6.50 999.0 12.50 8.20 2 99.00 99.00
