#YY,MM,DD,hh,mm,DEPTH,OTMP,COND,SAL,O2%,O2PPM,CLCON,TURB,PH,EH
2008,11,1,0,0,99999,13.1,999,5.7,999,99,4.1,14,99,99
2008,11,1,1,0,99999,13,999,5.6,999,99,3.9,12,99,99
2008,11,1,2,0,99999,13,999,5.4,999,99,4.1,14,99,99
2008,11,1,3,0,99999,12.9,999,5.4,999,99,4.7,16,99,99
2008,11,1,4,0,99999,12.9,999,5.4,999,99,4.1,11,99,99
2008,11,1,5,0,99999,12.9,999,5.8,999,99,4,12,99,99
2008,11,1,6,0,99999,12.8,999,5.8,999,99,4,11,99,99
2008,11,1,7,0,99999,12.8,999,6.5,999,99,4,11,99,99
2008,11,1,8,0,99999,12.8,999,6.5,999,99,3.8,9,99,99
2008,11,1,9,0,99999,12.6,999,6,999,99,3.6,10,99,99
2008,11,1,10,0,99999,12.7,999,5.8,999,99,3.9,14,99,99
2008,11,1,11,0,99999,12.7,999,5.7,999,99,3.8,12,99,99
2008,11,1,12,0,99999,12.6,999,5.6,999,99,3.8,14,99,99
2008,11,1,13,0,99999,12.6,999,5.1,999,99,3.9,14,99,99
2008,11,1,14,0,99999,12.6,999,4.6,999,99,3.9,11,99,99
2008,11,1,15,0,99999,12.8,999,4.5,999,99,4.4,13,99,99
2008,11,1,16,0,99999,12.7,999,5.1,999,99,4.1,12,99,99
2008,11,1,17,0,99999,13.1,999,5.5,999,99,4.4,12,99,99
2008,11,1,18,0,99999,13.6,999,6.5,999,99,4.3,14,99,99
2008,11,1,19,0,99999,13.4,999,7,999,99,3.9,12,99,99
2008,11,1,20,0,99999,13.5,999,7.1,999,99,3.9,11,99,99
2008,11,1,21,0,99999,13.7,999,7,999,99,5.1,12,99,99
2008,11,1,22,0,99999,13.4,999,5.6,999,99,4.9,20,99,99
2008,11,1,23,0,99999,13.5,999,5.5,999,99,4.4,10,99,99
2008,11,2,0,0,99999,13.3,999,5.5,999,99,4.3,13,99,99
2008,11,2,1,0,99999,13.2,999,5.9,999,99,4.2,14,99,99
2008,11,2,2,0,99999,13,999,5.3,999,99,4.1,13,99,99
2008,11,2,3,0,99999,13,999,5.2,999,99,3.9,10,99,99
2008,11,2,4,0,99999,12.9,999,5.1,999,99,3.8,9,99,99
